part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2020;cluster_agg;xgb;2;100;0.02;0.5;3;0.6;1;mae;311212.5073480416
1;bpic2020;cluster_agg;xgb;2;100;0.02;0.5;3;0.9;1;mae;311979.8465491426
1;bpic2020;cluster_agg;xgb;2;100;0.02;0.5;5;0.6;1;mae;307709.7515389021
1;bpic2020;cluster_agg;xgb;2;100;0.02;0.5;5;0.9;1;mae;308564.4526925599
1;bpic2020;cluster_agg;xgb;2;100;0.02;0.5;7;0.6;1;mae;305409.7487987243
1;bpic2020;cluster_agg;xgb;2;100;0.02;0.5;7;0.9;1;mae;305610.9455778722
1;bpic2020;cluster_agg;xgb;2;100;0.02;0.8;3;0.6;1;mae;310959.2941069404
1;bpic2020;cluster_agg;xgb;2;100;0.02;0.8;3;0.9;1;mae;310925.41377047205
1;bpic2020;cluster_agg;xgb;2;100;0.02;0.8;5;0.6;1;mae;307277.24207956763
1;bpic2020;cluster_agg;xgb;2;100;0.02;0.8;5;0.9;1;mae;307030.8952018494
1;bpic2020;cluster_agg;xgb;2;100;0.02;0.8;7;0.6;1;mae;305095.99554486765
1;bpic2020;cluster_agg;xgb;2;100;0.02;0.8;7;0.9;1;mae;304396.4028261566
1;bpic2020;cluster_agg;xgb;2;100;0.04;0.5;3;0.6;1;mae;329145.1658249316
1;bpic2020;cluster_agg;xgb;2;100;0.04;0.5;3;0.9;1;mae;330001.3128555153
1;bpic2020;cluster_agg;xgb;2;100;0.04;0.5;5;0.6;1;mae;326946.8752341822
1;bpic2020;cluster_agg;xgb;2;100;0.04;0.5;5;0.9;1;mae;326938.77577621385
1;bpic2020;cluster_agg;xgb;2;100;0.04;0.5;7;0.6;1;mae;324206.19368539023
1;bpic2020;cluster_agg;xgb;2;100;0.04;0.5;7;0.9;1;mae;324428.5095739422
1;bpic2020;cluster_agg;xgb;2;100;0.04;0.8;3;0.6;1;mae;328026.76897911885
1;bpic2020;cluster_agg;xgb;2;100;0.04;0.8;3;0.9;1;mae;327538.3634992253
1;bpic2020;cluster_agg;xgb;2;100;0.04;0.8;5;0.6;1;mae;325023.5564264999
1;bpic2020;cluster_agg;xgb;2;100;0.04;0.8;5;0.9;1;mae;324584.30384693836
1;bpic2020;cluster_agg;xgb;2;100;0.04;0.8;7;0.6;1;mae;323539.1456961132
1;bpic2020;cluster_agg;xgb;2;100;0.04;0.8;7;0.9;1;mae;322125.63043194363
1;bpic2020;cluster_agg;xgb;2;100;0.06;0.5;3;0.6;1;mae;332305.6606068792
1;bpic2020;cluster_agg;xgb;2;100;0.06;0.5;3;0.9;1;mae;331819.99517364276
1;bpic2020;cluster_agg;xgb;2;100;0.06;0.5;5;0.6;1;mae;330500.87653891824
1;bpic2020;cluster_agg;xgb;2;100;0.06;0.5;5;0.9;1;mae;330237.8011588972
1;bpic2020;cluster_agg;xgb;2;100;0.06;0.5;7;0.6;1;mae;330982.91887836054
1;bpic2020;cluster_agg;xgb;2;100;0.06;0.5;7;0.9;1;mae;329069.68416456186
1;bpic2020;cluster_agg;xgb;2;100;0.06;0.8;3;0.6;1;mae;331025.7968798461
1;bpic2020;cluster_agg;xgb;2;100;0.06;0.8;3;0.9;1;mae;329574.5925287596
1;bpic2020;cluster_agg;xgb;2;100;0.06;0.8;5;0.6;1;mae;327935.50381066435
1;bpic2020;cluster_agg;xgb;2;100;0.06;0.8;5;0.9;1;mae;328186.5393210069
1;bpic2020;cluster_agg;xgb;2;100;0.06;0.8;7;0.6;1;mae;327264.1113910874
1;bpic2020;cluster_agg;xgb;2;100;0.06;0.8;7;0.9;1;mae;325805.6827752406
1;bpic2020;cluster_agg;xgb;2;500;0.02;0.5;3;0.6;1;mae;331194.71038224024
1;bpic2020;cluster_agg;xgb;2;500;0.02;0.5;3;0.9;1;mae;331747.316771426
1;bpic2020;cluster_agg;xgb;2;500;0.02;0.5;5;0.6;1;mae;330228.2160363366
1;bpic2020;cluster_agg;xgb;2;500;0.02;0.5;5;0.9;1;mae;329402.7938828174
1;bpic2020;cluster_agg;xgb;2;500;0.02;0.5;7;0.6;1;mae;329803.6717676558
1;bpic2020;cluster_agg;xgb;2;500;0.02;0.5;7;0.9;1;mae;329657.029798478
1;bpic2020;cluster_agg;xgb;2;500;0.02;0.8;3;0.6;1;mae;328796.1206721513
1;bpic2020;cluster_agg;xgb;2;500;0.02;0.8;3;0.9;1;mae;329503.22803658136
1;bpic2020;cluster_agg;xgb;2;500;0.02;0.8;5;0.6;1;mae;328274.9705931098
1;bpic2020;cluster_agg;xgb;2;500;0.02;0.8;5;0.9;1;mae;327110.15167590784
1;bpic2020;cluster_agg;xgb;2;500;0.02;0.8;7;0.6;1;mae;326314.3194000942
1;bpic2020;cluster_agg;xgb;2;500;0.02;0.8;7;0.9;1;mae;324127.2894392877
1;bpic2020;cluster_agg;xgb;2;500;0.04;0.5;3;0.6;1;mae;331758.85690353316
1;bpic2020;cluster_agg;xgb;2;500;0.04;0.5;3;0.9;1;mae;332798.6824067815
1;bpic2020;cluster_agg;xgb;2;500;0.04;0.5;5;0.6;1;mae;333835.85886735655
1;bpic2020;cluster_agg;xgb;2;500;0.04;0.5;5;0.9;1;mae;335957.5027909228
1;bpic2020;cluster_agg;xgb;2;500;0.04;0.5;7;0.6;1;mae;339204.1774141559
1;bpic2020;cluster_agg;xgb;2;500;0.04;0.5;7;0.9;1;mae;342412.43541596906
1;bpic2020;cluster_agg;xgb;2;500;0.04;0.8;3;0.6;1;mae;329485.7797217224
1;bpic2020;cluster_agg;xgb;2;500;0.04;0.8;3;0.9;1;mae;329737.02013902913
1;bpic2020;cluster_agg;xgb;2;500;0.04;0.8;5;0.6;1;mae;330060.5589049535
1;bpic2020;cluster_agg;xgb;2;500;0.04;0.8;5;0.9;1;mae;329246.54884920083
1;bpic2020;cluster_agg;xgb;2;500;0.04;0.8;7;0.6;1;mae;333975.71748111537
1;bpic2020;cluster_agg;xgb;2;500;0.04;0.8;7;0.9;1;mae;335075.055532347
1;bpic2020;cluster_agg;xgb;2;500;0.06;0.5;3;0.6;1;mae;335624.548814871
1;bpic2020;cluster_agg;xgb;2;500;0.06;0.5;3;0.9;1;mae;333342.00037359586
1;bpic2020;cluster_agg;xgb;2;500;0.06;0.5;5;0.6;1;mae;340573.3479437035
1;bpic2020;cluster_agg;xgb;2;500;0.06;0.5;5;0.9;1;mae;344806.6396325973
1;bpic2020;cluster_agg;xgb;2;500;0.06;0.5;7;0.6;1;mae;350590.5148685173
1;bpic2020;cluster_agg;xgb;2;500;0.06;0.5;7;0.9;1;mae;353273.0055777308
1;bpic2020;cluster_agg;xgb;2;500;0.06;0.8;3;0.6;1;mae;330763.9515136218
1;bpic2020;cluster_agg;xgb;2;500;0.06;0.8;3;0.9;1;mae;331377.42861258076
1;bpic2020;cluster_agg;xgb;2;500;0.06;0.8;5;0.6;1;mae;335496.78139623767
1;bpic2020;cluster_agg;xgb;2;500;0.06;0.8;5;0.9;1;mae;335996.7066765258
1;bpic2020;cluster_agg;xgb;2;500;0.06;0.8;7;0.6;1;mae;339634.0686692491
1;bpic2020;cluster_agg;xgb;2;500;0.06;0.8;7;0.9;1;mae;340574.7523682366
1;bpic2020;cluster_agg;xgb;4;100;0.02;0.5;3;0.6;1;mae;307906.7631812523
1;bpic2020;cluster_agg;xgb;4;100;0.02;0.5;3;0.9;1;mae;307812.23112134164
1;bpic2020;cluster_agg;xgb;4;100;0.02;0.5;5;0.6;1;mae;304263.48989535373
1;bpic2020;cluster_agg;xgb;4;100;0.02;0.5;5;0.9;1;mae;304857.50861543254
1;bpic2020;cluster_agg;xgb;4;100;0.02;0.5;7;0.6;1;mae;302599.217959141
1;bpic2020;cluster_agg;xgb;4;100;0.02;0.5;7;0.9;1;mae;303399.65334903146
