part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production;cluster_agg;xgb;2;100;0.02;0.5;3;0.6;1;mae;1072415.437367285
1;production;cluster_agg;xgb;2;100;0.02;0.5;3;0.9;1;mae;1006226.924378893
1;production;cluster_agg;xgb;2;100;0.02;0.5;5;0.6;1;mae;1078780.983330974
1;production;cluster_agg;xgb;2;100;0.02;0.5;5;0.9;1;mae;1023838.8891264244
1;production;cluster_agg;xgb;2;100;0.02;0.5;7;0.6;1;mae;1068970.1150552095
1;production;cluster_agg;xgb;2;100;0.02;0.5;7;0.9;1;mae;1020331.1072352442
1;production;cluster_agg;xgb;2;100;0.02;0.8;3;0.6;1;mae;1054228.2436119763
1;production;cluster_agg;xgb;2;100;0.02;0.8;3;0.9;1;mae;1004909.4791814128
1;production;cluster_agg;xgb;2;100;0.02;0.8;5;0.6;1;mae;1067268.3254751202
1;production;cluster_agg;xgb;2;100;0.02;0.8;5;0.9;1;mae;1034394.7240099448
1;production;cluster_agg;xgb;2;100;0.02;0.8;7;0.6;1;mae;1048287.6205230748
1;production;cluster_agg;xgb;2;100;0.02;0.8;7;0.9;1;mae;1053326.547226695
1;production;cluster_agg;xgb;2;100;0.04;0.5;3;0.6;1;mae;1058254.1438566146
1;production;cluster_agg;xgb;2;100;0.04;0.5;3;0.9;1;mae;1009074.475598103
1;production;cluster_agg;xgb;2;100;0.04;0.5;5;0.6;1;mae;1059688.5272978526
1;production;cluster_agg;xgb;2;100;0.04;0.5;5;0.9;1;mae;1012583.0340502902
1;production;cluster_agg;xgb;2;100;0.04;0.5;7;0.6;1;mae;1058406.9554762705
1;production;cluster_agg;xgb;2;100;0.04;0.5;7;0.9;1;mae;997605.8742512652
1;production;cluster_agg;xgb;2;100;0.04;0.8;3;0.6;1;mae;1022446.1661859428
1;production;cluster_agg;xgb;2;100;0.04;0.8;3;0.9;1;mae;974390.6715786027
1;production;cluster_agg;xgb;2;100;0.04;0.8;5;0.6;1;mae;1069700.9579646802
1;production;cluster_agg;xgb;2;100;0.04;0.8;5;0.9;1;mae;1005542.5181700899
1;production;cluster_agg;xgb;2;100;0.04;0.8;7;0.6;1;mae;1050518.6577165027
1;production;cluster_agg;xgb;2;100;0.04;0.8;7;0.9;1;mae;1009803.8688281913
1;production;cluster_agg;xgb;2;100;0.06;0.5;3;0.6;1;mae;1071353.4302736586
1;production;cluster_agg;xgb;2;100;0.06;0.5;3;0.9;1;mae;984347.9237849925
1;production;cluster_agg;xgb;2;100;0.06;0.5;5;0.6;1;mae;1067357.9351420938
1;production;cluster_agg;xgb;2;100;0.06;0.5;5;0.9;1;mae;988634.2133296911
1;production;cluster_agg;xgb;2;100;0.06;0.5;7;0.6;1;mae;1071850.589951028
1;production;cluster_agg;xgb;2;100;0.06;0.5;7;0.9;1;mae;986506.9962098758
1;production;cluster_agg;xgb;2;100;0.06;0.8;3;0.6;1;mae;1056094.4985113782
1;production;cluster_agg;xgb;2;100;0.06;0.8;3;0.9;1;mae;1021503.7131084991
1;production;cluster_agg;xgb;2;100;0.06;0.8;5;0.6;1;mae;1100304.17016408
1;production;cluster_agg;xgb;2;100;0.06;0.8;5;0.9;1;mae;1032237.8104384909
1;production;cluster_agg;xgb;2;100;0.06;0.8;7;0.6;1;mae;1063052.0700658709
1;production;cluster_agg;xgb;2;100;0.06;0.8;7;0.9;1;mae;1027449.4255223172
1;production;cluster_agg;xgb;2;500;0.02;0.5;3;0.6;1;mae;1053943.4443469972
1;production;cluster_agg;xgb;2;500;0.02;0.5;3;0.9;1;mae;993751.6311205197
1;production;cluster_agg;xgb;2;500;0.02;0.5;5;0.6;1;mae;1046953.4448081823
1;production;cluster_agg;xgb;2;500;0.02;0.5;5;0.9;1;mae;985523.5276368293
1;production;cluster_agg;xgb;2;500;0.02;0.5;7;0.6;1;mae;1044199.9372589007
1;production;cluster_agg;xgb;2;500;0.02;0.5;7;0.9;1;mae;986427.8031236728
1;production;cluster_agg;xgb;2;500;0.02;0.8;3;0.6;1;mae;1043197.4779847643
1;production;cluster_agg;xgb;2;500;0.02;0.8;3;0.9;1;mae;1002932.6174805793
1;production;cluster_agg;xgb;2;500;0.02;0.8;5;0.6;1;mae;1051545.6115111613
1;production;cluster_agg;xgb;2;500;0.02;0.8;5;0.9;1;mae;998181.9496240843
1;production;cluster_agg;xgb;2;500;0.02;0.8;7;0.6;1;mae;1025801.4860065671
1;production;cluster_agg;xgb;2;500;0.02;0.8;7;0.9;1;mae;1030263.3046883295
1;production;cluster_agg;xgb;2;500;0.04;0.5;3;0.6;1;mae;1080968.3211870377
1;production;cluster_agg;xgb;2;500;0.04;0.5;3;0.9;1;mae;1023926.7628757567
1;production;cluster_agg;xgb;2;500;0.04;0.5;5;0.6;1;mae;1064952.1872387861
1;production;cluster_agg;xgb;2;500;0.04;0.5;5;0.9;1;mae;1020868.7037584385
1;production;cluster_agg;xgb;2;500;0.04;0.5;7;0.6;1;mae;1064340.6525684672
1;production;cluster_agg;xgb;2;500;0.04;0.5;7;0.9;1;mae;1001008.6827443729
1;production;cluster_agg;xgb;2;500;0.04;0.8;3;0.6;1;mae;1052432.9363510287
1;production;cluster_agg;xgb;2;500;0.04;0.8;3;0.9;1;mae;1015126.9707329859
1;production;cluster_agg;xgb;2;500;0.04;0.8;5;0.6;1;mae;1090089.9383593309
1;production;cluster_agg;xgb;2;500;0.04;0.8;5;0.9;1;mae;1012049.7622034369
1;production;cluster_agg;xgb;2;500;0.04;0.8;7;0.6;1;mae;1057663.3246777232
1;production;cluster_agg;xgb;2;500;0.04;0.8;7;0.9;1;mae;1017407.6335258441
1;production;cluster_agg;xgb;2;500;0.06;0.5;3;0.6;1;mae;1089425.612350032
1;production;cluster_agg;xgb;2;500;0.06;0.5;3;0.9;1;mae;995643.9065892532
1;production;cluster_agg;xgb;2;500;0.06;0.5;5;0.6;1;mae;1074213.7147272094
1;production;cluster_agg;xgb;2;500;0.06;0.5;5;0.9;1;mae;1002815.6659932294
1;production;cluster_agg;xgb;2;500;0.06;0.5;7;0.6;1;mae;1072716.2986423238
1;production;cluster_agg;xgb;2;500;0.06;0.5;7;0.9;1;mae;992790.3239477898
1;production;cluster_agg;xgb;2;500;0.06;0.8;3;0.6;1;mae;1074033.9414549123
1;production;cluster_agg;xgb;2;500;0.06;0.8;3;0.9;1;mae;1053652.373483729
1;production;cluster_agg;xgb;2;500;0.06;0.8;5;0.6;1;mae;1109404.3081679554
1;production;cluster_agg;xgb;2;500;0.06;0.8;5;0.9;1;mae;1040412.6717444968
1;production;cluster_agg;xgb;2;500;0.06;0.8;7;0.6;1;mae;1066428.8103721333
1;production;cluster_agg;xgb;2;500;0.06;0.8;7;0.9;1;mae;1035735.6785378548
1;production;cluster_agg;xgb;4;100;0.02;0.5;3;0.6;1;mae;1028583.1204257503
1;production;cluster_agg;xgb;4;100;0.02;0.5;3;0.9;1;mae;1005821.0506529587
1;production;cluster_agg;xgb;4;100;0.02;0.5;5;0.6;1;mae;1050242.832805422
1;production;cluster_agg;xgb;4;100;0.02;0.5;5;0.9;1;mae;1005163.0924283781
1;production;cluster_agg;xgb;4;100;0.02;0.5;7;0.6;1;mae;1054525.511586035
1;production;cluster_agg;xgb;4;100;0.02;0.5;7;0.9;1;mae;1004021.6501531202
1;production;cluster_agg;xgb;4;100;0.02;0.8;3;0.6;1;mae;1011109.6472076727
1;production;cluster_agg;xgb;4;100;0.02;0.8;3;0.9;1;mae;989763.1422972112
1;production;cluster_agg;xgb;4;100;0.02;0.8;5;0.6;1;mae;1027618.1768960574
1;production;cluster_agg;xgb;4;100;0.02;0.8;5;0.9;1;mae;1006056.4092139723
1;production;cluster_agg;xgb;4;100;0.02;0.8;7;0.6;1;mae;1038946.4364250071
1;production;cluster_agg;xgb;4;100;0.02;0.8;7;0.9;1;mae;1035882.3740201197
1;production;cluster_agg;xgb;4;100;0.04;0.5;3;0.6;1;mae;1025033.8533043867
1;production;cluster_agg;xgb;4;100;0.04;0.5;3;0.9;1;mae;1014517.396207332
1;production;cluster_agg;xgb;4;100;0.04;0.5;5;0.6;1;mae;1061281.7877486197
1;production;cluster_agg;xgb;4;100;0.04;0.5;5;0.9;1;mae;1041131.6610548423
1;production;cluster_agg;xgb;4;100;0.04;0.5;7;0.6;1;mae;1065451.3231349094
1;production;cluster_agg;xgb;4;100;0.04;0.5;7;0.9;1;mae;1038912.7464783476
1;production;cluster_agg;xgb;4;100;0.04;0.8;3;0.6;1;mae;1024681.8065460655
1;production;cluster_agg;xgb;4;100;0.04;0.8;3;0.9;1;mae;1003627.7896353871
1;production;cluster_agg;xgb;4;100;0.04;0.8;5;0.6;1;mae;1030635.9310500425
1;production;cluster_agg;xgb;4;100;0.04;0.8;5;0.9;1;mae;1029223.0772977421
