part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production_feature;cluster_agg;xgb;2;100;0.02;0.5;3;0.6;1;mae;1058216.532720186
1;production_feature;cluster_agg;xgb;2;100;0.02;0.5;3;0.9;1;mae;1014936.561029814
1;production_feature;cluster_agg;xgb;2;100;0.02;0.5;5;0.6;1;mae;1055436.347006633
1;production_feature;cluster_agg;xgb;2;100;0.02;0.5;5;0.9;1;mae;1022477.9382265455
1;production_feature;cluster_agg;xgb;2;100;0.02;0.5;7;0.6;1;mae;1074603.2637787198
1;production_feature;cluster_agg;xgb;2;100;0.02;0.5;7;0.9;1;mae;1003526.8455022565
1;production_feature;cluster_agg;xgb;2;100;0.02;0.8;3;0.6;1;mae;1066332.4480990153
1;production_feature;cluster_agg;xgb;2;100;0.02;0.8;3;0.9;1;mae;1033342.020411652
1;production_feature;cluster_agg;xgb;2;100;0.02;0.8;5;0.6;1;mae;1073631.4758188594
1;production_feature;cluster_agg;xgb;2;100;0.02;0.8;5;0.9;1;mae;1056773.0591578912
1;production_feature;cluster_agg;xgb;2;100;0.02;0.8;7;0.6;1;mae;1099083.3415404472
1;production_feature;cluster_agg;xgb;2;100;0.02;0.8;7;0.9;1;mae;1070486.6694517573
1;production_feature;cluster_agg;xgb;2;100;0.04;0.5;3;0.6;1;mae;1038299.5120862965
1;production_feature;cluster_agg;xgb;2;100;0.04;0.5;3;0.9;1;mae;1020960.1543075595
1;production_feature;cluster_agg;xgb;2;100;0.04;0.5;5;0.6;1;mae;1028375.8439882642
1;production_feature;cluster_agg;xgb;2;100;0.04;0.5;5;0.9;1;mae;995724.0442252462
1;production_feature;cluster_agg;xgb;2;100;0.04;0.5;7;0.6;1;mae;1031902.7496281797
1;production_feature;cluster_agg;xgb;2;100;0.04;0.5;7;0.9;1;mae;990764.4822803055
1;production_feature;cluster_agg;xgb;2;100;0.04;0.8;3;0.6;1;mae;1047604.8983605717
1;production_feature;cluster_agg;xgb;2;100;0.04;0.8;3;0.9;1;mae;1007114.7782198783
1;production_feature;cluster_agg;xgb;2;100;0.04;0.8;5;0.6;1;mae;1063392.1508842485
1;production_feature;cluster_agg;xgb;2;100;0.04;0.8;5;0.9;1;mae;999724.8112119846
1;production_feature;cluster_agg;xgb;2;100;0.04;0.8;7;0.6;1;mae;1087610.6069132932
1;production_feature;cluster_agg;xgb;2;100;0.04;0.8;7;0.9;1;mae;1056740.187626077
1;production_feature;cluster_agg;xgb;2;100;0.06;0.5;3;0.6;1;mae;1047399.601058192
1;production_feature;cluster_agg;xgb;2;100;0.06;0.5;3;0.9;1;mae;1001794.2741229101
