part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2020;cluster_index;xgb;2;100;0.02;0.5;3;0.6;1;mae;312701.49783612957
1;bpic2020;cluster_index;xgb;2;100;0.02;0.5;3;0.9;1;mae;312703.5792736736
1;bpic2020;cluster_index;xgb;2;100;0.02;0.5;5;0.6;1;mae;305489.7035116628
1;bpic2020;cluster_index;xgb;2;100;0.02;0.5;5;0.9;1;mae;306246.2042631714
1;bpic2020;cluster_index;xgb;2;100;0.02;0.5;7;0.6;1;mae;304004.8961914785
1;bpic2020;cluster_index;xgb;2;100;0.02;0.5;7;0.9;1;mae;304677.4155432254
1;bpic2020;cluster_index;xgb;2;100;0.02;0.8;3;0.6;1;mae;312039.8312298475
1;bpic2020;cluster_index;xgb;2;100;0.02;0.8;3;0.9;1;mae;311669.82558929786
1;bpic2020;cluster_index;xgb;2;100;0.02;0.8;5;0.6;1;mae;305154.6104836074
1;bpic2020;cluster_index;xgb;2;100;0.02;0.8;5;0.9;1;mae;305095.27794832864
1;bpic2020;cluster_index;xgb;2;100;0.02;0.8;7;0.6;1;mae;302685.78516116686
1;bpic2020;cluster_index;xgb;2;100;0.02;0.8;7;0.9;1;mae;304046.44226746826
1;bpic2020;cluster_index;xgb;2;100;0.04;0.5;3;0.6;1;mae;330560.7039105023
1;bpic2020;cluster_index;xgb;2;100;0.04;0.5;3;0.9;1;mae;330862.1266313628
1;bpic2020;cluster_index;xgb;2;100;0.04;0.5;5;0.6;1;mae;325000.33732519863
1;bpic2020;cluster_index;xgb;2;100;0.04;0.5;5;0.9;1;mae;325838.6708039413
1;bpic2020;cluster_index;xgb;2;100;0.04;0.5;7;0.6;1;mae;324081.9629403188
1;bpic2020;cluster_index;xgb;2;100;0.04;0.5;7;0.9;1;mae;323464.99302717036
1;bpic2020;cluster_index;xgb;2;100;0.04;0.8;3;0.6;1;mae;327901.5050589158
1;bpic2020;cluster_index;xgb;2;100;0.04;0.8;3;0.9;1;mae;327685.0971425819
1;bpic2020;cluster_index;xgb;2;100;0.04;0.8;5;0.6;1;mae;322844.19571202615
1;bpic2020;cluster_index;xgb;2;100;0.04;0.8;5;0.9;1;mae;323889.6006005181
1;bpic2020;cluster_index;xgb;2;100;0.04;0.8;7;0.6;1;mae;322149.33782787074
1;bpic2020;cluster_index;xgb;2;100;0.04;0.8;7;0.9;1;mae;320808.1301068894
1;bpic2020;cluster_index;xgb;2;100;0.06;0.5;3;0.6;1;mae;331630.6482725014
1;bpic2020;cluster_index;xgb;2;100;0.06;0.5;3;0.9;1;mae;333091.9663932343
1;bpic2020;cluster_index;xgb;2;100;0.06;0.5;5;0.6;1;mae;329568.1863351341
1;bpic2020;cluster_index;xgb;2;100;0.06;0.5;5;0.9;1;mae;330075.8208570294
1;bpic2020;cluster_index;xgb;2;100;0.06;0.5;7;0.6;1;mae;328622.1721698677
1;bpic2020;cluster_index;xgb;2;100;0.06;0.5;7;0.9;1;mae;328121.84104165115
1;bpic2020;cluster_index;xgb;2;100;0.06;0.8;3;0.6;1;mae;330211.45484103204
1;bpic2020;cluster_index;xgb;2;100;0.06;0.8;3;0.9;1;mae;330742.1762912446
1;bpic2020;cluster_index;xgb;2;100;0.06;0.8;5;0.6;1;mae;326662.0331326286
1;bpic2020;cluster_index;xgb;2;100;0.06;0.8;5;0.9;1;mae;326812.49849486654
1;bpic2020;cluster_index;xgb;2;100;0.06;0.8;7;0.6;1;mae;326579.15579867846
1;bpic2020;cluster_index;xgb;2;100;0.06;0.8;7;0.9;1;mae;326786.7043104354
1;bpic2020;cluster_index;xgb;2;500;0.02;0.5;3;0.6;1;mae;331532.9191824667
1;bpic2020;cluster_index;xgb;2;500;0.02;0.5;3;0.9;1;mae;331660.5843450947
1;bpic2020;cluster_index;xgb;2;500;0.02;0.5;5;0.6;1;mae;330038.4485486114
1;bpic2020;cluster_index;xgb;2;500;0.02;0.5;5;0.9;1;mae;329229.3623657143
1;bpic2020;cluster_index;xgb;2;500;0.02;0.5;7;0.6;1;mae;329597.2179994141
1;bpic2020;cluster_index;xgb;2;500;0.02;0.5;7;0.9;1;mae;330235.55689053034
1;bpic2020;cluster_index;xgb;2;500;0.02;0.8;3;0.6;1;mae;329207.4075463232
