part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production;cluster_index;xgb;2;100;0.02;0.5;3;0.6;1;mae;1128016.8811933747
1;production;cluster_index;xgb;2;100;0.02;0.5;3;0.9;1;mae;1128862.914779162
1;production;cluster_index;xgb;2;100;0.02;0.5;5;0.6;1;mae;1131910.1506582673
1;production;cluster_index;xgb;2;100;0.02;0.5;5;0.9;1;mae;1103907.3283638873
1;production;cluster_index;xgb;2;100;0.02;0.5;7;0.6;1;mae;1119271.3260192527
1;production;cluster_index;xgb;2;100;0.02;0.5;7;0.9;1;mae;1130609.943087309
1;production;cluster_index;xgb;2;100;0.02;0.8;3;0.6;1;mae;1130445.2427802945
1;production;cluster_index;xgb;2;100;0.02;0.8;3;0.9;1;mae;1095066.4464361551
1;production;cluster_index;xgb;2;100;0.02;0.8;5;0.6;1;mae;1114519.4887634485
1;production;cluster_index;xgb;2;100;0.02;0.8;5;0.9;1;mae;1076922.4296167186
1;production;cluster_index;xgb;2;100;0.02;0.8;7;0.6;1;mae;1102852.5925024773
1;production;cluster_index;xgb;2;100;0.02;0.8;7;0.9;1;mae;1085262.8137320392
1;production;cluster_index;xgb;2;100;0.04;0.5;3;0.6;1;mae;1109626.5596687428
1;production;cluster_index;xgb;2;100;0.04;0.5;3;0.9;1;mae;1124687.4245116082
1;production;cluster_index;xgb;2;100;0.04;0.5;5;0.6;1;mae;1092425.855521836
1;production;cluster_index;xgb;2;100;0.04;0.5;5;0.9;1;mae;1087391.8612507079
1;production;cluster_index;xgb;2;100;0.04;0.5;7;0.6;1;mae;1108310.382538222
1;production;cluster_index;xgb;2;100;0.04;0.5;7;0.9;1;mae;1114939.64738905
1;production;cluster_index;xgb;2;100;0.04;0.8;3;0.6;1;mae;1105715.107640855
1;production;cluster_index;xgb;2;100;0.04;0.8;3;0.9;1;mae;1105331.9768279304
1;production;cluster_index;xgb;2;100;0.04;0.8;5;0.6;1;mae;1109765.6835893262
1;production;cluster_index;xgb;2;100;0.04;0.8;5;0.9;1;mae;1045356.8989353202
1;production;cluster_index;xgb;2;100;0.04;0.8;7;0.6;1;mae;1108402.1208327436
1;production;cluster_index;xgb;2;100;0.04;0.8;7;0.9;1;mae;1092967.4448629273
1;production;cluster_index;xgb;2;100;0.06;0.5;3;0.6;1;mae;1108622.2460340282
1;production;cluster_index;xgb;2;100;0.06;0.5;3;0.9;1;mae;1084443.4413465282
1;production;cluster_index;xgb;2;100;0.06;0.5;5;0.6;1;mae;1116160.5250212345
1;production;cluster_index;xgb;2;100;0.06;0.5;5;0.9;1;mae;1088399.5843028915
1;production;cluster_index;xgb;2;100;0.06;0.5;7;0.6;1;mae;1128270.7276485525
1;production;cluster_index;xgb;2;100;0.06;0.5;7;0.9;1;mae;1121256.8868204984
1;production;cluster_index;xgb;2;100;0.06;0.8;3;0.6;1;mae;1109812.4120142625
1;production;cluster_index;xgb;2;100;0.06;0.8;3;0.9;1;mae;1142885.4986463052
1;production;cluster_index;xgb;2;100;0.06;0.8;5;0.6;1;mae;1098480.1852814446
1;production;cluster_index;xgb;2;100;0.06;0.8;5;0.9;1;mae;1043136.193578355
1;production;cluster_index;xgb;2;100;0.06;0.8;7;0.6;1;mae;1120381.833795256
1;production;cluster_index;xgb;2;100;0.06;0.8;7;0.9;1;mae;1071300.270469104
1;production;cluster_index;xgb;2;500;0.02;0.5;3;0.6;1;mae;1045950.0329454364
1;production;cluster_index;xgb;2;500;0.02;0.5;3;0.9;1;mae;1068032.2681961493
1;production;cluster_index;xgb;2;500;0.02;0.5;5;0.6;1;mae;1073614.1206591078
1;production;cluster_index;xgb;2;500;0.02;0.5;5;0.9;1;mae;1037364.1041769889
1;production;cluster_index;xgb;2;500;0.02;0.5;7;0.6;1;mae;1099232.3238571011
1;production;cluster_index;xgb;2;500;0.02;0.5;7;0.9;1;mae;1098905.6901919062
1;production;cluster_index;xgb;2;500;0.02;0.8;3;0.6;1;mae;1063706.3069663302
1;production;cluster_index;xgb;2;500;0.02;0.8;3;0.9;1;mae;1044549.36278578
1;production;cluster_index;xgb;2;500;0.02;0.8;5;0.6;1;mae;1097178.3101897882
1;production;cluster_index;xgb;2;500;0.02;0.8;5;0.9;1;mae;1020498.2216564623
1;production;cluster_index;xgb;2;500;0.02;0.8;7;0.6;1;mae;1081204.562084159
1;production;cluster_index;xgb;2;500;0.02;0.8;7;0.9;1;mae;1063915.3892845768
1;production;cluster_index;xgb;2;500;0.04;0.5;3;0.6;1;mae;1043709.3294853305
1;production;cluster_index;xgb;2;500;0.04;0.5;3;0.9;1;mae;1047368.3927274296
1;production;cluster_index;xgb;2;500;0.04;0.5;5;0.6;1;mae;1071349.2036624965
1;production;cluster_index;xgb;2;500;0.04;0.5;5;0.9;1;mae;1057489.5794289266
1;production;cluster_index;xgb;2;500;0.04;0.5;7;0.6;1;mae;1106705.470455943
1;production;cluster_index;xgb;2;500;0.04;0.5;7;0.9;1;mae;1108367.4842444968
1;production;cluster_index;xgb;2;500;0.04;0.8;3;0.6;1;mae;1058996.938795079
1;production;cluster_index;xgb;2;500;0.04;0.8;3;0.9;1;mae;1053652.1383635886
1;production;cluster_index;xgb;2;500;0.04;0.8;5;0.6;1;mae;1082799.4069876752
1;production;cluster_index;xgb;2;500;0.04;0.8;5;0.9;1;mae;1005007.8859666974
1;production;cluster_index;xgb;2;500;0.04;0.8;7;0.6;1;mae;1097746.7211654163
1;production;cluster_index;xgb;2;500;0.04;0.8;7;0.9;1;mae;1083262.3817861693
1;production;cluster_index;xgb;2;500;0.06;0.5;3;0.6;1;mae;1066517.0128881643
1;production;cluster_index;xgb;2;500;0.06;0.5;3;0.9;1;mae;1038865.6310584478
1;production;cluster_index;xgb;2;500;0.06;0.5;5;0.6;1;mae;1091645.8032378631
1;production;cluster_index;xgb;2;500;0.06;0.5;5;0.9;1;mae;1068427.235806665
1;production;cluster_index;xgb;2;500;0.06;0.5;7;0.6;1;mae;1116870.2109242284
1;production;cluster_index;xgb;2;500;0.06;0.5;7;0.9;1;mae;1107254.3043667716
1;production;cluster_index;xgb;2;500;0.06;0.8;3;0.6;1;mae;1069204.818293294
