part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production_feature;cluster_index;xgb;2;100;0.02;0.5;3;0.6;1;mae;1107233.466083151
1;production_feature;cluster_index;xgb;2;100;0.02;0.5;3;0.9;1;mae;1111223.6557371444
1;production_feature;cluster_index;xgb;2;100;0.02;0.5;5;0.6;1;mae;1105316.8704697757
1;production_feature;cluster_index;xgb;2;100;0.02;0.5;5;0.9;1;mae;1098136.3734785283
1;production_feature;cluster_index;xgb;2;100;0.02;0.5;7;0.6;1;mae;1103777.9369187637
1;production_feature;cluster_index;xgb;2;100;0.02;0.5;7;0.9;1;mae;1126197.4561850382
1;production_feature;cluster_index;xgb;2;100;0.02;0.8;3;0.6;1;mae;1127502.1542669584
1;production_feature;cluster_index;xgb;2;100;0.02;0.8;3;0.9;1;mae;1126372.1999794857
1;production_feature;cluster_index;xgb;2;100;0.02;0.8;5;0.6;1;mae;1128773.033626231
1;production_feature;cluster_index;xgb;2;100;0.02;0.8;5;0.9;1;mae;1128407.1238631702
1;production_feature;cluster_index;xgb;2;100;0.02;0.8;7;0.6;1;mae;1134211.6940816466
1;production_feature;cluster_index;xgb;2;100;0.02;0.8;7;0.9;1;mae;1116048.7667490086
1;production_feature;cluster_index;xgb;2;100;0.04;0.5;3;0.6;1;mae;1109826.4141479759
1;production_feature;cluster_index;xgb;2;100;0.04;0.5;3;0.9;1;mae;1144571.8245670644
1;production_feature;cluster_index;xgb;2;100;0.04;0.5;5;0.6;1;mae;1084873.84627154
1;production_feature;cluster_index;xgb;2;100;0.04;0.5;5;0.9;1;mae;1098895.5052012103
1;production_feature;cluster_index;xgb;2;100;0.04;0.5;7;0.6;1;mae;1095443.0655173003
1;production_feature;cluster_index;xgb;2;100;0.04;0.5;7;0.9;1;mae;1125675.4231528651
1;production_feature;cluster_index;xgb;2;100;0.04;0.8;3;0.6;1;mae;1115101.6166746444
1;production_feature;cluster_index;xgb;2;100;0.04;0.8;3;0.9;1;mae;1118406.2472134847
1;production_feature;cluster_index;xgb;2;100;0.04;0.8;5;0.6;1;mae;1122206.2916524208
1;production_feature;cluster_index;xgb;2;100;0.04;0.8;5;0.9;1;mae;1102449.385145993
1;production_feature;cluster_index;xgb;2;100;0.04;0.8;7;0.6;1;mae;1146152.1986524719
1;production_feature;cluster_index;xgb;2;100;0.04;0.8;7;0.9;1;mae;1145685.4068942748
1;production_feature;cluster_index;xgb;2;100;0.06;0.5;3;0.6;1;mae;1076415.2574620487
1;production_feature;cluster_index;xgb;2;100;0.06;0.5;3;0.9;1;mae;1095932.7762026463
1;production_feature;cluster_index;xgb;2;100;0.06;0.5;5;0.6;1;mae;1109802.4959127815
1;production_feature;cluster_index;xgb;2;100;0.06;0.5;5;0.9;1;mae;1074579.013652643
1;production_feature;cluster_index;xgb;2;100;0.06;0.5;7;0.6;1;mae;1102415.0482319305
1;production_feature;cluster_index;xgb;2;100;0.06;0.5;7;0.9;1;mae;1103362.0473045167
1;production_feature;cluster_index;xgb;2;100;0.06;0.8;3;0.6;1;mae;1078246.820895339
1;production_feature;cluster_index;xgb;2;100;0.06;0.8;3;0.9;1;mae;1095321.105447381
1;production_feature;cluster_index;xgb;2;100;0.06;0.8;5;0.6;1;mae;1088567.3141902864
1;production_feature;cluster_index;xgb;2;100;0.06;0.8;5;0.9;1;mae;1096332.577704031
1;production_feature;cluster_index;xgb;2;100;0.06;0.8;7;0.6;1;mae;1135637.0996606606
1;production_feature;cluster_index;xgb;2;100;0.06;0.8;7;0.9;1;mae;1131738.3269411584
1;production_feature;cluster_index;xgb;2;500;0.02;0.5;3;0.6;1;mae;1058445.2305221725
1;production_feature;cluster_index;xgb;2;500;0.02;0.5;3;0.9;1;mae;1079474.6027821014
1;production_feature;cluster_index;xgb;2;500;0.02;0.5;5;0.6;1;mae;1080085.5838198338
1;production_feature;cluster_index;xgb;2;500;0.02;0.5;5;0.9;1;mae;1058714.4870708308
1;production_feature;cluster_index;xgb;2;500;0.02;0.5;7;0.6;1;mae;1096104.2882506123
1;production_feature;cluster_index;xgb;2;500;0.02;0.5;7;0.9;1;mae;1107880.9855890253
1;production_feature;cluster_index;xgb;2;500;0.02;0.8;3;0.6;1;mae;1032799.2696466425
1;production_feature;cluster_index;xgb;2;500;0.02;0.8;3;0.9;1;mae;1068095.406022821
1;production_feature;cluster_index;xgb;2;500;0.02;0.8;5;0.6;1;mae;1106938.4009868195
1;production_feature;cluster_index;xgb;2;500;0.02;0.8;5;0.9;1;mae;1070598.0742743094
1;production_feature;cluster_index;xgb;2;500;0.02;0.8;7;0.6;1;mae;1140775.3584764344
1;production_feature;cluster_index;xgb;2;500;0.02;0.8;7;0.9;1;mae;1131339.0720027864
1;production_feature;cluster_index;xgb;2;500;0.04;0.5;3;0.6;1;mae;1084463.732999906
1;production_feature;cluster_index;xgb;2;500;0.04;0.5;3;0.9;1;mae;1106190.04812188
1;production_feature;cluster_index;xgb;2;500;0.04;0.5;5;0.6;1;mae;1068148.6662234385
1;production_feature;cluster_index;xgb;2;500;0.04;0.5;5;0.9;1;mae;1081857.6334225845
1;production_feature;cluster_index;xgb;2;500;0.04;0.5;7;0.6;1;mae;1078684.3472502392
1;production_feature;cluster_index;xgb;2;500;0.04;0.5;7;0.9;1;mae;1109224.1023996298
1;production_feature;cluster_index;xgb;2;500;0.04;0.8;3;0.6;1;mae;1061418.626532156
