part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2020;cluster_laststate;xgb;2;100;0.02;0.5;3;0.6;1;mae;308362.3647051608
1;bpic2020;cluster_laststate;xgb;2;100;0.02;0.5;3;0.9;1;mae;307374.5866258402
1;bpic2020;cluster_laststate;xgb;2;100;0.02;0.5;5;0.6;1;mae;305025.9115493938
1;bpic2020;cluster_laststate;xgb;2;100;0.02;0.5;5;0.9;1;mae;304419.7830311386
1;bpic2020;cluster_laststate;xgb;2;100;0.02;0.5;7;0.6;1;mae;302092.40968554677
1;bpic2020;cluster_laststate;xgb;2;100;0.02;0.5;7;0.9;1;mae;302164.76394494117
1;bpic2020;cluster_laststate;xgb;2;100;0.02;0.8;3;0.6;1;mae;308109.9702825623
1;bpic2020;cluster_laststate;xgb;2;100;0.02;0.8;3;0.9;1;mae;306206.3826189813
1;bpic2020;cluster_laststate;xgb;2;100;0.02;0.8;5;0.6;1;mae;304401.38450810895
1;bpic2020;cluster_laststate;xgb;2;100;0.02;0.8;5;0.9;1;mae;302774.92252406914
1;bpic2020;cluster_laststate;xgb;2;100;0.02;0.8;7;0.6;1;mae;301879.84906208835
1;bpic2020;cluster_laststate;xgb;2;100;0.02;0.8;7;0.9;1;mae;300994.2275851697
1;bpic2020;cluster_laststate;xgb;2;100;0.04;0.5;3;0.6;1;mae;325861.4232504834
1;bpic2020;cluster_laststate;xgb;2;100;0.04;0.5;3;0.9;1;mae;326277.9674035748
1;bpic2020;cluster_laststate;xgb;2;100;0.04;0.5;5;0.6;1;mae;322364.3261072748
1;bpic2020;cluster_laststate;xgb;2;100;0.04;0.5;5;0.9;1;mae;322529.78802588145
1;bpic2020;cluster_laststate;xgb;2;100;0.04;0.5;7;0.6;1;mae;320584.8574250497
1;bpic2020;cluster_laststate;xgb;2;100;0.04;0.5;7;0.9;1;mae;320592.15848526784
1;bpic2020;cluster_laststate;xgb;2;100;0.04;0.8;3;0.6;1;mae;324644.2406615387
1;bpic2020;cluster_laststate;xgb;2;100;0.04;0.8;3;0.9;1;mae;323161.72776212514
1;bpic2020;cluster_laststate;xgb;2;100;0.04;0.8;5;0.6;1;mae;320742.77962396166
1;bpic2020;cluster_laststate;xgb;2;100;0.04;0.8;5;0.9;1;mae;320573.8652440717
1;bpic2020;cluster_laststate;xgb;2;100;0.04;0.8;7;0.6;1;mae;319248.0827333546
1;bpic2020;cluster_laststate;xgb;2;100;0.04;0.8;7;0.9;1;mae;316963.8389131352
1;bpic2020;cluster_laststate;xgb;2;100;0.06;0.5;3;0.6;1;mae;328166.1124294251
1;bpic2020;cluster_laststate;xgb;2;100;0.06;0.5;3;0.9;1;mae;328492.9844776035
1;bpic2020;cluster_laststate;xgb;2;100;0.06;0.5;5;0.6;1;mae;325442.703226027
1;bpic2020;cluster_laststate;xgb;2;100;0.06;0.5;5;0.9;1;mae;325831.24369363126
1;bpic2020;cluster_laststate;xgb;2;100;0.06;0.5;7;0.6;1;mae;324690.46969216596
1;bpic2020;cluster_laststate;xgb;2;100;0.06;0.5;7;0.9;1;mae;325012.8643503172
1;bpic2020;cluster_laststate;xgb;2;100;0.06;0.8;3;0.6;1;mae;326467.67066118843
1;bpic2020;cluster_laststate;xgb;2;100;0.06;0.8;3;0.9;1;mae;326150.1136938673
1;bpic2020;cluster_laststate;xgb;2;100;0.06;0.8;5;0.6;1;mae;324009.14578214544
1;bpic2020;cluster_laststate;xgb;2;100;0.06;0.8;5;0.9;1;mae;323047.51046193426
1;bpic2020;cluster_laststate;xgb;2;100;0.06;0.8;7;0.6;1;mae;322308.09834579914
1;bpic2020;cluster_laststate;xgb;2;100;0.06;0.8;7;0.9;1;mae;320357.4154053667
1;bpic2020;cluster_laststate;xgb;2;500;0.02;0.5;3;0.6;1;mae;326864.3184761815
1;bpic2020;cluster_laststate;xgb;2;500;0.02;0.5;3;0.9;1;mae;327464.1241815044
1;bpic2020;cluster_laststate;xgb;2;500;0.02;0.5;5;0.6;1;mae;325262.1465277527
1;bpic2020;cluster_laststate;xgb;2;500;0.02;0.5;5;0.9;1;mae;325010.46941987
1;bpic2020;cluster_laststate;xgb;2;500;0.02;0.5;7;0.6;1;mae;324936.88330908725
1;bpic2020;cluster_laststate;xgb;2;500;0.02;0.5;7;0.9;1;mae;325386.0679481743
1;bpic2020;cluster_laststate;xgb;2;500;0.02;0.8;3;0.6;1;mae;325471.51954797335
1;bpic2020;cluster_laststate;xgb;2;500;0.02;0.8;3;0.9;1;mae;325337.0480493514
1;bpic2020;cluster_laststate;xgb;2;500;0.02;0.8;5;0.6;1;mae;323034.25056479283
1;bpic2020;cluster_laststate;xgb;2;500;0.02;0.8;5;0.9;1;mae;322329.0780144312
1;bpic2020;cluster_laststate;xgb;2;500;0.02;0.8;7;0.6;1;mae;323438.3797318076
