part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production_feature;cluster_laststate;xgb;2;100;0.02;0.5;3;0.6;1;mae;1052848.2382043216
1;production_feature;cluster_laststate;xgb;2;100;0.02;0.5;3;0.9;1;mae;1019083.1481297866
1;production_feature;cluster_laststate;xgb;2;100;0.02;0.5;5;0.6;1;mae;1057587.6634812637
1;production_feature;cluster_laststate;xgb;2;100;0.02;0.5;5;0.9;1;mae;1021083.3221245897
1;production_feature;cluster_laststate;xgb;2;100;0.02;0.5;7;0.6;1;mae;1047214.6072210065
1;production_feature;cluster_laststate;xgb;2;100;0.02;0.5;7;0.9;1;mae;1019382.7703261762
1;production_feature;cluster_laststate;xgb;2;100;0.02;0.8;3;0.6;1;mae;1063230.6428644694
1;production_feature;cluster_laststate;xgb;2;100;0.02;0.8;3;0.9;1;mae;1032451.1168797866
1;production_feature;cluster_laststate;xgb;2;100;0.02;0.8;5;0.6;1;mae;1090238.5651283849
1;production_feature;cluster_laststate;xgb;2;100;0.02;0.8;5;0.9;1;mae;1058278.343497846
1;production_feature;cluster_laststate;xgb;2;100;0.02;0.8;7;0.6;1;mae;1084947.7600476956
1;production_feature;cluster_laststate;xgb;2;100;0.02;0.8;7;0.9;1;mae;1066735.2438628282
1;production_feature;cluster_laststate;xgb;2;100;0.04;0.5;3;0.6;1;mae;1020441.6011351204
1;production_feature;cluster_laststate;xgb;2;100;0.04;0.5;3;0.9;1;mae;981929.0828774617
1;production_feature;cluster_laststate;xgb;2;100;0.04;0.5;5;0.6;1;mae;1024147.6372123735
1;production_feature;cluster_laststate;xgb;2;100;0.04;0.5;5;0.9;1;mae;983289.7511453774
1;production_feature;cluster_laststate;xgb;2;100;0.04;0.5;7;0.6;1;mae;1030077.5147038633
1;production_feature;cluster_laststate;xgb;2;100;0.04;0.5;7;0.9;1;mae;994952.0025108554
1;production_feature;cluster_laststate;xgb;2;100;0.04;0.8;3;0.6;1;mae;1034920.5410615683
1;production_feature;cluster_laststate;xgb;2;100;0.04;0.8;3;0.9;1;mae;993796.7139291576
1;production_feature;cluster_laststate;xgb;2;100;0.04;0.8;5;0.6;1;mae;1057718.5393579262
1;production_feature;cluster_laststate;xgb;2;100;0.04;0.8;5;0.9;1;mae;1031135.0517343066
1;production_feature;cluster_laststate;xgb;2;100;0.04;0.8;7;0.6;1;mae;1048009.3557786002
1;production_feature;cluster_laststate;xgb;2;100;0.04;0.8;7;0.9;1;mae;1046775.8097551542
1;production_feature;cluster_laststate;xgb;2;100;0.06;0.5;3;0.6;1;mae;1032100.8903055337
1;production_feature;cluster_laststate;xgb;2;100;0.06;0.5;3;0.9;1;mae;995080.1132021848
1;production_feature;cluster_laststate;xgb;2;100;0.06;0.5;5;0.6;1;mae;1032889.1637844361
1;production_feature;cluster_laststate;xgb;2;100;0.06;0.5;5;0.9;1;mae;990904.0919144044
1;production_feature;cluster_laststate;xgb;2;100;0.06;0.5;7;0.6;1;mae;1040047.0324036579
1;production_feature;cluster_laststate;xgb;2;100;0.06;0.5;7;0.9;1;mae;998295.1378726751
1;production_feature;cluster_laststate;xgb;2;100;0.06;0.8;3;0.6;1;mae;1038377.9496781831
1;production_feature;cluster_laststate;xgb;2;100;0.06;0.8;3;0.9;1;mae;988021.8009949399
1;production_feature;cluster_laststate;xgb;2;100;0.06;0.8;5;0.6;1;mae;1075235.8776326587
1;production_feature;cluster_laststate;xgb;2;100;0.06;0.8;5;0.9;1;mae;1027391.2827543764
1;production_feature;cluster_laststate;xgb;2;100;0.06;0.8;7;0.6;1;mae;1057987.704866572
1;production_feature;cluster_laststate;xgb;2;100;0.06;0.8;7;0.9;1;mae;1044570.0672118607
1;production_feature;cluster_laststate;xgb;2;500;0.02;0.5;3;0.6;1;mae;1030496.5378786584
1;production_feature;cluster_laststate;xgb;2;500;0.02;0.5;3;0.9;1;mae;1000424.4004248154
1;production_feature;cluster_laststate;xgb;2;500;0.02;0.5;5;0.6;1;mae;1026561.4095652641
1;production_feature;cluster_laststate;xgb;2;500;0.02;0.5;5;0.9;1;mae;994000.7664605272
1;production_feature;cluster_laststate;xgb;2;500;0.02;0.5;7;0.6;1;mae;1036949.9658443526
1;production_feature;cluster_laststate;xgb;2;500;0.02;0.5;7;0.9;1;mae;992217.4370021027
1;production_feature;cluster_laststate;xgb;2;500;0.02;0.8;3;0.6;1;mae;1047869.5235798374
1;production_feature;cluster_laststate;xgb;2;500;0.02;0.8;3;0.9;1;mae;1005208.419912259
1;production_feature;cluster_laststate;xgb;2;500;0.02;0.8;5;0.6;1;mae;1059919.2839873666
1;production_feature;cluster_laststate;xgb;2;500;0.02;0.8;5;0.9;1;mae;1029523.4422278873
1;production_feature;cluster_laststate;xgb;2;500;0.02;0.8;7;0.6;1;mae;1059062.7125572688
1;production_feature;cluster_laststate;xgb;2;500;0.02;0.8;7;0.9;1;mae;1034750.9399371324
1;production_feature;cluster_laststate;xgb;2;500;0.04;0.5;3;0.6;1;mae;1040155.5860379342
1;production_feature;cluster_laststate;xgb;2;500;0.04;0.5;3;0.9;1;mae;1034469.6164443936
1;production_feature;cluster_laststate;xgb;2;500;0.04;0.5;5;0.6;1;mae;1057194.258925824
1;production_feature;cluster_laststate;xgb;2;500;0.04;0.5;5;0.9;1;mae;1002745.3743749573
1;production_feature;cluster_laststate;xgb;2;500;0.04;0.5;7;0.6;1;mae;1060294.3910088404
1;production_feature;cluster_laststate;xgb;2;500;0.04;0.5;7;0.9;1;mae;1014158.8916637996
1;production_feature;cluster_laststate;xgb;2;500;0.04;0.8;3;0.6;1;mae;1054789.981351289
1;production_feature;cluster_laststate;xgb;2;500;0.04;0.8;3;0.9;1;mae;1030549.880281344
1;production_feature;cluster_laststate;xgb;2;500;0.04;0.8;5;0.6;1;mae;1078076.4407261822
1;production_feature;cluster_laststate;xgb;2;500;0.04;0.8;5;0.9;1;mae;1048480.2984530993
1;production_feature;cluster_laststate;xgb;2;500;0.04;0.8;7;0.6;1;mae;1058225.781447663
1;production_feature;cluster_laststate;xgb;2;500;0.04;0.8;7;0.9;1;mae;1055626.2053965228
1;production_feature;cluster_laststate;xgb;2;500;0.06;0.5;3;0.6;1;mae;1067212.9430842493
1;production_feature;cluster_laststate;xgb;2;500;0.06;0.5;3;0.9;1;mae;1043490.55094312
1;production_feature;cluster_laststate;xgb;2;500;0.06;0.5;5;0.6;1;mae;1064611.0272497265
1;production_feature;cluster_laststate;xgb;2;500;0.06;0.5;5;0.9;1;mae;1024690.0447207395
1;production_feature;cluster_laststate;xgb;2;500;0.06;0.5;7;0.6;1;mae;1061581.7250698765
1;production_feature;cluster_laststate;xgb;2;500;0.06;0.5;7;0.9;1;mae;1020145.9725878859
1;production_feature;cluster_laststate;xgb;2;500;0.06;0.8;3;0.6;1;mae;1079074.2599128038
1;production_feature;cluster_laststate;xgb;2;500;0.06;0.8;3;0.9;1;mae;1041947.5125264976
1;production_feature;cluster_laststate;xgb;2;500;0.06;0.8;5;0.6;1;mae;1092659.8662339093
1;production_feature;cluster_laststate;xgb;2;500;0.06;0.8;5;0.9;1;mae;1057379.4226571047
1;production_feature;cluster_laststate;xgb;2;500;0.06;0.8;7;0.6;1;mae;1070962.983318838
1;production_feature;cluster_laststate;xgb;2;500;0.06;0.8;7;0.9;1;mae;1055954.2242845665
1;production_feature;cluster_laststate;xgb;4;100;0.02;0.5;3;0.6;1;mae;1131548.9067628556
1;production_feature;cluster_laststate;xgb;4;100;0.02;0.5;3;0.9;1;mae;1089599.242837117
1;production_feature;cluster_laststate;xgb;4;100;0.02;0.5;5;0.6;1;mae;1123928.674541849
1;production_feature;cluster_laststate;xgb;4;100;0.02;0.5;5;0.9;1;mae;1090225.8472887035
1;production_feature;cluster_laststate;xgb;4;100;0.02;0.5;7;0.6;1;mae;1119145.718519215
1;production_feature;cluster_laststate;xgb;4;100;0.02;0.5;7;0.9;1;mae;1075469.2681636352
1;production_feature;cluster_laststate;xgb;4;100;0.02;0.8;3;0.6;1;mae;1127313.697979349
1;production_feature;cluster_laststate;xgb;4;100;0.02;0.8;3;0.9;1;mae;1092398.8407925328
1;production_feature;cluster_laststate;xgb;4;100;0.02;0.8;5;0.6;1;mae;1138447.9709681005
1;production_feature;cluster_laststate;xgb;4;100;0.02;0.8;5;0.9;1;mae;1122927.0920618505
1;production_feature;cluster_laststate;xgb;4;100;0.02;0.8;7;0.6;1;mae;1133836.313235093
1;production_feature;cluster_laststate;xgb;4;100;0.02;0.8;7;0.9;1;mae;1112799.9562277764
1;production_feature;cluster_laststate;xgb;4;100;0.04;0.5;3;0.6;1;mae;1126784.0945107357
1;production_feature;cluster_laststate;xgb;4;100;0.04;0.5;3;0.9;1;mae;1110340.4305251641
1;production_feature;cluster_laststate;xgb;4;100;0.04;0.5;5;0.6;1;mae;1101888.6371119393
1;production_feature;cluster_laststate;xgb;4;100;0.04;0.5;5;0.9;1;mae;1096464.4753893428
1;production_feature;cluster_laststate;xgb;4;100;0.04;0.5;7;0.6;1;mae;1105575.4507005555
1;production_feature;cluster_laststate;xgb;4;100;0.04;0.5;7;0.9;1;mae;1085552.6704689208
1;production_feature;cluster_laststate;xgb;4;100;0.04;0.8;3;0.6;1;mae;1132728.4978289113
1;production_feature;cluster_laststate;xgb;4;100;0.04;0.8;3;0.9;1;mae;1107582.976921499
1;production_feature;cluster_laststate;xgb;4;100;0.04;0.8;5;0.6;1;mae;1121554.1030059748
