part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;1;mae;583191.3317633929
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;2;mae;407602.80340290384
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;3;mae;310317.2577273965
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;4;mae;165532.12348387227
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;5;mae;83242.16472614676
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;6;mae;131634.6269663063
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;1;mae;583977.0679910714
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;2;mae;407182.1815108893
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;3;mae;312514.81442901236
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;4;mae;168104.99762504624
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;5;mae;84040.77445740631
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;6;mae;132918.05859375
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;1;mae;581453.4473828125
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;2;mae;407047.60967558983
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;3;mae;305682.8557098765
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;4;mae;155612.9125893497
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;5;mae;77496.21997206885
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;6;mae;127152.81856332699
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;1;mae;580306.565703125
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;2;mae;407674.05638611614
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;3;mae;307877.12989061367
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;4;mae;156551.97912055923
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;5;mae;78527.98062175771
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;6;mae;127698.90889650444
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;1;mae;581197.9107275391
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;2;mae;409510.48372277676
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;3;mae;302838.38326638524
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;4;mae;152372.69943226018
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;5;mae;74920.62706548873
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;6;mae;124966.76618755143
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;7;0.9;1;mae;582242.5571651786
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;7;0.9;2;mae;408592.512534029
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;7;0.9;3;mae;304982.7479603531
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;7;0.9;4;mae;152044.3514383305
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;7;0.9;5;mae;76180.78629471202
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.5;7;0.9;6;mae;125142.66876018496
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;3;0.6;1;mae;582746.1082366072
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;3;0.6;2;mae;407124.60882486386
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;3;0.6;3;mae;309628.0205269608
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;3;0.6;4;mae;164514.55512305265
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;3;0.6;5;mae;81732.86523216357
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;3;0.6;6;mae;131255.5468050818
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;3;0.9;1;mae;586789.3981696429
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;3;0.9;2;mae;408863.69208257715
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;3;0.9;3;mae;311553.8833401416
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;3;0.9;4;mae;164473.10681296806
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;3;0.9;5;mae;82338.91561745906
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;3;0.9;6;mae;133117.3710324283
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;5;0.6;1;mae;580135.8049665178
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;5;0.6;2;mae;406338.1913225953
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;5;0.6;3;mae;305301.4850161129
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;5;0.6;4;mae;154144.3451771482
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;5;0.6;5;mae;77600.48314786259
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;5;0.6;6;mae;127888.60568373416
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;5;0.9;1;mae;579477.8197098214
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;5;0.9;2;mae;405350.122357078
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;5;0.9;3;mae;306416.8275576434
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;5;0.9;4;mae;154610.3486703726
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;5;0.9;5;mae;78274.38710506367
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;5;0.9;6;mae;128349.40627851173
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;7;0.6;1;mae;580915.0033984375
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;7;0.6;2;mae;407054.05480943737
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;7;0.6;3;mae;302001.22142224945
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;7;0.6;4;mae;150817.94458378278
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;7;0.6;5;mae;75086.15556067962
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;7;0.6;6;mae;125508.65095338404
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;7;0.9;1;mae;580255.9917801339
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;7;0.9;2;mae;406789.529446461
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;7;0.9;3;mae;305126.12138593866
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;7;0.9;4;mae;151633.45033825713
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;7;0.9;5;mae;75576.29075797355
1;bpic2020;prefix_agg;xgb;1;100;0.02;0.8;7;0.9;6;mae;125882.45370698311
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;3;0.6;1;mae;625609.7290401786
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;3;0.6;2;mae;433602.8621597096
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;3;0.6;3;mae;326994.68091866374
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;3;0.6;4;mae;171600.16276234284
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;3;0.6;5;mae;86131.83172165138
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;3;0.6;6;mae;140102.0288553014
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;3;0.9;1;mae;624565.100625
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;3;0.9;2;mae;431956.23568511795
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;3;0.9;3;mae;326837.9093931554
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;3;0.9;4;mae;173971.766019381
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;3;0.9;5;mae;88403.73481728374
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;3;0.9;6;mae;142056.54418601454
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;5;0.6;1;mae;626912.5393933106
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;5;0.6;2;mae;434991.31325998186
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;5;0.6;3;mae;326014.3502292121
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;5;0.6;4;mae;163269.7443587625
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;5;0.6;5;mae;80171.88936758733
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;5;0.6;6;mae;135478.72844842006
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;5;0.9;1;mae;622868.3721777344
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;5;0.9;2;mae;435905.13129537203
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;5;0.9;3;mae;326223.5048395516
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;5;0.9;4;mae;166516.4173937916
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;5;0.9;5;mae;82109.07039575992
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;5;0.9;6;mae;136506.0023364036
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;7;0.6;1;mae;631262.891390904
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;7;0.6;2;mae;437789.48884981853
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;7;0.6;3;mae;325410.10360462905
1;bpic2020;prefix_agg;xgb;1;100;0.04;0.5;7;0.6;4;mae;159335.10948628082
