part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;1;mae;1271738.3666666667
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;2;mae;1261539.3389830508
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;3;mae;1188367.489224138
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;4;mae;1199313.8806818181
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;5;mae;1198782.0852272727
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;6;mae;1248571.2261363636
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;7;mae;1208918.5359669812
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;8;mae;1085265.9923469387
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;9;mae;1115732.2318239796
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;10;mae;1026941.9775191327
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;11;mae;1119655.154815051
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;12;mae;1027699.8062160326
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;13;mae;1052647.72109375
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;14;mae;876691.83984375
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;15;mae;1056387.1458333333
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;16;mae;1139901.916015625
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;17;mae;1150615.3783482143
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;18;mae;1056196.181712963
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;19;mae;1049119.095625
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;20;mae;1109133.85875
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;1;mae;1262941.084375
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;2;mae;1228527.1959745763
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;3;mae;1184609.6411637932
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;4;mae;1137959.3875
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;5;mae;1160959.89375
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;6;mae;1224544.6738636363
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;7;mae;1208625.7886202831
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;8;mae;1077926.6728316327
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;9;mae;1133716.1543367347
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;10;mae;1038469.0401785715
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;11;mae;1096900.161989796
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;12;mae;1060006.7282608696
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;13;mae;1012670.7857421875
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;14;mae;858474.7654690213
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;15;mae;1074562.3304924243
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;16;mae;1097527.1240234375
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;17;mae;1128705.8738839286
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;18;mae;1044025.3339120371
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;19;mae;988953.845625
1;production;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;20;mae;1095218.705
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;1;mae;1278456.5385416667
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;2;mae;1258538.340572034
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;3;mae;1199871.3114224137
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;4;mae;1173454.5
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;5;mae;1199801.31875
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;6;mae;1211644.3011363635
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;7;mae;1189509.6530070754
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;8;mae;1090240.0408163266
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;9;mae;1083330.558992347
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;10;mae;1039497.4135841837
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;11;mae;1116178.0434470663
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;12;mae;1025667.3737262228
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;13;mae;1055357.565283203
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;14;mae;866787.7667100695
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;15;mae;1035378.8409090909
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;16;mae;1133364.8120117188
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;17;mae;1140577.7388392857
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;18;mae;1056237.0306712964
1;production;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;19;mae;1037635.33875
