part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;1;mae;1266739.7989583334
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;2;mae;1244464.8008474577
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;3;mae;1205541.1551724137
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;4;mae;1146839.5522727272
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;5;mae;1218780.7920454545
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;6;mae;1209485.9647727273
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;7;mae;1244385.5377358492
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;8;mae;1118334.0225
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;9;mae;1108909.9896875
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;10;mae;1162775.12625
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;11;mae;1157151.945
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;12;mae;1042202.619140625
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;13;mae;985814.7940340909
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;14;mae;912377.44609375
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;15;mae;1003324.1131756756
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;16;mae;957138.1121323529
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;17;mae;1000803.3076171875
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;18;mae;1016884.7895665322
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;19;mae;1032317.5682870371
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;20;mae;999646.8966346154
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;1;mae;1241988.6760416667
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;2;mae;1216692.5730932204
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;3;mae;1193475.3803879311
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;4;mae;1158738.2204545455
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;5;mae;1204810.9875
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;6;mae;1224530.7170454545
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;7;mae;1219788.0869693395
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;8;mae;1133329.216875
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;9;mae;1090654.769375
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;10;mae;1151833.4740625
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;11;mae;1161249.34375
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;12;mae;1054149.5940755208
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;13;mae;988771.6670809659
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;14;mae;935421.2046875
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;15;mae;1018085.2288851351
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;16;mae;940166.2748161765
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;17;mae;1013160.1357421875
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;18;mae;1026302.8520665322
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;19;mae;1034411.5324074074
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;20;mae;1023962.6646634615
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;1;mae;1240908.1369791667
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;2;mae;1228603.78654661
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;3;mae;1197325.4719827587
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;4;mae;1133047.1625
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;5;mae;1226766.2704545455
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;6;mae;1216917.6136363635
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;7;mae;1242659.159787736
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;8;mae;1113097.634375
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;9;mae;1090691.194375
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;10;mae;1168190.9478125
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;11;mae;1148075.15875
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;12;mae;1049874.9055989583
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;13;mae;979626.96875
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;14;mae;903765.3748046875
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;15;mae;1015805.6646959459
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;16;mae;961632.3671875
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;17;mae;975243.5178222656
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;18;mae;997072.5816532258
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;19;mae;1031327.5162037037
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;20;mae;974410.0366586539
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;1;mae;1231011.3171875
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;2;mae;1207160.9894067796
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;3;mae;1207960.2650862068
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;4;mae;1144596.803409091
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;5;mae;1198952.2926136365
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;6;mae;1209242.5255681819
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;7;mae;1249990.8366745282
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;8;mae;1097696.93625
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;9;mae;1087229.4275
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;10;mae;1144321.235625
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;11;mae;1153578.835
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;12;mae;1060516.3131510417
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;13;mae;952015.2732599432
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;14;mae;912752.17421875
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;15;mae;996949.941722973
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;16;mae;947689.7109375
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;17;mae;1031988.6713867188
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;18;mae;987641.1421370967
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;19;mae;1034023.7621527778
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;20;mae;1030746.6947115385
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;1;mae;1245663.4661458333
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;2;mae;1218905.4825211863
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;3;mae;1186662.6540948276
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;4;mae;1138670.5375
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;5;mae;1237747.1011363636
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;6;mae;1200742.4363636363
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;7;mae;1230683.4327830188
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;8;mae;1119394.875625
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;9;mae;1083220.8815625
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;10;mae;1164524.04625
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;11;mae;1141571.0459375
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;12;mae;1039343.6233723959
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;13;mae;972505.1756036932
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;14;mae;900291.0166015625
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;15;mae;1023942.2153716217
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;16;mae;958268.7513786765
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;17;mae;972005.984375
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;18;mae;1001001.6791204637
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;19;mae;1032189.5729166666
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;20;mae;972164.2265625
1;production_feature;prefix_agg;xgb;1;100;0.02;0.5;7;0.9;1;mae;1225053.0651041667
