part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;1;mae;25351358.546322852
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;2;mae;15594614.302469358
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;3;mae;15155782.466823695
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;4;mae;14120724.461547276
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;3;0.6;5;mae;3891586.755902172
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;1;mae;25315911.465896904
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;2;mae;15563393.503567927
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;3;mae;15178333.262500545
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;4;mae;14109959.618383061
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;3;0.9;5;mae;3890594.256807466
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;1;mae;25194119.370283548
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;2;mae;15308210.946067078
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;3;mae;15005953.514755847
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;4;mae;13739043.541489068
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;5;0.6;5;mae;3820625.709284128
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;1;mae;25160145.753472656
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;2;mae;15290105.742525676
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;3;mae;14988213.340999499
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;4;mae;13750512.067578716
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;5;0.9;5;mae;3813344.2246391936
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;1;mae;25095543.17261029
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;2;mae;15160819.801453268
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;3;mae;14962284.182698883
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;4;mae;13417393.093943352
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;7;0.6;5;mae;3760438.3460538033
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;7;0.9;1;mae;25054119.19069054
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;7;0.9;2;mae;15138434.524743551
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;7;0.9;3;mae;14960905.955453612
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;7;0.9;4;mae;13380162.94283652
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.5;7;0.9;5;mae;3753442.1346038003
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;3;0.6;1;mae;25356003.07454051
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;3;0.6;2;mae;15586605.063678723
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;3;0.6;3;mae;15169956.036968973
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;3;0.6;4;mae;14112181.555948943
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;3;0.6;5;mae;3895380.577311632
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;3;0.9;1;mae;25309953.48524901
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;3;0.9;2;mae;15565643.293669652
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;3;0.9;3;mae;15177912.366670845
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;3;0.9;4;mae;14089085.458602594
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;3;0.9;5;mae;3893429.3461153777
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;5;0.6;1;mae;25189180.504426543
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;5;0.6;2;mae;15311238.955694811
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;5;0.6;3;mae;15005063.615508795
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;5;0.6;4;mae;13771779.930244282
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;5;0.6;5;mae;3821886.336334425
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;5;0.9;1;mae;25150795.85069453
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;5;0.9;2;mae;15293742.502700737
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;5;0.9;3;mae;14976216.166929139
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;5;0.9;4;mae;13769248.75928663
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;5;0.9;5;mae;3807574.885021554
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;7;0.6;1;mae;25082090.72766154
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;7;0.6;2;mae;15167392.438377857
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;7;0.6;3;mae;14965471.934127776
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;7;0.6;4;mae;13386287.52484933
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;7;0.6;5;mae;3762246.0535559836
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;7;0.9;1;mae;25039133.905047506
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;7;0.9;2;mae;15149175.791398954
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;7;0.9;3;mae;14957924.395913482
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;7;0.9;4;mae;13393158.031595169
1;traffic_fines;prefix_agg;xgb;1;100;0.02;0.8;7;0.9;5;mae;3746797.316190008
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;3;0.6;1;mae;25407218.20953141
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;3;0.6;2;mae;14913006.017477373
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;3;0.6;3;mae;13881098.223931456
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;3;0.6;4;mae;13258135.754772216
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;3;0.6;5;mae;4041633.5265522073
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;3;0.9;1;mae;25395806.03275643
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;3;0.9;2;mae;14909553.05274212
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;3;0.9;3;mae;13892088.168952167
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;3;0.9;4;mae;13199496.96098011
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;3;0.9;5;mae;4040664.80620538
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;5;0.6;1;mae;25258227.783273898
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;5;0.6;2;mae;14594473.822815996
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;5;0.6;3;mae;13447129.867153442
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;5;0.6;4;mae;12587692.54174544
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;5;0.6;5;mae;3955210.8756535416
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;5;0.9;1;mae;25242671.992705554
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;5;0.9;2;mae;14572803.814850677
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;5;0.9;3;mae;13412201.31942768
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;5;0.9;4;mae;12576372.032500343
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;5;0.9;5;mae;3958211.5494712926
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;7;0.6;1;mae;25165793.688633133
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;7;0.6;2;mae;14458132.766272942
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;7;0.6;3;mae;13156951.845090257
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;7;0.6;4;mae;12016966.219287805
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;7;0.6;5;mae;3880767.5026134755
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;7;0.9;1;mae;25150923.183570664
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;7;0.9;2;mae;14437829.480946587
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;7;0.9;3;mae;13174164.630968785
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;7;0.9;4;mae;12027789.20692974
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.5;7;0.9;5;mae;3871633.66703412
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;3;0.6;1;mae;25405501.52155914
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;3;0.6;2;mae;14911746.754219245
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;3;0.6;3;mae;13921911.736199813
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;3;0.6;4;mae;13218915.345649147
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;3;0.6;5;mae;4053624.862401419
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;3;0.9;1;mae;25384300.52764408
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;3;0.9;2;mae;14915120.642724102
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;3;0.9;3;mae;13844495.400535114
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;3;0.9;4;mae;13224666.090753758
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;3;0.9;5;mae;4050744.7174373483
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;5;0.6;1;mae;25235743.25121574
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;5;0.6;2;mae;14548990.692789521
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;5;0.6;3;mae;13348175.236204581
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;5;0.6;4;mae;12534343.939914754
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;5;0.6;5;mae;3953053.229045356
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;5;0.9;1;mae;25227427.73862191
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;5;0.9;2;mae;14538875.696775967
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;5;0.9;3;mae;13373238.718847405
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;5;0.9;4;mae;12565378.219878603
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;5;0.9;5;mae;3949616.0949132885
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;7;0.6;1;mae;25142479.328923415
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;7;0.6;2;mae;14405985.363662021
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;7;0.6;3;mae;13135299.823242826
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;7;0.6;4;mae;11951575.060355224
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;7;0.6;5;mae;3866846.579415018
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;7;0.9;1;mae;25144248.94326542
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;7;0.9;2;mae;14407167.087422863
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;7;0.9;3;mae;13140081.869336713
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;7;0.9;4;mae;11989498.078951044
1;traffic_fines;prefix_agg;xgb;1;100;0.04;0.8;7;0.9;5;mae;3866825.8603878478
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;3;0.6;1;mae;25354166.47115888
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;3;0.6;2;mae;14802197.706440378
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;3;0.6;3;mae;13785288.431939736
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;3;0.6;4;mae;13067018.464338707
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;3;0.6;5;mae;4014921.649745032
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;3;0.9;1;mae;25345036.207249556
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;3;0.9;2;mae;14816717.308536373
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;3;0.9;3;mae;13633452.50339283
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;3;0.9;4;mae;13019317.116612814
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;3;0.9;5;mae;4038776.6639769957
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;5;0.6;1;mae;25216201.350837927
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;5;0.6;2;mae;14502997.935226867
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;5;0.6;3;mae;13248729.073859451
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;5;0.6;4;mae;12404573.2487783
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;5;0.6;5;mae;3932210.155251792
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;5;0.9;1;mae;25215240.455472704
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;5;0.9;2;mae;14490591.92477785
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;5;0.9;3;mae;13223778.883940151
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;5;0.9;4;mae;12391982.390387965
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;5;0.9;5;mae;3945461.5758098518
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;7;0.6;1;mae;25143900.684119307
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;7;0.6;2;mae;14369899.072456047
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;7;0.6;3;mae;13010385.587182522
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;7;0.6;4;mae;11860837.870378526
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;7;0.6;5;mae;3873472.988483913
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;7;0.9;1;mae;25145775.214967955
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;7;0.9;2;mae;14358615.84908986
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;7;0.9;3;mae;13050403.793138655
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;7;0.9;4;mae;11867175.007615209
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.5;7;0.9;5;mae;3883305.626529556
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;3;0.6;1;mae;25351617.689194243
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;3;0.6;2;mae;14775569.243571818
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;3;0.6;3;mae;13676363.6031908
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;3;0.6;4;mae;13083154.317081729
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;3;0.6;5;mae;4039454.0564999743
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;3;0.9;1;mae;25333291.020062845
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;3;0.9;2;mae;14813988.72363498
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;3;0.9;3;mae;13690783.214928042
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;3;0.9;4;mae;13024249.813747618
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;3;0.9;5;mae;4049739.960958337
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;5;0.6;1;mae;25217537.1407267
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;5;0.6;2;mae;14504200.63929812
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;5;0.6;3;mae;13196891.48404396
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;5;0.6;4;mae;12325078.61715984
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;5;0.6;5;mae;3939566.2852625744
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;5;0.9;1;mae;25213124.206725854
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;5;0.9;2;mae;14458904.03495007
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;5;0.9;3;mae;13200186.85405195
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;5;0.9;4;mae;12262128.777266588
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;5;0.9;5;mae;3925180.829390872
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;7;0.6;1;mae;25109497.555456497
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;7;0.6;2;mae;14345132.799377156
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;7;0.6;3;mae;12982139.494255207
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;7;0.6;4;mae;11745744.594407396
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;7;0.6;5;mae;3868916.1909956196
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;7;0.9;1;mae;25121339.768391978
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;7;0.9;2;mae;14347378.557719912
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;7;0.9;3;mae;12984810.04814646
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;7;0.9;4;mae;11706681.465345928
1;traffic_fines;prefix_agg;xgb;1;100;0.06;0.8;7;0.9;5;mae;3834364.0334316376
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;3;0.6;1;mae;25291339.553929027
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;3;0.6;2;mae;14670899.827435307
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;3;0.6;3;mae;13537590.245692294
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;3;0.6;4;mae;12796739.186252521
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;3;0.6;5;mae;4005546.0500036115
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;3;0.9;1;mae;25274401.043679394
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;3;0.9;2;mae;14683262.383144371
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;3;0.9;3;mae;13544727.865833705
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;3;0.9;4;mae;12763562.454181276
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;3;0.9;5;mae;4003712.004376894
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;5;0.6;1;mae;25177340.384535775
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;5;0.6;2;mae;14408178.7892752
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;5;0.6;3;mae;13173385.040694162
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;5;0.6;4;mae;12123665.082368005
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;5;0.6;5;mae;3925219.6319241235
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;5;0.9;1;mae;25176992.06696551
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;5;0.9;2;mae;14432102.258172354
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;5;0.9;3;mae;13172266.489004849
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;5;0.9;4;mae;12114321.478136888
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;5;0.9;5;mae;3912061.136563535
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;7;0.6;1;mae;25096318.07444076
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;7;0.6;2;mae;14317905.70360863
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;7;0.6;3;mae;12986663.193969859
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;7;0.6;4;mae;11611775.966532538
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;7;0.6;5;mae;3863961.156900235
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;7;0.9;1;mae;25096907.094665702
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;7;0.9;2;mae;14319616.387141488
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;7;0.9;3;mae;12987708.27682437
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;7;0.9;4;mae;11612663.842023438
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.5;7;0.9;5;mae;3844944.824233038
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;3;0.6;1;mae;25287048.833262675
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;3;0.6;2;mae;14681857.491722014
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;3;0.6;3;mae;13527143.64206694
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;3;0.6;4;mae;12808005.488468582
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;3;0.6;5;mae;4002402.408148944
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;3;0.9;1;mae;25276755.854559965
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;3;0.9;2;mae;14670504.92521785
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;3;0.9;3;mae;13506061.190094601
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;3;0.9;4;mae;12770572.509094354
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;3;0.9;5;mae;3997219.7342642182
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;5;0.6;1;mae;25163751.130720217
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;5;0.6;2;mae;14420812.796610756
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;5;0.6;3;mae;13144303.80529756
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;5;0.6;4;mae;12091310.459560046
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;5;0.6;5;mae;3911744.0151553373
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;5;0.9;1;mae;25165339.956460886
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;5;0.9;2;mae;14410772.716422092
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;5;0.9;3;mae;13125543.799051033
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;5;0.9;4;mae;12098644.629425079
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;5;0.9;5;mae;3896358.830857587
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;7;0.6;1;mae;25079952.425998777
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;7;0.6;2;mae;14298399.002326526
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;7;0.6;3;mae;12934008.815389223
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;7;0.6;4;mae;11557758.02433623
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;7;0.6;5;mae;3852528.6437154366
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;7;0.9;1;mae;25075922.29307464
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;7;0.9;2;mae;14305801.281539865
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;7;0.9;3;mae;12935147.987918705
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;7;0.9;4;mae;11567943.54868714
1;traffic_fines;prefix_agg;xgb;1;500;0.02;0.8;7;0.9;5;mae;3834698.635505193
1;traffic_fines;prefix_agg;xgb;1;500;0.04;0.5;3;0.6;1;mae;25221246.809371803
1;traffic_fines;prefix_agg;xgb;1;500;0.04;0.5;3;0.6;2;mae;14590633.690132419
1;traffic_fines;prefix_agg;xgb;1;500;0.04;0.5;3;0.6;3;mae;13386986.704819584
1;traffic_fines;prefix_agg;xgb;1;500;0.04;0.5;3;0.6;4;mae;12501359.023737822
1;traffic_fines;prefix_agg;xgb;1;500;0.04;0.5;3;0.6;5;mae;3994802.2514306884
1;traffic_fines;prefix_agg;xgb;1;500;0.04;0.5;3;0.9;1;mae;25213430.148750592
1;traffic_fines;prefix_agg;xgb;1;500;0.04;0.5;3;0.9;2;mae;14586926.308768349
1;traffic_fines;prefix_agg;xgb;1;500;0.04;0.5;3;0.9;3;mae;13403001.51399751
1;traffic_fines;prefix_agg;xgb;1;500;0.04;0.5;3;0.9;4;mae;12461542.762398884
1;traffic_fines;prefix_agg;xgb;1;500;0.04;0.5;3;0.9;5;mae;4007190.078398297
