part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;3;0.6;1;mae;582554.6567633928
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;3;0.6;2;mae;406890.6391787659
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;3;0.6;3;mae;313170.29343681916
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;3;0.6;4;mae;160154.69569387945
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;3;0.6;5;mae;78221.59622369296
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;3;0.6;6;mae;131476.11333669742
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;3;0.9;1;mae;584389.8166071429
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;3;0.9;2;mae;408335.6063520871
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;3;0.9;3;mae;314762.34452160494
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;3;0.9;4;mae;160595.43222497343
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;3;0.9;5;mae;79351.37780363663
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;3;0.9;6;mae;133889.44013468424
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;5;0.6;1;mae;582835.4804743304
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;5;0.6;2;mae;404144.5637363884
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;5;0.6;3;mae;302811.4783042847
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;5;0.6;4;mae;148106.38117186417
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;5;0.6;5;mae;72320.80287590579
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;5;0.6;6;mae;126228.04662348071
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;5;0.9;1;mae;581343.2971651786
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;5;0.9;2;mae;405815.0306261343
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;5;0.9;3;mae;306362.80838666484
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;5;0.9;4;mae;149499.67107287527
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;5;0.9;5;mae;72286.0751953125
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;5;0.9;6;mae;127997.89816635204
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;7;0.6;1;mae;582791.2457924107
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;7;0.6;2;mae;404476.3820780399
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;7;0.6;3;mae;297938.43615110975
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;7;0.6;4;mae;145828.28062833467
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;7;0.6;5;mae;71190.39103897758
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;7;0.6;6;mae;123917.21753304554
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;7;0.9;1;mae;581209.4305636161
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;7;0.9;2;mae;406584.7710753176
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;7;0.9;3;mae;301599.424788376
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;7;0.9;4;mae;146293.6145756287
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;7;0.9;5;mae;70762.20252349411
1;bpic2020;prefix_index;xgb;1;100;0.02;0.5;7;0.9;6;mae;126159.85417873647
1;bpic2020;prefix_index;xgb;1;100;0.02;0.8;3;0.6;1;mae;582569.1355580357
1;bpic2020;prefix_index;xgb;1;100;0.02;0.8;3;0.6;2;mae;405725.2353675136
1;bpic2020;prefix_index;xgb;1;100;0.02;0.8;3;0.6;3;mae;311724.8065541031
1;bpic2020;prefix_index;xgb;1;100;0.02;0.8;3;0.6;4;mae;159017.4187640128
1;bpic2020;prefix_index;xgb;1;100;0.02;0.8;3;0.6;5;mae;76190.75114827916
1;bpic2020;prefix_index;xgb;1;100;0.02;0.8;3;0.6;6;mae;133237.90902380427
1;bpic2020;prefix_index;xgb;1;100;0.02;0.8;3;0.9;1;mae;586460.720625
1;bpic2020;prefix_index;xgb;1;100;0.02;0.8;3;0.9;2;mae;410408.87318511796
1;bpic2020;prefix_index;xgb;1;100;0.02;0.8;3;0.9;3;mae;313359.6259418119
