part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;1;mae;1295682.9552083334
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;2;mae;1227948.3983050848
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;3;mae;1180304.7974137932
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;4;mae;1228724.9613636364
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;5;mae;1191506.8045454544
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;6;mae;1230854.0875
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;7;mae;1191536.987028302
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;8;mae;1126872.845
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;9;mae;1084483.2728125
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;10;mae;1077952.5790625
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;11;mae;1115705.02875
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;12;mae;1060819.9811197917
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;13;mae;1068303.61328125
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;14;mae;982593.6521484375
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;15;mae;1151450.4130067567
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;16;mae;1078184.9944852942
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;17;mae;1144811.4052734375
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;18;mae;1068638.853830645
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;19;mae;1099364.4965277778
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.6;20;mae;1128470.4278846155
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;1;mae;1277476.7114583333
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;2;mae;1212389.6779661018
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;3;mae;1159131.0377155172
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;4;mae;1233152.5954545455
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;5;mae;1186129.5397727273
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;6;mae;1204123.4039772728
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;7;mae;1165828.2900943395
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;8;mae;1104292.23125
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;9;mae;1056432.955625
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;10;mae;1087175.87125
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;11;mae;1055733.11375
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;12;mae;1065788.9964192708
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;13;mae;1012894.5500710227
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;14;mae;1006419.0625
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;15;mae;1087082.5126689188
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;16;mae;1096647.965992647
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;17;mae;1143068.15234375
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;18;mae;1112358.7862903227
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;19;mae;1075494.2494212964
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;3;0.9;20;mae;1108138.4735576923
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;5;0.6;1;mae;1311799.6739583334
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;5;0.6;2;mae;1210702.5127118644
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;5;0.6;3;mae;1186009.71875
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;5;0.6;4;mae;1234532.6318181818
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;5;0.6;5;mae;1195198.7642045454
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;5;0.6;6;mae;1235077.8596590909
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;5;0.6;7;mae;1162229.0212264152
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;5;0.6;8;mae;1093205.6625
1;production_feature;prefix_index;xgb;1;100;0.02;0.5;5;0.6;9;mae;1041054.32875
