part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;3;0.6;1;mae;25360408.634479664
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;3;0.6;2;mae;15656210.132615136
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;3;0.6;3;mae;15113966.03640089
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;3;0.6;4;mae;13577623.708396351
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;3;0.6;5;mae;3876190.3236818337
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;3;0.9;1;mae;25319353.28020649
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;3;0.9;2;mae;15565940.240756666
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;3;0.9;3;mae;15117274.961424867
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;3;0.9;4;mae;13492304.88537513
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;3;0.9;5;mae;3860096.874677024
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;5;0.6;1;mae;25205939.907279484
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;5;0.6;2;mae;15434347.897795035
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;5;0.6;3;mae;14916480.545236824
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;5;0.6;4;mae;13160989.158966955
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;5;0.6;5;mae;3738462.4268345837
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;5;0.9;1;mae;25161446.32014514
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;5;0.9;2;mae;15295081.721587801
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;5;0.9;3;mae;14897866.692109372
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;5;0.9;4;mae;13089542.708717173
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;5;0.9;5;mae;3718586.3911536084
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;7;0.6;1;mae;25112343.152946457
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;7;0.6;2;mae;15240932.2739529
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;7;0.6;3;mae;14867495.8921325
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;7;0.6;4;mae;13014768.09384596
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;7;0.6;5;mae;3654241.1183003657
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;7;0.9;1;mae;25055802.045088407
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;7;0.9;2;mae;15136154.617084533
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;7;0.9;3;mae;14843621.519903416
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;7;0.9;4;mae;12942456.011377698
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.5;7;0.9;5;mae;3645401.4713534727
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;3;0.6;1;mae;25360348.180827454
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;3;0.6;2;mae;15650519.390697477
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;3;0.6;3;mae;15114030.395517731
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;3;0.6;4;mae;13546938.175563728
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;3;0.6;5;mae;3870302.2249160046
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;3;0.9;1;mae;25318899.777525622
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;3;0.9;2;mae;15570443.515363539
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;3;0.9;3;mae;15111919.760217315
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;3;0.9;4;mae;13478449.596292222
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;3;0.9;5;mae;3868566.486278367
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;5;0.6;1;mae;25201289.77977007
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;5;0.6;2;mae;15424649.797970202
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;5;0.6;3;mae;14906946.035173114
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;5;0.6;4;mae;13154234.152063569
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;5;0.6;5;mae;3733301.1192666474
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;5;0.9;1;mae;25152316.433589365
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;5;0.9;2;mae;15304116.165963264
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;5;0.9;3;mae;14883648.173512494
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;5;0.9;4;mae;13062551.569841651
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;5;0.9;5;mae;3718616.5776575957
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;7;0.6;1;mae;25101596.90732936
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;7;0.6;2;mae;15213330.826734789
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;7;0.6;3;mae;14833026.558809271
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;7;0.6;4;mae;13002172.378105093
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;7;0.6;5;mae;3647961.8749068417
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;7;0.9;1;mae;25042672.73707574
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;7;0.9;2;mae;15136305.132830229
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;7;0.9;3;mae;14839118.132187542
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;7;0.9;4;mae;12935965.736462487
1;traffic_fines;prefix_index;xgb;1;100;0.02;0.8;7;0.9;5;mae;3632999.375888734
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;3;0.6;1;mae;25404751.100875333
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;3;0.6;2;mae;14883342.219466975
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;3;0.6;3;mae;13822969.83505813
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;3;0.6;4;mae;12678256.050815802
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;3;0.6;5;mae;3964912.2242197557
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;3;0.9;1;mae;25387660.250729445
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;3;0.9;2;mae;14869891.652778124
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;3;0.9;3;mae;13795014.40240284
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;3;0.9;4;mae;12636787.097956482
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;3;0.9;5;mae;3979440.890438184
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;5;0.6;1;mae;25254262.716676228
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;5;0.6;2;mae;14590730.736714644
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;5;0.6;3;mae;13225606.428160692
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;5;0.6;4;mae;11870495.357069813
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;5;0.6;5;mae;3840339.735948397
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;5;0.9;1;mae;25241297.086909898
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;5;0.9;2;mae;14553208.10988347
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;5;0.9;3;mae;13198792.823535042
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;5;0.9;4;mae;11771836.985597415
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;5;0.9;5;mae;3842036.3703952557
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;7;0.6;1;mae;25167297.2790905
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;7;0.6;2;mae;14438276.742102025
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;7;0.6;3;mae;12979407.90487824
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;7;0.6;4;mae;11379450.566178704
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;7;0.6;5;mae;3753953.2593386825
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;7;0.9;1;mae;25153582.352502555
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;7;0.9;2;mae;14421137.455218019
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;7;0.9;3;mae;12934588.614849437
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;7;0.9;4;mae;11305353.170023832
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.5;7;0.9;5;mae;3743455.7189800623
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;3;0.6;1;mae;25411062.388538368
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;3;0.6;2;mae;14877544.049833206
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;3;0.6;3;mae;13803496.250811936
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;3;0.6;4;mae;12699620.083012512
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;3;0.6;5;mae;3965202.844331285
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;3;0.9;1;mae;25392050.284470934
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;3;0.9;2;mae;14854954.470390959
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;3;0.9;3;mae;13781779.194435684
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;3;0.9;4;mae;12635976.642295705
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;3;0.9;5;mae;3965367.29882076
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;5;0.6;1;mae;25245717.39270306
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;5;0.6;2;mae;14578120.003252095
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;5;0.6;3;mae;13183001.475796243
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;5;0.6;4;mae;11851103.984496024
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;5;0.6;5;mae;3826101.420632191
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;5;0.9;1;mae;25235192.050101
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;5;0.9;2;mae;14545541.477832854
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;5;0.9;3;mae;13175989.728411494
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;5;0.9;4;mae;11718371.73474416
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;5;0.9;5;mae;3839454.438320643
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;7;0.6;1;mae;25159489.42227674
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;7;0.6;2;mae;14397653.545042865
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;7;0.6;3;mae;12911204.929216227
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;7;0.6;4;mae;11315689.066914158
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;7;0.6;5;mae;3739233.775026867
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;7;0.9;1;mae;25138035.08905459
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;7;0.9;2;mae;14372665.476651166
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;7;0.9;3;mae;12870260.875211839
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;7;0.9;4;mae;11230769.124687772
1;traffic_fines;prefix_index;xgb;1;100;0.04;0.8;7;0.9;5;mae;3747643.30751022
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;3;0.6;1;mae;25357111.78669044
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;3;0.6;2;mae;14748372.9806506
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;3;0.6;3;mae;13525293.7539564
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;3;0.6;4;mae;12490170.05321337
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;3;0.6;5;mae;3948705.526655944
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;3;0.9;1;mae;25349856.990074564
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;3;0.9;2;mae;14780916.61124498
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;3;0.9;3;mae;13510797.550009672
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;3;0.9;4;mae;12515956.799528154
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;3;0.9;5;mae;3947984.2989393165
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;5;0.6;1;mae;25224952.395620838
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;5;0.6;2;mae;14502183.961565206
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;5;0.6;3;mae;13053227.774223126
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;5;0.6;4;mae;11703048.905687846
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;5;0.6;5;mae;3838337.406080889
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;5;0.9;1;mae;25222140.180391032
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;5;0.9;2;mae;14492681.52880035
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;5;0.9;3;mae;13052569.6841838
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;5;0.9;4;mae;11670492.645198852
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;5;0.9;5;mae;3825822.073997063
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;7;0.6;1;mae;25149014.800955135
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;7;0.6;2;mae;14355619.16953677
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;7;0.6;3;mae;12836740.744392566
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;7;0.6;4;mae;11254541.316775946
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;7;0.6;5;mae;3759682.688820738
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;7;0.9;1;mae;25135433.58308187
1;traffic_fines;prefix_index;xgb;1;100;0.06;0.5;7;0.9;2;mae;14343388.028505279
