part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;1;mae;582554.6567633928
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;2;mae;407079.90728221415
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;3;mae;308977.48695079883
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;4;mae;161520.43209351308
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;5;mae;80304.71832098477
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;6;mae;132266.5286323655
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;1;mae;584389.8166071429
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;2;mae;407726.73502722324
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;3;mae;312615.2531431554
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;4;mae;161238.48409402158
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;5;mae;79406.90680816208
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;6;mae;133569.449235943
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;1;mae;582835.4804743304
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;2;mae;404774.4773933757
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;3;mae;299200.47218818084
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;4;mae;148991.31321201663
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;5;mae;73966.93377044235
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;6;mae;128790.82291331314
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;1;mae;581343.2971651786
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;2;mae;404953.4656873866
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;3;mae;304900.0983001997
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;4;mae;148381.75508216993
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;5;mae;72113.66504513008
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;6;mae;127695.17062793428
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;1;mae;582791.2457924107
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;2;mae;404455.6238373412
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;3;mae;294311.394230551
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;4;mae;145340.06723893748
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;5;mae;72179.48859118033
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;6;mae;127601.25945255287
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;1;mae;581209.4305636161
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;2;mae;406334.61485934665
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;3;mae;298775.05607185006
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;4;mae;144111.35225282478
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;5;mae;70386.3246750175
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;6;mae;125614.31561728822
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;1;mae;582569.1355580357
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;2;mae;406013.03273593466
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;3;mae;309480.7173769971
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;4;mae;160235.69182663417
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;5;mae;79086.30106552788
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;6;mae;131366.3227198068
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;3;0.9;1;mae;586460.720625
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;3;0.9;2;mae;407886.815154265
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;3;0.9;3;mae;312628.9452160494
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;3;0.9;4;mae;157376.5661317724
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;3;0.9;5;mae;76367.08287700708
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;3;0.9;6;mae;133827.62248294454
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;5;0.6;1;mae;580957.5633705357
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;5;0.6;2;mae;404462.28495916515
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;5;0.6;3;mae;298307.96898828977
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;5;0.6;4;mae;147621.4977873853
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;5;0.6;5;mae;73962.34862609532
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;5;0.6;6;mae;127929.32065815097
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;5;0.9;1;mae;579797.2403013393
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;5;0.9;2;mae;404223.5011683303
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;5;0.9;3;mae;303052.64162922115
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;5;0.9;4;mae;144822.77739038412
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;5;0.9;5;mae;72121.21734247584
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;5;0.9;6;mae;127825.45200458939
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;7;0.6;1;mae;583560.5552287947
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;7;0.6;2;mae;406482.78326905624
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;7;0.6;3;mae;293128.72658519424
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;7;0.6;4;mae;145303.97389875783
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;7;0.6;5;mae;71993.94594397061
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;7;0.6;6;mae;127321.62129486783
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;7;0.9;1;mae;580363.1593080357
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;7;0.9;2;mae;405209.1756465517
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;7;0.9;3;mae;295038.3314355256
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;7;0.9;4;mae;143849.31029309606
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;7;0.9;5;mae;70834.2291154382
1;bpic2020;prefix_laststate;xgb;1;100;0.02;0.8;7;0.9;6;mae;127413.97769566657
1;bpic2020;prefix_laststate;xgb;1;100;0.04;0.5;3;0.6;1;mae;626145.2861272321
1;bpic2020;prefix_laststate;xgb;1;100;0.04;0.5;3;0.6;2;mae;433541.09546279494
1;bpic2020;prefix_laststate;xgb;1;100;0.04;0.5;3;0.6;3;mae;323896.1972017974
