part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;1;mae;1328173.865625
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;2;mae;1227556.0815677966
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;3;mae;1192576.8663793104
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;4;mae;1138202.5909090908
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;5;mae;1206313.4988636363
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;6;mae;1145481.3607954546
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;7;mae;1247520.3691037735
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;8;mae;1089865.7716836734
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;9;mae;1068184.1294642857
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;10;mae;1157093.2551020407
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;11;mae;1134332.528380102
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;12;mae;1113290.6735733696
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;13;mae;1145269.8615234375
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;14;mae;975112.9299045139
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;15;mae;1073691.4043560605
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;16;mae;1068174.359375
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;17;mae;1100989.421875
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;18;mae;1207459.1919849536
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;19;mae;1057056.595
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;20;mae;967490.5075
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;1;mae;1267517.228125
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;2;mae;1187834.5625
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;3;mae;1140245.3739224137
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;4;mae;1130522.7181818183
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;5;mae;1193328.0420454545
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;6;mae;1148624.6670454545
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;7;mae;1244352.0094339622
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;8;mae;1088677.2448979593
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;9;mae;1066674.6055484693
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;10;mae;1161361.8903061224
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;11;mae;1134112.4719387756
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;12;mae;1150472.0220788044
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;13;mae;1131276.4552734375
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;14;mae;931479.4926215278
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;15;mae;1104733.4081439395
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;16;mae;1151967.7456054688
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;17;mae;1103953.2142857143
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;18;mae;1179712.0480324074
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;19;mae;1055306.8575
1;production;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;20;mae;995209.3275
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;1;mae;1319179.121875
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;2;mae;1208816.092161017
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;3;mae;1197188.5775862068
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;4;mae;1118446.0
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;5;mae;1167631.8204545456
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;6;mae;1154229.6176136364
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;7;mae;1245008.050412736
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;8;mae;1037529.0988520408
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;9;mae;1105931.938137755
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;10;mae;1108504.7908163266
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;11;mae;1108139.0864158163
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;12;mae;1096109.073709239
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;13;mae;1125974.823828125
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;14;mae;959202.9431423611
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;15;mae;1064805.806344697
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;16;mae;1086227.2158203125
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;17;mae;1121461.0859375
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;18;mae;1230326.9401041667
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;19;mae;1049595.8975
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;20;mae;954059.3925
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;1;mae;1261212.778125
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;2;mae;1181138.2213983051
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;3;mae;1122234.1260775863
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;4;mae;1085538.809090909
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;5;mae;1145942.5784090909
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;6;mae;1142993.2892045456
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;7;mae;1229888.3237028301
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;8;mae;1078903.4859693877
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;9;mae;1076881.684630102
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;10;mae;1159741.547672194
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;11;mae;1106036.1138392857
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;12;mae;1120507.41015625
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;13;mae;1097588.1147460938
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;14;mae;911405.7055528429
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;15;mae;1095929.6917613635
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;16;mae;1123607.4291992188
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;17;mae;1093645.1015625
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;18;mae;1189987.0034722222
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;19;mae;1054486.1375
1;production;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;20;mae;968474.01625
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;1;mae;1318947.3
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;2;mae;1214806.5561440678
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;3;mae;1197722.459051724
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;4;mae;1096325.996590909
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;5;mae;1156023.9602272727
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;6;mae;1161371.3676136364
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;7;mae;1213668.845518868
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;8;mae;1042282.9853316327
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;9;mae;1090934.747130102
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;10;mae;1130058.349330357
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;11;mae;1087858.001036352
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;12;mae;1093447.087720788
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;13;mae;1108769.9646484375
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;14;mae;942476.9787326389
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;15;mae;1078354.4933712122
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;16;mae;1093320.4638671875
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;17;mae;1139540.8292410714
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;18;mae;1222851.4088541667
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;19;mae;1049445.40375
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;20;mae;935324.3575
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;1;mae;1274601.4666666666
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;2;mae;1158121.8495762711
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;3;mae;1123871.1379310344
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;4;mae;1062451.044318182
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;5;mae;1161580.1943181818
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;6;mae;1134180.184375
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;7;mae;1231929.014740566
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;8;mae;1063583.6218112244
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;9;mae;1067999.5259885204
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;10;mae;1146106.928252551
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;11;mae;1111250.851801658
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;12;mae;1104234.0546875
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;13;mae;1092771.545703125
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;14;mae;908475.6236979166
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;15;mae;1095397.043560606
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;16;mae;1125997.3720703125
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;17;mae;1089243.9642857143
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;18;mae;1200269.288773148
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;19;mae;1044011.94
1;production;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;20;mae;972255.06125
1;production;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;1;mae;1286379.3833333333
1;production;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;2;mae;1199841.652542373
1;production;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;3;mae;1181705.2941810344
1;production;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;4;mae;1128703.0681818181
1;production;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;5;mae;1117225.2272727273
1;production;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;6;mae;1146028.4568181818
1;production;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;7;mae;1232598.9711084906
1;production;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;8;mae;1095194.294642857
1;production;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;9;mae;1071193.1884566327
1;production;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;10;mae;1152206.2334183673
1;production;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;11;mae;1100208.309630102
1;production;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;12;mae;1071475.5302309783
