part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;1;mae;1295682.9552083334
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;2;mae;1238172.8887711863
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;3;mae;1174450.676724138
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;4;mae;1143581.5772727274
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;5;mae;1252669.0204545455
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;6;mae;1161180.1625
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;7;mae;1180233.1385613207
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;8;mae;1137533.0775
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;9;mae;1061379.21625
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;10;mae;1147484.5725
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;11;mae;1161254.70875
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;12;mae;1170478.2958984375
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;13;mae;1061601.7913707385
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;14;mae;990176.7702148438
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;15;mae;1160422.4949324324
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;16;mae;1071825.4186580882
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;17;mae;1063592.8798828125
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;18;mae;1073474.9783266129
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;19;mae;1047545.8686342592
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;20;mae;1053394.2091346155
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;1;mae;1277476.7114583333
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;2;mae;1181884.7161016949
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;3;mae;1155286.707974138
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;4;mae;1127326.5784090909
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;5;mae;1194824.7795454545
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;6;mae;1145586.384659091
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;7;mae;1185659.4233490566
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;8;mae;1114208.454375
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;9;mae;1064186.3425
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;10;mae;1142185.090625
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;11;mae;1136303.0625
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;12;mae;1179948.1728515625
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;13;mae;1065123.3799715908
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;14;mae;954971.1337402344
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;15;mae;1173786.3716216215
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;16;mae;1093149.7849264706
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;17;mae;1052756.0888671875
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;18;mae;1072562.6990927418
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;19;mae;1044765.3460648148
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;20;mae;995821.3689903846
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;1;mae;1311799.6739583334
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;2;mae;1211333.873940678
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;3;mae;1173351.0560344828
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;4;mae;1106889.0159090909
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;5;mae;1229097.3909090909
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;6;mae;1152573.884659091
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;7;mae;1149861.5639740566
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;8;mae;1117146.36625
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;9;mae;1053693.71375
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;10;mae;1145808.9696875
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;11;mae;1133110.300625
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;12;mae;1161343.6461588542
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;13;mae;1056195.2732599431
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;14;mae;975352.5986328125
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;15;mae;1146157.7647804054
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;16;mae;1046542.2302389706
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;17;mae;1048158.2182617188
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;18;mae;1062423.837953629
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;19;mae;1071541.693287037
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;20;mae;1032633.4567307692
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;1;mae;1279438.2416666667
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;2;mae;1167280.622881356
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;3;mae;1146969.2640086208
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;4;mae;1121096.1545454545
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;5;mae;1172286.2602272728
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;6;mae;1127987.5142045454
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;7;mae;1172251.9501768867
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;8;mae;1107243.35
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;9;mae;1076076.45
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;10;mae;1134226.959375
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;11;mae;1125627.101875
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;12;mae;1163725.9615885417
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;13;mae;1038851.0655184659
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;14;mae;934121.6150390625
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;15;mae;1158125.5772804054
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;16;mae;1073447.6875
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;17;mae;1035714.3334960938
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;18;mae;1075121.2938508065
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;19;mae;1049509.4930555555
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;20;mae;998051.7560096154
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;1;mae;1307924.0276041667
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;2;mae;1213860.4560381356
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;3;mae;1181348.587823276
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;4;mae;1110432.8011363635
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;5;mae;1243667.8352272727
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;6;mae;1149279.1261363637
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;7;mae;1144726.2727004718
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;8;mae;1111341.505
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;9;mae;1037175.42
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;10;mae;1129139.08375
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;11;mae;1115774.01875
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;12;mae;1153533.3087565105
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;13;mae;1034848.6561612216
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;14;mae;979355.5087890625
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;15;mae;1145934.1319679054
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;16;mae;1053959.1470588236
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;17;mae;1029879.1264648438
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;18;mae;1060880.0642168599
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;19;mae;1061576.662037037
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;20;mae;1030175.1862980769
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;1;mae;1265960.1619791666
1;production_feature;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;2;mae;1146138.3527542374
