part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;1;mae;25360408.634479664
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;2;mae;15716855.687514758
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;3;mae;15110221.596241662
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;4;mae;13655855.69714469
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;3;0.6;5;mae;3857515.6142747877
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;1;mae;25319353.28020649
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;2;mae;15595257.451168515
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;3;mae;15118814.99131392
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;4;mae;13536603.638457308
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;3;0.9;5;mae;3819401.1924818787
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;1;mae;25205939.907279484
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;2;mae;15500475.550278125
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;3;mae;15004402.69906634
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;4;mae;13372958.659917962
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;5;0.6;5;mae;3741333.447811287
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;1;mae;25161446.32014514
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;2;mae;15312753.541500997
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;3;mae;14937743.945759678
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;4;mae;13195727.796163894
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;5;0.9;5;mae;3690333.8957049963
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;1;mae;25112343.152946457
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;2;mae;15309353.645617856
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;3;mae;14918936.562348261
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;4;mae;13242577.246456644
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;7;0.6;5;mae;3689923.2405473874
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;1;mae;25055802.045088407
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;2;mae;15151475.012564605
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;3;mae;14905951.80122979
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;4;mae;13095793.268888354
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.5;7;0.9;5;mae;3621652.9263326204
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;1;mae;25360348.180827454
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;2;mae;15711419.937870665
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;3;mae;15087322.555166692
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;4;mae;13634015.403455704
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;3;0.6;5;mae;3849718.225586746
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;3;0.9;1;mae;25318899.777525622
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;3;0.9;2;mae;15613079.763800025
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;3;0.9;3;mae;15100603.516255068
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;3;0.9;4;mae;13501790.147921536
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;3;0.9;5;mae;3814173.3656543517
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;5;0.6;1;mae;25201289.77977007
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;5;0.6;2;mae;15493962.683746278
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;5;0.6;3;mae;15021354.392887795
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;5;0.6;4;mae;13355393.222649984
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;5;0.6;5;mae;3739791.302295307
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;5;0.9;1;mae;25152316.433589365
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;5;0.9;2;mae;15317723.950498298
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;5;0.9;3;mae;14938477.142132394
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;5;0.9;4;mae;13176534.398076218
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;5;0.9;5;mae;3681958.2383214016
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;7;0.6;1;mae;25101596.90732936
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;7;0.6;2;mae;15293302.983031621
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;7;0.6;3;mae;14894512.076599449
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;7;0.6;4;mae;13250736.213447856
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;7;0.6;5;mae;3673698.10871813
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;7;0.9;1;mae;25042672.73707574
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;7;0.9;2;mae;15160159.81448722
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;7;0.9;3;mae;14910501.421052506
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;7;0.9;4;mae;13102804.77257207
1;traffic_fines;prefix_laststate;xgb;1;100;0.02;0.8;7;0.9;5;mae;3606815.0502405697
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;3;0.6;1;mae;25404751.100875333
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;3;0.6;2;mae;14929094.527054816
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;3;0.6;3;mae;13873496.334860936
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;3;0.6;4;mae;12802166.122072505
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;3;0.6;5;mae;3949904.7534130737
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;3;0.9;1;mae;25387660.250729445
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;3;0.9;2;mae;14915937.645051349
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;3;0.9;3;mae;13828799.926860368
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;3;0.9;4;mae;12731712.312514322
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;3;0.9;5;mae;3934553.3360488713
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;5;0.6;1;mae;25254262.716676228
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;5;0.6;2;mae;14668609.625096612
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;5;0.6;3;mae;13460215.33066545
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;5;0.6;4;mae;12120276.91956838
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;5;0.6;5;mae;3839366.398129276
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;5;0.9;1;mae;25241297.086909898
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;5;0.9;2;mae;14599729.290578084
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;5;0.9;3;mae;13413410.350582318
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;5;0.9;4;mae;12079149.916460425
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;5;0.9;5;mae;3808179.9862013957
1;traffic_fines;prefix_laststate;xgb;1;100;0.04;0.5;7;0.6;1;mae;25167297.2790905
