part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2020;single_agg;xgb;1;100;0.02;0.5;3;0.6;1;mae;315256.4881863209
1;bpic2020;single_agg;xgb;1;100;0.02;0.5;3;0.9;1;mae;314847.1176532633
1;bpic2020;single_agg;xgb;1;100;0.02;0.5;5;0.6;1;mae;306962.14727434074
1;bpic2020;single_agg;xgb;1;100;0.02;0.5;5;0.9;1;mae;307118.3004714173
1;bpic2020;single_agg;xgb;1;100;0.02;0.5;7;0.6;1;mae;303718.06889735116
1;bpic2020;single_agg;xgb;1;100;0.02;0.5;7;0.9;1;mae;303539.79697380646
1;bpic2020;single_agg;xgb;1;100;0.02;0.8;3;0.6;1;mae;312876.45861645526
1;bpic2020;single_agg;xgb;1;100;0.02;0.8;3;0.9;1;mae;312697.49525701365
1;bpic2020;single_agg;xgb;1;100;0.02;0.8;5;0.6;1;mae;306147.87003193
1;bpic2020;single_agg;xgb;1;100;0.02;0.8;5;0.9;1;mae;306097.4326698999
1;bpic2020;single_agg;xgb;1;100;0.02;0.8;7;0.6;1;mae;302466.7203948206
1;bpic2020;single_agg;xgb;1;100;0.02;0.8;7;0.9;1;mae;303354.9969736399
1;bpic2020;single_agg;xgb;1;100;0.04;0.5;3;0.6;1;mae;333768.15191733226
1;bpic2020;single_agg;xgb;1;100;0.04;0.5;3;0.9;1;mae;334281.518972223
1;bpic2020;single_agg;xgb;1;100;0.04;0.5;5;0.6;1;mae;326539.74842201156
1;bpic2020;single_agg;xgb;1;100;0.04;0.5;5;0.9;1;mae;326383.8286215043
1;bpic2020;single_agg;xgb;1;100;0.04;0.5;7;0.6;1;mae;325344.5962273863
1;bpic2020;single_agg;xgb;1;100;0.04;0.5;7;0.9;1;mae;324087.03243186057
1;bpic2020;single_agg;xgb;1;100;0.04;0.8;3;0.6;1;mae;331023.67478046945
1;bpic2020;single_agg;xgb;1;100;0.04;0.8;3;0.9;1;mae;331895.9442491273
1;bpic2020;single_agg;xgb;1;100;0.04;0.8;5;0.6;1;mae;326178.16290954145
1;bpic2020;single_agg;xgb;1;100;0.04;0.8;5;0.9;1;mae;325699.3464887884
1;bpic2020;single_agg;xgb;1;100;0.04;0.8;7;0.6;1;mae;322908.59834710567
1;bpic2020;single_agg;xgb;1;100;0.04;0.8;7;0.9;1;mae;323516.4532979872
1;bpic2020;single_agg;xgb;1;100;0.06;0.5;3;0.6;1;mae;335842.72671932733
1;bpic2020;single_agg;xgb;1;100;0.06;0.5;3;0.9;1;mae;335760.58628737764
1;bpic2020;single_agg;xgb;1;100;0.06;0.5;5;0.6;1;mae;329695.61964151834
1;bpic2020;single_agg;xgb;1;100;0.06;0.5;5;0.9;1;mae;330283.885200925
1;bpic2020;single_agg;xgb;1;100;0.06;0.5;7;0.6;1;mae;329396.90179680596
1;bpic2020;single_agg;xgb;1;100;0.06;0.5;7;0.9;1;mae;328134.8149114547
1;bpic2020;single_agg;xgb;1;100;0.06;0.8;3;0.6;1;mae;332953.7677890786
1;bpic2020;single_agg;xgb;1;100;0.06;0.8;3;0.9;1;mae;332383.1389060057
1;bpic2020;single_agg;xgb;1;100;0.06;0.8;5;0.6;1;mae;329473.10957099084
1;bpic2020;single_agg;xgb;1;100;0.06;0.8;5;0.9;1;mae;328971.13698580756
1;bpic2020;single_agg;xgb;1;100;0.06;0.8;7;0.6;1;mae;326060.1540456303
1;bpic2020;single_agg;xgb;1;100;0.06;0.8;7;0.9;1;mae;324627.86322131864
1;bpic2020;single_agg;xgb;1;500;0.02;0.5;3;0.6;1;mae;333094.6964333558
1;bpic2020;single_agg;xgb;1;500;0.02;0.5;3;0.9;1;mae;333685.38297245
1;bpic2020;single_agg;xgb;1;500;0.02;0.5;5;0.6;1;mae;329291.6202993372
1;bpic2020;single_agg;xgb;1;500;0.02;0.5;5;0.9;1;mae;328749.192380445
1;bpic2020;single_agg;xgb;1;500;0.02;0.5;7;0.6;1;mae;328788.709638908
1;bpic2020;single_agg;xgb;1;500;0.02;0.5;7;0.9;1;mae;327459.40965141484
1;bpic2020;single_agg;xgb;1;500;0.02;0.8;3;0.6;1;mae;331629.6344447253
1;bpic2020;single_agg;xgb;1;500;0.02;0.8;3;0.9;1;mae;332334.7524623433
1;bpic2020;single_agg;xgb;1;500;0.02;0.8;5;0.6;1;mae;328517.9478759934
1;bpic2020;single_agg;xgb;1;500;0.02;0.8;5;0.9;1;mae;328151.22395608027
1;bpic2020;single_agg;xgb;1;500;0.02;0.8;7;0.6;1;mae;326861.3181347825
1;bpic2020;single_agg;xgb;1;500;0.02;0.8;7;0.9;1;mae;326770.52499140974
1;bpic2020;single_agg;xgb;1;500;0.04;0.5;3;0.6;1;mae;333398.35364486225
1;bpic2020;single_agg;xgb;1;500;0.04;0.5;3;0.9;1;mae;332678.5011457911
1;bpic2020;single_agg;xgb;1;500;0.04;0.5;5;0.6;1;mae;334424.3321548273
1;bpic2020;single_agg;xgb;1;500;0.04;0.5;5;0.9;1;mae;333973.69370884873
1;bpic2020;single_agg;xgb;1;500;0.04;0.5;7;0.6;1;mae;340744.36790171865
1;bpic2020;single_agg;xgb;1;500;0.04;0.5;7;0.9;1;mae;341292.1594491044
1;bpic2020;single_agg;xgb;1;500;0.04;0.8;3;0.6;1;mae;332545.93917210004
1;bpic2020;single_agg;xgb;1;500;0.04;0.8;3;0.9;1;mae;333015.62982139026
1;bpic2020;single_agg;xgb;1;500;0.04;0.8;5;0.6;1;mae;333045.5080679153
1;bpic2020;single_agg;xgb;1;500;0.04;0.8;5;0.9;1;mae;332191.87169941596
1;bpic2020;single_agg;xgb;1;500;0.04;0.8;7;0.6;1;mae;335599.04626251245
1;bpic2020;single_agg;xgb;1;500;0.04;0.8;7;0.9;1;mae;335503.8318605357
1;bpic2020;single_agg;xgb;1;500;0.06;0.5;3;0.6;1;mae;336799.70950064965
1;bpic2020;single_agg;xgb;1;500;0.06;0.5;3;0.9;1;mae;334750.0499196212
1;bpic2020;single_agg;xgb;1;500;0.06;0.5;5;0.6;1;mae;342090.99540446216
1;bpic2020;single_agg;xgb;1;500;0.06;0.5;5;0.9;1;mae;344195.4199715097
1;bpic2020;single_agg;xgb;1;500;0.06;0.5;7;0.6;1;mae;350531.52958438493
1;bpic2020;single_agg;xgb;1;500;0.06;0.5;7;0.9;1;mae;351451.07090846775
1;bpic2020;single_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;334660.61387380346
1;bpic2020;single_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;334963.3941657178
1;bpic2020;single_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;335941.31615661137
1;bpic2020;single_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;340902.80332026974
1;bpic2020;single_agg;xgb;1;500;0.06;0.8;7;0.6;1;mae;341186.9221652442
1;bpic2020;single_agg;xgb;1;500;0.06;0.8;7;0.9;1;mae;344575.0635997247
