part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production;single_agg;xgb;1;100;0.02;0.5;3;0.6;1;mae;1027804.9905152888
1;production;single_agg;xgb;1;100;0.02;0.5;3;0.9;1;mae;990958.8791407135
1;production;single_agg;xgb;1;100;0.02;0.5;5;0.6;1;mae;1038697.084371461
1;production;single_agg;xgb;1;100;0.02;0.5;5;0.9;1;mae;1011039.0329929927
1;production;single_agg;xgb;1;100;0.02;0.5;7;0.6;1;mae;1043525.158395562
1;production;single_agg;xgb;1;100;0.02;0.5;7;0.9;1;mae;1011210.8673423344
1;production;single_agg;xgb;1;100;0.02;0.8;3;0.6;1;mae;1039427.4633352208
1;production;single_agg;xgb;1;100;0.02;0.8;3;0.9;1;mae;989549.0742674122
1;production;single_agg;xgb;1;100;0.02;0.8;5;0.6;1;mae;1037340.689260688
1;production;single_agg;xgb;1;100;0.02;0.8;5;0.9;1;mae;968739.9909753681
1;production;single_agg;xgb;1;100;0.02;0.8;7;0.6;1;mae;1045939.8870682333
1;production;single_agg;xgb;1;100;0.02;0.8;7;0.9;1;mae;971777.6733016882
1;production;single_agg;xgb;1;100;0.04;0.5;3;0.6;1;mae;998970.6158360172
1;production;single_agg;xgb;1;100;0.04;0.5;3;0.9;1;mae;966690.0941691587
1;production;single_agg;xgb;1;100;0.04;0.5;5;0.6;1;mae;1014608.3997779232
1;production;single_agg;xgb;1;100;0.04;0.5;5;0.9;1;mae;977167.9109857199
1;production;single_agg;xgb;1;100;0.04;0.5;7;0.6;1;mae;1045215.655343113
1;production;single_agg;xgb;1;100;0.04;0.5;7;0.9;1;mae;1009401.4903018385
1;production;single_agg;xgb;1;100;0.04;0.8;3;0.6;1;mae;1026234.2915951479
1;production;single_agg;xgb;1;100;0.04;0.8;3;0.9;1;mae;965818.1250663575
1;production;single_agg;xgb;1;100;0.04;0.8;5;0.6;1;mae;1050031.812008954
1;production;single_agg;xgb;1;100;0.04;0.8;5;0.9;1;mae;946421.4966423061
1;production;single_agg;xgb;1;100;0.04;0.8;7;0.6;1;mae;1056630.8192452488
1;production;single_agg;xgb;1;100;0.04;0.8;7;0.9;1;mae;965351.2428370441
1;production;single_agg;xgb;1;100;0.06;0.5;3;0.6;1;mae;1004065.9579901171
1;production;single_agg;xgb;1;100;0.06;0.5;3;0.9;1;mae;956755.1857348882
1;production;single_agg;xgb;1;100;0.06;0.5;5;0.6;1;mae;1001308.415547804
1;production;single_agg;xgb;1;100;0.06;0.5;5;0.9;1;mae;994127.1977124327
1;production;single_agg;xgb;1;100;0.06;0.5;7;0.6;1;mae;1022757.8346418681
1;production;single_agg;xgb;1;100;0.06;0.5;7;0.9;1;mae;990858.4701988073
1;production;single_agg;xgb;1;100;0.06;0.8;3;0.6;1;mae;1018724.0636706584
1;production;single_agg;xgb;1;100;0.06;0.8;3;0.9;1;mae;953507.5914252725
1;production;single_agg;xgb;1;100;0.06;0.8;5;0.6;1;mae;1040582.4210411063
1;production;single_agg;xgb;1;100;0.06;0.8;5;0.9;1;mae;943396.6856159975
1;production;single_agg;xgb;1;100;0.06;0.8;7;0.6;1;mae;1041485.9578750973
1;production;single_agg;xgb;1;100;0.06;0.8;7;0.9;1;mae;955971.5667037532
1;production;single_agg;xgb;1;500;0.02;0.5;3;0.6;1;mae;1001704.0832776667
1;production;single_agg;xgb;1;500;0.02;0.5;3;0.9;1;mae;963245.7752380025
1;production;single_agg;xgb;1;500;0.02;0.5;5;0.6;1;mae;1019515.1286737219
1;production;single_agg;xgb;1;500;0.02;0.5;5;0.9;1;mae;993602.8462959195
1;production;single_agg;xgb;1;500;0.02;0.5;7;0.6;1;mae;1033044.548634824
1;production;single_agg;xgb;1;500;0.02;0.5;7;0.9;1;mae;990710.9044019412
1;production;single_agg;xgb;1;500;0.02;0.8;3;0.6;1;mae;1018438.6619589644
