part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production_feature;single_agg;xgb;1;100;0.02;0.5;3;0.6;1;mae;1037756.3150300875
1;production_feature;single_agg;xgb;1;100;0.02;0.5;3;0.9;1;mae;991356.9245418491
1;production_feature;single_agg;xgb;1;100;0.02;0.5;5;0.6;1;mae;1070966.5792019968
1;production_feature;single_agg;xgb;1;100;0.02;0.5;5;0.9;1;mae;1012104.5634145924
1;production_feature;single_agg;xgb;1;100;0.02;0.5;7;0.6;1;mae;1075889.5284292942
1;production_feature;single_agg;xgb;1;100;0.02;0.5;7;0.9;1;mae;1025697.2281609
1;production_feature;single_agg;xgb;1;100;0.02;0.8;3;0.6;1;mae;1057932.656523523
1;production_feature;single_agg;xgb;1;100;0.02;0.8;3;0.9;1;mae;991116.1019898796
1;production_feature;single_agg;xgb;1;100;0.02;0.8;5;0.6;1;mae;1060858.7823782822
1;production_feature;single_agg;xgb;1;100;0.02;0.8;5;0.9;1;mae;1006226.2702321527
1;production_feature;single_agg;xgb;1;100;0.02;0.8;7;0.6;1;mae;1048681.2111725588
1;production_feature;single_agg;xgb;1;100;0.02;0.8;7;0.9;1;mae;1008862.5800182918
1;production_feature;single_agg;xgb;1;100;0.04;0.5;3;0.6;1;mae;1046323.7590476272
1;production_feature;single_agg;xgb;1;100;0.04;0.5;3;0.9;1;mae;1022231.1776531729
1;production_feature;single_agg;xgb;1;100;0.04;0.5;5;0.6;1;mae;1063669.3343807696
1;production_feature;single_agg;xgb;1;100;0.04;0.5;5;0.9;1;mae;997268.7854898733
1;production_feature;single_agg;xgb;1;100;0.04;0.5;7;0.6;1;mae;1074266.1799546124
1;production_feature;single_agg;xgb;1;100;0.04;0.5;7;0.9;1;mae;1020883.4598526235
1;production_feature;single_agg;xgb;1;100;0.04;0.8;3;0.6;1;mae;1065465.253316466
1;production_feature;single_agg;xgb;1;100;0.04;0.8;3;0.9;1;mae;974332.8897061337
1;production_feature;single_agg;xgb;1;100;0.04;0.8;5;0.6;1;mae;1033043.6006003616
1;production_feature;single_agg;xgb;1;100;0.04;0.8;5;0.9;1;mae;994463.1013466733
1;production_feature;single_agg;xgb;1;100;0.04;0.8;7;0.6;1;mae;1027695.1449372607
1;production_feature;single_agg;xgb;1;100;0.04;0.8;7;0.9;1;mae;1020129.4140576919
1;production_feature;single_agg;xgb;1;100;0.06;0.5;3;0.6;1;mae;1028880.9597451108
1;production_feature;single_agg;xgb;1;100;0.06;0.5;3;0.9;1;mae;1016171.2719777314
1;production_feature;single_agg;xgb;1;100;0.06;0.5;5;0.6;1;mae;1114599.0693722647
1;production_feature;single_agg;xgb;1;100;0.06;0.5;5;0.9;1;mae;1016110.2053356213
1;production_feature;single_agg;xgb;1;100;0.06;0.5;7;0.6;1;mae;1080805.5960108384
1;production_feature;single_agg;xgb;1;100;0.06;0.5;7;0.9;1;mae;1000623.8047703048
1;production_feature;single_agg;xgb;1;100;0.06;0.8;3;0.6;1;mae;1032972.6932867204
1;production_feature;single_agg;xgb;1;100;0.06;0.8;3;0.9;1;mae;1004672.149802978
1;production_feature;single_agg;xgb;1;100;0.06;0.8;5;0.6;1;mae;1056953.9707715057
1;production_feature;single_agg;xgb;1;100;0.06;0.8;5;0.9;1;mae;966408.6784004194
1;production_feature;single_agg;xgb;1;100;0.06;0.8;7;0.6;1;mae;1025387.2275214331
1;production_feature;single_agg;xgb;1;100;0.06;0.8;7;0.9;1;mae;1027485.8470215913
1;production_feature;single_agg;xgb;1;500;0.02;0.5;3;0.6;1;mae;1019424.19004558
1;production_feature;single_agg;xgb;1;500;0.02;0.5;3;0.9;1;mae;979097.3447030566
1;production_feature;single_agg;xgb;1;500;0.02;0.5;5;0.6;1;mae;1050188.1034400323
1;production_feature;single_agg;xgb;1;500;0.02;0.5;5;0.9;1;mae;988696.6511150335
1;production_feature;single_agg;xgb;1;500;0.02;0.5;7;0.6;1;mae;1055661.939748017
1;production_feature;single_agg;xgb;1;500;0.02;0.5;7;0.9;1;mae;1001792.0208563273
1;production_feature;single_agg;xgb;1;500;0.02;0.8;3;0.6;1;mae;1029842.0939311021
1;production_feature;single_agg;xgb;1;500;0.02;0.8;3;0.9;1;mae;978343.7816605516
1;production_feature;single_agg;xgb;1;500;0.02;0.8;5;0.6;1;mae;1049702.2406841922
1;production_feature;single_agg;xgb;1;500;0.02;0.8;5;0.9;1;mae;998495.7803049567
1;production_feature;single_agg;xgb;1;500;0.02;0.8;7;0.6;1;mae;1048321.997100229
1;production_feature;single_agg;xgb;1;500;0.02;0.8;7;0.9;1;mae;1013115.3616203459
1;production_feature;single_agg;xgb;1;500;0.04;0.5;3;0.6;1;mae;1034371.585307115
1;production_feature;single_agg;xgb;1;500;0.04;0.5;3;0.9;1;mae;1033250.6833242337
1;production_feature;single_agg;xgb;1;500;0.04;0.5;5;0.6;1;mae;1062360.3095460052
1;production_feature;single_agg;xgb;1;500;0.04;0.5;5;0.9;1;mae;1007281.9722481024
1;production_feature;single_agg;xgb;1;500;0.04;0.5;7;0.6;1;mae;1068253.93609539
1;production_feature;single_agg;xgb;1;500;0.04;0.5;7;0.9;1;mae;1026273.5674405087
1;production_feature;single_agg;xgb;1;500;0.04;0.8;3;0.6;1;mae;1059139.8064162508
1;production_feature;single_agg;xgb;1;500;0.04;0.8;3;0.9;1;mae;998494.0072387428
1;production_feature;single_agg;xgb;1;500;0.04;0.8;5;0.6;1;mae;1046572.3356500872
1;production_feature;single_agg;xgb;1;500;0.04;0.8;5;0.9;1;mae;1012099.1927524959
1;production_feature;single_agg;xgb;1;500;0.04;0.8;7;0.6;1;mae;1038993.2712499839
1;production_feature;single_agg;xgb;1;500;0.04;0.8;7;0.9;1;mae;1023273.5465256171
1;production_feature;single_agg;xgb;1;500;0.06;0.5;3;0.6;1;mae;1036890.6559080962
1;production_feature;single_agg;xgb;1;500;0.06;0.5;3;0.9;1;mae;1034965.7438630286
1;production_feature;single_agg;xgb;1;500;0.06;0.5;5;0.6;1;mae;1110610.8921229658
1;production_feature;single_agg;xgb;1;500;0.06;0.5;5;0.9;1;mae;1030525.4030083254
1;production_feature;single_agg;xgb;1;500;0.06;0.5;7;0.6;1;mae;1084368.5286558056
1;production_feature;single_agg;xgb;1;500;0.06;0.5;7;0.9;1;mae;1009558.6268911549
1;production_feature;single_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;1073690.7481857734
1;production_feature;single_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;1032529.6487227759
1;production_feature;single_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;1066551.2826950774
1;production_feature;single_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;985593.0338821245
1;production_feature;single_agg;xgb;1;500;0.06;0.8;7;0.6;1;mae;1024208.0600724836
1;production_feature;single_agg;xgb;1;500;0.06;0.8;7;0.9;1;mae;1028470.7376423174
2;production_feature;single_agg;xgb;1;100;0.02;0.5;3;0.6;1;mae;988260.2304469274
2;production_feature;single_agg;xgb;1;100;0.02;0.5;3;0.9;1;mae;955910.4323585894
2;production_feature;single_agg;xgb;1;100;0.02;0.5;5;0.6;1;mae;915369.5349745767
2;production_feature;single_agg;xgb;1;100;0.02;0.5;5;0.9;1;mae;881617.0446976476
2;production_feature;single_agg;xgb;1;100;0.02;0.5;7;0.6;1;mae;910062.5191046176
2;production_feature;single_agg;xgb;1;100;0.02;0.5;7;0.9;1;mae;878162.2527125523
2;production_feature;single_agg;xgb;1;100;0.02;0.8;3;0.6;1;mae;997250.8531686453
2;production_feature;single_agg;xgb;1;100;0.02;0.8;3;0.9;1;mae;959179.9626222067
2;production_feature;single_agg;xgb;1;100;0.02;0.8;5;0.6;1;mae;914058.0095419431
2;production_feature;single_agg;xgb;1;100;0.02;0.8;5;0.9;1;mae;918936.0242973114
2;production_feature;single_agg;xgb;1;100;0.02;0.8;7;0.6;1;mae;932642.0755444745
2;production_feature;single_agg;xgb;1;100;0.02;0.8;7;0.9;1;mae;922512.2142239874
2;production_feature;single_agg;xgb;1;100;0.04;0.5;3;0.6;1;mae;959770.0084333537
2;production_feature;single_agg;xgb;1;100;0.04;0.5;3;0.9;1;mae;952322.5738041201
2;production_feature;single_agg;xgb;1;100;0.04;0.5;5;0.6;1;mae;907026.711032974
2;production_feature;single_agg;xgb;1;100;0.04;0.5;5;0.9;1;mae;881821.9345247578
2;production_feature;single_agg;xgb;1;100;0.04;0.5;7;0.6;1;mae;899323.7031390483
2;production_feature;single_agg;xgb;1;100;0.04;0.5;7;0.9;1;mae;874493.4093147832
2;production_feature;single_agg;xgb;1;100;0.04;0.8;3;0.6;1;mae;971316.1942246421
2;production_feature;single_agg;xgb;1;100;0.04;0.8;3;0.9;1;mae;957671.2610880762
2;production_feature;single_agg;xgb;1;100;0.04;0.8;5;0.6;1;mae;898893.2492209323
2;production_feature;single_agg;xgb;1;100;0.04;0.8;5;0.9;1;mae;912348.350806346
2;production_feature;single_agg;xgb;1;100;0.04;0.8;7;0.6;1;mae;931731.7489416027
2;production_feature;single_agg;xgb;1;100;0.04;0.8;7;0.9;1;mae;915939.0309319352
2;production_feature;single_agg;xgb;1;100;0.06;0.5;3;0.6;1;mae;956202.2157401143
2;production_feature;single_agg;xgb;1;100;0.06;0.5;3;0.9;1;mae;948832.453357411
2;production_feature;single_agg;xgb;1;100;0.06;0.5;5;0.6;1;mae;922388.2876374825
2;production_feature;single_agg;xgb;1;100;0.06;0.5;5;0.9;1;mae;893727.8794343575
2;production_feature;single_agg;xgb;1;100;0.06;0.5;7;0.6;1;mae;911628.2507416965
2;production_feature;single_agg;xgb;1;100;0.06;0.5;7;0.9;1;mae;888921.3210042772
2;production_feature;single_agg;xgb;1;100;0.06;0.8;3;0.6;1;mae;960513.3217702514
2;production_feature;single_agg;xgb;1;100;0.06;0.8;3;0.9;1;mae;940825.2910701815
2;production_feature;single_agg;xgb;1;100;0.06;0.8;5;0.6;1;mae;891991.6853875698
2;production_feature;single_agg;xgb;1;100;0.06;0.8;5;0.9;1;mae;913644.876994588
2;production_feature;single_agg;xgb;1;100;0.06;0.8;7;0.6;1;mae;923674.9439376746
2;production_feature;single_agg;xgb;1;100;0.06;0.8;7;0.9;1;mae;921066.4199202383
2;production_feature;single_agg;xgb;1;500;0.02;0.5;3;0.6;1;mae;938671.6749345321
2;production_feature;single_agg;xgb;1;500;0.02;0.5;3;0.9;1;mae;901230.859632507
2;production_feature;single_agg;xgb;1;500;0.02;0.5;5;0.6;1;mae;906113.9106210719
2;production_feature;single_agg;xgb;1;500;0.02;0.5;5;0.9;1;mae;871338.8719536979
2;production_feature;single_agg;xgb;1;500;0.02;0.5;7;0.6;1;mae;903757.86586614
2;production_feature;single_agg;xgb;1;500;0.02;0.5;7;0.9;1;mae;863853.6193141149
2;production_feature;single_agg;xgb;1;500;0.02;0.8;3;0.6;1;mae;941530.7840432961
2;production_feature;single_agg;xgb;1;500;0.02;0.8;3;0.9;1;mae;924107.6163909741
2;production_feature;single_agg;xgb;1;500;0.02;0.8;5;0.6;1;mae;897909.4974332501
2;production_feature;single_agg;xgb;1;500;0.02;0.8;5;0.9;1;mae;894386.9294529068
2;production_feature;single_agg;xgb;1;500;0.02;0.8;7;0.6;1;mae;919618.5205089037
2;production_feature;single_agg;xgb;1;500;0.02;0.8;7;0.9;1;mae;899050.1062478177
2;production_feature;single_agg;xgb;1;500;0.04;0.5;3;0.6;1;mae;912340.31658956
2;production_feature;single_agg;xgb;1;500;0.04;0.5;3;0.9;1;mae;893435.707065075
2;production_feature;single_agg;xgb;1;500;0.04;0.5;5;0.6;1;mae;911766.585023132
2;production_feature;single_agg;xgb;1;500;0.04;0.5;5;0.9;1;mae;873080.1499238936
2;production_feature;single_agg;xgb;1;500;0.04;0.5;7;0.6;1;mae;894659.4938121944
2;production_feature;single_agg;xgb;1;500;0.04;0.5;7;0.9;1;mae;873323.9660778195
2;production_feature;single_agg;xgb;1;500;0.04;0.8;3;0.6;1;mae;936371.2853177374
2;production_feature;single_agg;xgb;1;500;0.04;0.8;3;0.9;1;mae;922417.4623404221
2;production_feature;single_agg;xgb;1;500;0.04;0.8;5;0.6;1;mae;890896.1133030726
2;production_feature;single_agg;xgb;1;500;0.04;0.8;5;0.9;1;mae;897315.6602129888
2;production_feature;single_agg;xgb;1;500;0.04;0.8;7;0.6;1;mae;928096.5377591436
2;production_feature;single_agg;xgb;1;500;0.04;0.8;7;0.9;1;mae;916883.2818131602
2;production_feature;single_agg;xgb;1;500;0.06;0.5;3;0.6;1;mae;933500.3286885693
2;production_feature;single_agg;xgb;1;500;0.06;0.5;3;0.9;1;mae;931921.0903734942
2;production_feature;single_agg;xgb;1;500;0.06;0.5;5;0.6;1;mae;915258.8449087815
2;production_feature;single_agg;xgb;1;500;0.06;0.5;5;0.9;1;mae;895911.1374290765
2;production_feature;single_agg;xgb;1;500;0.06;0.5;7;0.6;1;mae;909039.4492449372
2;production_feature;single_agg;xgb;1;500;0.06;0.5;7;0.9;1;mae;892545.3095784278
2;production_feature;single_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;933321.5932456246
2;production_feature;single_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;905194.09783956
2;production_feature;single_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;884057.0036181913
2;production_feature;single_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;913062.3804709322
