part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;traffic_fines;single_agg;xgb;1;100;0.02;0.5;3;0.6;1;mae;17016411.19768612
1;traffic_fines;single_agg;xgb;1;100;0.02;0.5;3;0.9;1;mae;16892337.07052685
1;traffic_fines;single_agg;xgb;1;100;0.02;0.5;5;0.6;1;mae;16487281.993478782
1;traffic_fines;single_agg;xgb;1;100;0.02;0.5;5;0.9;1;mae;16417194.642343568
1;traffic_fines;single_agg;xgb;1;100;0.02;0.5;7;0.6;1;mae;16203282.193137875
1;traffic_fines;single_agg;xgb;1;100;0.02;0.5;7;0.9;1;mae;16182011.073065657
1;traffic_fines;single_agg;xgb;1;100;0.02;0.8;3;0.6;1;mae;17016890.92955645
1;traffic_fines;single_agg;xgb;1;100;0.02;0.8;3;0.9;1;mae;16884284.982781447
1;traffic_fines;single_agg;xgb;1;100;0.02;0.8;5;0.6;1;mae;16495282.044769581
1;traffic_fines;single_agg;xgb;1;100;0.02;0.8;5;0.9;1;mae;16402568.975466475
1;traffic_fines;single_agg;xgb;1;100;0.02;0.8;7;0.6;1;mae;16202912.990364911
1;traffic_fines;single_agg;xgb;1;100;0.02;0.8;7;0.9;1;mae;16178729.16381614
1;traffic_fines;single_agg;xgb;1;100;0.04;0.5;3;0.6;1;mae;16498159.707902968
1;traffic_fines;single_agg;xgb;1;100;0.04;0.5;3;0.9;1;mae;16519399.528560875
1;traffic_fines;single_agg;xgb;1;100;0.04;0.5;5;0.6;1;mae;15974386.86799458
1;traffic_fines;single_agg;xgb;1;100;0.04;0.5;5;0.9;1;mae;15983601.770631103
1;traffic_fines;single_agg;xgb;1;100;0.04;0.5;7;0.6;1;mae;15660010.63815743
1;traffic_fines;single_agg;xgb;1;100;0.04;0.5;7;0.9;1;mae;15643802.985703051
1;traffic_fines;single_agg;xgb;1;100;0.04;0.8;3;0.6;1;mae;16494508.4932013
1;traffic_fines;single_agg;xgb;1;100;0.04;0.8;3;0.9;1;mae;16505024.902945695
1;traffic_fines;single_agg;xgb;1;100;0.04;0.8;5;0.6;1;mae;15983312.893475788
1;traffic_fines;single_agg;xgb;1;100;0.04;0.8;5;0.9;1;mae;15968231.280544885
1;traffic_fines;single_agg;xgb;1;100;0.04;0.8;7;0.6;1;mae;15656592.323021235
1;traffic_fines;single_agg;xgb;1;100;0.04;0.8;7;0.9;1;mae;15635171.571076073
1;traffic_fines;single_agg;xgb;1;100;0.06;0.5;3;0.6;1;mae;16277857.812505286
