part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2020;single_index;xgb;1;100;0.02;0.5;3;0.6;1;mae;331337.2775838485
1;bpic2020;single_index;xgb;1;100;0.02;0.5;3;0.9;1;mae;333222.3782009433
1;bpic2020;single_index;xgb;1;100;0.02;0.5;5;0.6;1;mae;315215.10717650264
1;bpic2020;single_index;xgb;1;100;0.02;0.5;5;0.9;1;mae;317754.64465449133
1;bpic2020;single_index;xgb;1;100;0.02;0.5;7;0.6;1;mae;305653.2153140933
1;bpic2020;single_index;xgb;1;100;0.02;0.5;7;0.9;1;mae;306096.3232018357
1;bpic2020;single_index;xgb;1;100;0.02;0.8;3;0.6;1;mae;330438.79662574164
1;bpic2020;single_index;xgb;1;100;0.02;0.8;3;0.9;1;mae;330318.5275405475
1;bpic2020;single_index;xgb;1;100;0.02;0.8;5;0.6;1;mae;314885.4248713738
1;bpic2020;single_index;xgb;1;100;0.02;0.8;5;0.9;1;mae;314483.1012566173
1;bpic2020;single_index;xgb;1;100;0.02;0.8;7;0.6;1;mae;304322.7896034893
1;bpic2020;single_index;xgb;1;100;0.02;0.8;7;0.9;1;mae;302743.4603218139
1;bpic2020;single_index;xgb;1;100;0.04;0.5;3;0.6;1;mae;345390.68831439194
1;bpic2020;single_index;xgb;1;100;0.04;0.5;3;0.9;1;mae;348342.08370305726
1;bpic2020;single_index;xgb;1;100;0.04;0.5;5;0.6;1;mae;333690.65367761516
1;bpic2020;single_index;xgb;1;100;0.04;0.5;5;0.9;1;mae;335347.63755090645
1;bpic2020;single_index;xgb;1;100;0.04;0.5;7;0.6;1;mae;325821.2909717168
1;bpic2020;single_index;xgb;1;100;0.04;0.5;7;0.9;1;mae;327337.94363080425
1;bpic2020;single_index;xgb;1;100;0.04;0.8;3;0.6;1;mae;344106.3485214373
1;bpic2020;single_index;xgb;1;100;0.04;0.8;3;0.9;1;mae;345113.38072739023
1;bpic2020;single_index;xgb;1;100;0.04;0.8;5;0.6;1;mae;333400.8744204327
1;bpic2020;single_index;xgb;1;100;0.04;0.8;5;0.9;1;mae;332694.5809961895
1;bpic2020;single_index;xgb;1;100;0.04;0.8;7;0.6;1;mae;325123.1487129193
1;bpic2020;single_index;xgb;1;100;0.04;0.8;7;0.9;1;mae;323629.7461048528
1;bpic2020;single_index;xgb;1;100;0.06;0.5;3;0.6;1;mae;344846.87807076273
1;bpic2020;single_index;xgb;1;100;0.06;0.5;3;0.9;1;mae;347790.2872421925
1;bpic2020;single_index;xgb;1;100;0.06;0.5;5;0.6;1;mae;334595.4651747182
1;bpic2020;single_index;xgb;1;100;0.06;0.5;5;0.9;1;mae;337465.25569963316
1;bpic2020;single_index;xgb;1;100;0.06;0.5;7;0.6;1;mae;329420.1928395895
1;bpic2020;single_index;xgb;1;100;0.06;0.5;7;0.9;1;mae;329570.279235636
1;bpic2020;single_index;xgb;1;100;0.06;0.8;3;0.6;1;mae;342445.7132252363
1;bpic2020;single_index;xgb;1;100;0.06;0.8;3;0.9;1;mae;344201.54947056196
1;bpic2020;single_index;xgb;1;100;0.06;0.8;5;0.6;1;mae;334526.1793579197
1;bpic2020;single_index;xgb;1;100;0.06;0.8;5;0.9;1;mae;333983.36601163534
1;bpic2020;single_index;xgb;1;100;0.06;0.8;7;0.6;1;mae;329656.71736350487
1;bpic2020;single_index;xgb;1;100;0.06;0.8;7;0.9;1;mae;327399.2566807452
1;bpic2020;single_index;xgb;1;500;0.02;0.5;3;0.6;1;mae;340507.9914918692
1;bpic2020;single_index;xgb;1;500;0.02;0.5;3;0.9;1;mae;341734.25279929873
1;bpic2020;single_index;xgb;1;500;0.02;0.5;5;0.6;1;mae;334444.1526347114
1;bpic2020;single_index;xgb;1;500;0.02;0.5;5;0.9;1;mae;334723.91587274993
1;bpic2020;single_index;xgb;1;500;0.02;0.5;7;0.6;1;mae;332056.2946305756
1;bpic2020;single_index;xgb;1;500;0.02;0.5;7;0.9;1;mae;331237.49761379074
1;bpic2020;single_index;xgb;1;500;0.02;0.8;3;0.6;1;mae;338549.6338375766
1;bpic2020;single_index;xgb;1;500;0.02;0.8;3;0.9;1;mae;338427.060326085
1;bpic2020;single_index;xgb;1;500;0.02;0.8;5;0.6;1;mae;333705.5474976851
1;bpic2020;single_index;xgb;1;500;0.02;0.8;5;0.9;1;mae;334738.225571995
1;bpic2020;single_index;xgb;1;500;0.02;0.8;7;0.6;1;mae;331583.5875124165
1;bpic2020;single_index;xgb;1;500;0.02;0.8;7;0.9;1;mae;329568.7271828159
1;bpic2020;single_index;xgb;1;500;0.04;0.5;3;0.6;1;mae;337882.6027294477
1;bpic2020;single_index;xgb;1;500;0.04;0.5;3;0.9;1;mae;339070.23562705994
1;bpic2020;single_index;xgb;1;500;0.04;0.5;5;0.6;1;mae;337664.3234594852
1;bpic2020;single_index;xgb;1;500;0.04;0.5;5;0.9;1;mae;339383.5669492072
1;bpic2020;single_index;xgb;1;500;0.04;0.5;7;0.6;1;mae;343749.7360636415
1;bpic2020;single_index;xgb;1;500;0.04;0.5;7;0.9;1;mae;346954.1991858037
1;bpic2020;single_index;xgb;1;500;0.04;0.8;3;0.6;1;mae;336335.2228507901
1;bpic2020;single_index;xgb;1;500;0.04;0.8;3;0.9;1;mae;336384.7313768057
1;bpic2020;single_index;xgb;1;500;0.04;0.8;5;0.6;1;mae;333996.8028349206
1;bpic2020;single_index;xgb;1;500;0.04;0.8;5;0.9;1;mae;337030.4761265397
1;bpic2020;single_index;xgb;1;500;0.04;0.8;7;0.6;1;mae;338414.26902637957
1;bpic2020;single_index;xgb;1;500;0.04;0.8;7;0.9;1;mae;339312.8670127932
1;bpic2020;single_index;xgb;1;500;0.06;0.5;3;0.6;1;mae;339173.73184507043
1;bpic2020;single_index;xgb;1;500;0.06;0.5;3;0.9;1;mae;339939.5461175661
1;bpic2020;single_index;xgb;1;500;0.06;0.5;5;0.6;1;mae;345295.72080720525
1;bpic2020;single_index;xgb;1;500;0.06;0.5;5;0.9;1;mae;347537.0299477345
1;bpic2020;single_index;xgb;1;500;0.06;0.5;7;0.6;1;mae;361063.775645065
1;bpic2020;single_index;xgb;1;500;0.06;0.5;7;0.9;1;mae;359731.3470823198
1;bpic2020;single_index;xgb;1;500;0.06;0.8;3;0.6;1;mae;336725.54270639166
1;bpic2020;single_index;xgb;1;500;0.06;0.8;3;0.9;1;mae;338070.7855070406
1;bpic2020;single_index;xgb;1;500;0.06;0.8;5;0.6;1;mae;341144.0820205418
1;bpic2020;single_index;xgb;1;500;0.06;0.8;5;0.9;1;mae;340917.0587603118
1;bpic2020;single_index;xgb;1;500;0.06;0.8;7;0.6;1;mae;355242.327462116
1;bpic2020;single_index;xgb;1;500;0.06;0.8;7;0.9;1;mae;354570.1353164783
2;bpic2020;single_index;xgb;1;100;0.02;0.5;3;0.6;1;mae;343146.1377228359
2;bpic2020;single_index;xgb;1;100;0.02;0.5;3;0.9;1;mae;345222.32743739843
2;bpic2020;single_index;xgb;1;100;0.02;0.5;5;0.6;1;mae;330179.62275756913
2;bpic2020;single_index;xgb;1;100;0.02;0.5;5;0.9;1;mae;333689.27678031405
2;bpic2020;single_index;xgb;1;100;0.02;0.5;7;0.6;1;mae;321755.2221306846
2;bpic2020;single_index;xgb;1;100;0.02;0.5;7;0.9;1;mae;323880.7005876758
2;bpic2020;single_index;xgb;1;100;0.02;0.8;3;0.6;1;mae;341968.69953302696
2;bpic2020;single_index;xgb;1;100;0.02;0.8;3;0.9;1;mae;341294.3032204144
2;bpic2020;single_index;xgb;1;100;0.02;0.8;5;0.6;1;mae;330386.3471057825
2;bpic2020;single_index;xgb;1;100;0.02;0.8;5;0.9;1;mae;331299.32706186647
2;bpic2020;single_index;xgb;1;100;0.02;0.8;7;0.6;1;mae;322034.2857079592
2;bpic2020;single_index;xgb;1;100;0.02;0.8;7;0.9;1;mae;322177.6013256541
2;bpic2020;single_index;xgb;1;100;0.04;0.5;3;0.6;1;mae;359223.2645522092
2;bpic2020;single_index;xgb;1;100;0.04;0.5;3;0.9;1;mae;360303.0146625786
2;bpic2020;single_index;xgb;1;100;0.04;0.5;5;0.6;1;mae;350037.7220919863
2;bpic2020;single_index;xgb;1;100;0.04;0.5;5;0.9;1;mae;352679.98414487974
2;bpic2020;single_index;xgb;1;100;0.04;0.5;7;0.6;1;mae;343982.1631663692
2;bpic2020;single_index;xgb;1;100;0.04;0.5;7;0.9;1;mae;344047.95067535056
2;bpic2020;single_index;xgb;1;100;0.04;0.8;3;0.6;1;mae;356815.34765487036
2;bpic2020;single_index;xgb;1;100;0.04;0.8;3;0.9;1;mae;358591.479923801
2;bpic2020;single_index;xgb;1;100;0.04;0.8;5;0.6;1;mae;348948.80183169106
2;bpic2020;single_index;xgb;1;100;0.04;0.8;5;0.9;1;mae;350377.4821554708
2;bpic2020;single_index;xgb;1;100;0.04;0.8;7;0.6;1;mae;342219.9108173629
2;bpic2020;single_index;xgb;1;100;0.04;0.8;7;0.9;1;mae;344032.6017746852
2;bpic2020;single_index;xgb;1;100;0.06;0.5;3;0.6;1;mae;358702.81303805095
2;bpic2020;single_index;xgb;1;100;0.06;0.5;3;0.9;1;mae;360782.3507242442
2;bpic2020;single_index;xgb;1;100;0.06;0.5;5;0.6;1;mae;353925.59005124454
2;bpic2020;single_index;xgb;1;100;0.06;0.5;5;0.9;1;mae;355005.0516095036
2;bpic2020;single_index;xgb;1;100;0.06;0.5;7;0.6;1;mae;352212.2622005384
2;bpic2020;single_index;xgb;1;100;0.06;0.5;7;0.9;1;mae;350385.3802645528
2;bpic2020;single_index;xgb;1;100;0.06;0.8;3;0.6;1;mae;357929.3557209441
2;bpic2020;single_index;xgb;1;100;0.06;0.8;3;0.9;1;mae;356806.7974963799
2;bpic2020;single_index;xgb;1;100;0.06;0.8;5;0.6;1;mae;351810.2739975214
2;bpic2020;single_index;xgb;1;100;0.06;0.8;5;0.9;1;mae;352633.57918206323
2;bpic2020;single_index;xgb;1;100;0.06;0.8;7;0.6;1;mae;349884.1735683429
2;bpic2020;single_index;xgb;1;100;0.06;0.8;7;0.9;1;mae;350800.74546983186
2;bpic2020;single_index;xgb;1;500;0.02;0.5;3;0.6;1;mae;357692.99734582216
2;bpic2020;single_index;xgb;1;500;0.02;0.5;3;0.9;1;mae;358314.15683357837
2;bpic2020;single_index;xgb;1;500;0.02;0.5;5;0.6;1;mae;352226.382512515
2;bpic2020;single_index;xgb;1;500;0.02;0.5;5;0.9;1;mae;354604.90068926266
2;bpic2020;single_index;xgb;1;500;0.02;0.5;7;0.6;1;mae;349861.52880798856
2;bpic2020;single_index;xgb;1;500;0.02;0.5;7;0.9;1;mae;352688.252906926
2;bpic2020;single_index;xgb;1;500;0.02;0.8;3;0.6;1;mae;353092.9183233118
2;bpic2020;single_index;xgb;1;500;0.02;0.8;3;0.9;1;mae;354260.7590446583
2;bpic2020;single_index;xgb;1;500;0.02;0.8;5;0.6;1;mae;351487.6006286305
2;bpic2020;single_index;xgb;1;500;0.02;0.8;5;0.9;1;mae;352718.1825678321
2;bpic2020;single_index;xgb;1;500;0.02;0.8;7;0.6;1;mae;351418.3356983955
2;bpic2020;single_index;xgb;1;500;0.02;0.8;7;0.9;1;mae;353019.0565824011
2;bpic2020;single_index;xgb;1;500;0.04;0.5;3;0.6;1;mae;357988.55975040654
2;bpic2020;single_index;xgb;1;500;0.04;0.5;3;0.9;1;mae;358928.36698711483
2;bpic2020;single_index;xgb;1;500;0.04;0.5;5;0.6;1;mae;358606.95719660475
2;bpic2020;single_index;xgb;1;500;0.04;0.5;5;0.9;1;mae;363908.8270450136
2;bpic2020;single_index;xgb;1;500;0.04;0.5;7;0.6;1;mae;363192.48399559647
2;bpic2020;single_index;xgb;1;500;0.04;0.5;7;0.9;1;mae;369903.3481577648
2;bpic2020;single_index;xgb;1;500;0.04;0.8;3;0.6;1;mae;352972.1717408877
2;bpic2020;single_index;xgb;1;500;0.04;0.8;3;0.9;1;mae;354119.7866331832
2;bpic2020;single_index;xgb;1;500;0.04;0.8;5;0.6;1;mae;358328.53180295194
2;bpic2020;single_index;xgb;1;500;0.04;0.8;5;0.9;1;mae;361073.5721672652
2;bpic2020;single_index;xgb;1;500;0.04;0.8;7;0.6;1;mae;361025.3040831045
2;bpic2020;single_index;xgb;1;500;0.04;0.8;7;0.9;1;mae;366410.0843058044
2;bpic2020;single_index;xgb;1;500;0.06;0.5;3;0.6;1;mae;361202.626595984
2;bpic2020;single_index;xgb;1;500;0.06;0.5;3;0.9;1;mae;365743.8938033173
2;bpic2020;single_index;xgb;1;500;0.06;0.5;5;0.6;1;mae;370003.20383406105
2;bpic2020;single_index;xgb;1;500;0.06;0.5;5;0.9;1;mae;375996.95928498294
2;bpic2020;single_index;xgb;1;500;0.06;0.5;7;0.6;1;mae;378922.90965231654
2;bpic2020;single_index;xgb;1;500;0.06;0.5;7;0.9;1;mae;388008.33766629256
2;bpic2020;single_index;xgb;1;500;0.06;0.8;3;0.6;1;mae;355676.7688818989
2;bpic2020;single_index;xgb;1;500;0.06;0.8;3;0.9;1;mae;356676.9263561605
2;bpic2020;single_index;xgb;1;500;0.06;0.8;5;0.6;1;mae;363080.0800207049
2;bpic2020;single_index;xgb;1;500;0.06;0.8;5;0.9;1;mae;368615.3722832371
2;bpic2020;single_index;xgb;1;500;0.06;0.8;7;0.6;1;mae;376795.051640988
2;bpic2020;single_index;xgb;1;500;0.06;0.8;7;0.9;1;mae;379407.77790166315
3;bpic2020;single_index;xgb;1;100;0.02;0.5;3;0.6;1;mae;339560.822219627
3;bpic2020;single_index;xgb;1;100;0.02;0.5;3;0.9;1;mae;340345.6368851141
3;bpic2020;single_index;xgb;1;100;0.02;0.5;5;0.6;1;mae;326756.39732549124
3;bpic2020;single_index;xgb;1;100;0.02;0.5;5;0.9;1;mae;328732.41189563577
3;bpic2020;single_index;xgb;1;100;0.02;0.5;7;0.6;1;mae;317525.55866158503
3;bpic2020;single_index;xgb;1;100;0.02;0.5;7;0.9;1;mae;318261.2463920915
3;bpic2020;single_index;xgb;1;100;0.02;0.8;3;0.6;1;mae;337849.02922223153
3;bpic2020;single_index;xgb;1;100;0.02;0.8;3;0.9;1;mae;338560.3098040209
3;bpic2020;single_index;xgb;1;100;0.02;0.8;5;0.6;1;mae;325298.36805226945
3;bpic2020;single_index;xgb;1;100;0.02;0.8;5;0.9;1;mae;328167.73650867405
3;bpic2020;single_index;xgb;1;100;0.02;0.8;7;0.6;1;mae;316350.3274041852
3;bpic2020;single_index;xgb;1;100;0.02;0.8;7;0.9;1;mae;316636.6249901628
3;bpic2020;single_index;xgb;1;100;0.04;0.5;3;0.6;1;mae;358140.07855963986
3;bpic2020;single_index;xgb;1;100;0.04;0.5;3;0.9;1;mae;359051.5550092106
3;bpic2020;single_index;xgb;1;100;0.04;0.5;5;0.6;1;mae;348187.9876945688
3;bpic2020;single_index;xgb;1;100;0.04;0.5;5;0.9;1;mae;348028.85367620486
3;bpic2020;single_index;xgb;1;100;0.04;0.5;7;0.6;1;mae;340605.351074959
3;bpic2020;single_index;xgb;1;100;0.04;0.5;7;0.9;1;mae;340112.40553829615
3;bpic2020;single_index;xgb;1;100;0.04;0.8;3;0.6;1;mae;355639.92198572576
3;bpic2020;single_index;xgb;1;100;0.04;0.8;3;0.9;1;mae;354676.06920744607
3;bpic2020;single_index;xgb;1;100;0.04;0.8;5;0.6;1;mae;346614.2775713988
3;bpic2020;single_index;xgb;1;100;0.04;0.8;5;0.9;1;mae;346006.1189976731
3;bpic2020;single_index;xgb;1;100;0.04;0.8;7;0.6;1;mae;340178.40186442045
3;bpic2020;single_index;xgb;1;100;0.04;0.8;7;0.9;1;mae;340864.9374352163
3;bpic2020;single_index;xgb;1;100;0.06;0.5;3;0.6;1;mae;358114.29111533327
3;bpic2020;single_index;xgb;1;100;0.06;0.5;3;0.9;1;mae;357765.21590748837
3;bpic2020;single_index;xgb;1;100;0.06;0.5;5;0.6;1;mae;350796.0862917122
3;bpic2020;single_index;xgb;1;100;0.06;0.5;5;0.9;1;mae;350504.1566603325
3;bpic2020;single_index;xgb;1;100;0.06;0.5;7;0.6;1;mae;343908.69963116985
3;bpic2020;single_index;xgb;1;100;0.06;0.5;7;0.9;1;mae;344434.02352852985
3;bpic2020;single_index;xgb;1;100;0.06;0.8;3;0.6;1;mae;354355.70189710107
3;bpic2020;single_index;xgb;1;100;0.06;0.8;3;0.9;1;mae;354902.00223352003
3;bpic2020;single_index;xgb;1;100;0.06;0.8;5;0.6;1;mae;348571.5405651647
3;bpic2020;single_index;xgb;1;100;0.06;0.8;5;0.9;1;mae;348885.26296629105
3;bpic2020;single_index;xgb;1;100;0.06;0.8;7;0.6;1;mae;342018.9539059978
3;bpic2020;single_index;xgb;1;100;0.06;0.8;7;0.9;1;mae;345144.80412214797
3;bpic2020;single_index;xgb;1;500;0.02;0.5;3;0.6;1;mae;352450.49514476565
3;bpic2020;single_index;xgb;1;500;0.02;0.5;3;0.9;1;mae;351103.19099516
3;bpic2020;single_index;xgb;1;500;0.02;0.5;5;0.6;1;mae;346614.2250058571
3;bpic2020;single_index;xgb;1;500;0.02;0.5;5;0.9;1;mae;348021.75736034726
3;bpic2020;single_index;xgb;1;500;0.02;0.5;7;0.6;1;mae;345592.0402622361
3;bpic2020;single_index;xgb;1;500;0.02;0.5;7;0.9;1;mae;347106.2088090697
3;bpic2020;single_index;xgb;1;500;0.02;0.8;3;0.6;1;mae;349049.23981727706
3;bpic2020;single_index;xgb;1;500;0.02;0.8;3;0.9;1;mae;349967.6232338054
3;bpic2020;single_index;xgb;1;500;0.02;0.8;5;0.6;1;mae;347558.2569666319
