part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production;single_index;xgb;1;100;0.02;0.5;3;0.6;1;mae;1092727.9131157985
1;production;single_index;xgb;1;100;0.02;0.5;3;0.9;1;mae;1086025.675148641
1;production;single_index;xgb;1;100;0.02;0.5;5;0.6;1;mae;1098074.7337379672
1;production;single_index;xgb;1;100;0.02;0.5;5;0.9;1;mae;1078990.9586459512
1;production;single_index;xgb;1;100;0.02;0.5;7;0.6;1;mae;1111483.2083893686
1;production;single_index;xgb;1;100;0.02;0.5;7;0.9;1;mae;1086304.1053227633
1;production;single_index;xgb;1;100;0.02;0.8;3;0.6;1;mae;1088021.1329983012
1;production;single_index;xgb;1;100;0.02;0.8;3;0.9;1;mae;1093187.1252123443
1;production;single_index;xgb;1;100;0.02;0.8;5;0.6;1;mae;1110437.302130521
1;production;single_index;xgb;1;100;0.02;0.8;5;0.9;1;mae;1098336.5039814552
1;production;single_index;xgb;1;100;0.02;0.8;7;0.6;1;mae;1114674.9567790912
1;production;single_index;xgb;1;100;0.02;0.8;7;0.9;1;mae;1076580.7203293105
1;production;single_index;xgb;1;100;0.04;0.5;3;0.6;1;mae;1080057.5731349094
1;production;single_index;xgb;1;100;0.04;0.5;3;0.9;1;mae;1083236.0790805493
1;production;single_index;xgb;1;100;0.04;0.5;5;0.6;1;mae;1097695.8941375283
1;production;single_index;xgb;1;100;0.04;0.5;5;0.9;1;mae;1093813.6236573649
1;production;single_index;xgb;1;100;0.04;0.5;7;0.6;1;mae;1101091.1936358649
1;production;single_index;xgb;1;100;0.04;0.5;7;0.9;1;mae;1105725.8505804078
1;production;single_index;xgb;1;100;0.04;0.8;3;0.6;1;mae;1087774.847572197
1;production;single_index;xgb;1;100;0.04;0.8;3;0.9;1;mae;1108641.9857021517
1;production;single_index;xgb;1;100;0.04;0.8;5;0.6;1;mae;1099956.99460734
1;production;single_index;xgb;1;100;0.04;0.8;5;0.9;1;mae;1079369.4629370754
1;production;single_index;xgb;1;100;0.04;0.8;7;0.6;1;mae;1089937.241059421
1;production;single_index;xgb;1;100;0.04;0.8;7;0.9;1;mae;1089627.4697320922
1;production;single_index;xgb;1;100;0.06;0.5;3;0.6;1;mae;1051553.9983590322
1;production;single_index;xgb;1;100;0.06;0.5;3;0.9;1;mae;1061545.4232021517
1;production;single_index;xgb;1;100;0.06;0.5;5;0.6;1;mae;1112699.8218707973
1;production;single_index;xgb;1;100;0.06;0.5;5;0.9;1;mae;1048426.4994448082
1;production;single_index;xgb;1;100;0.06;0.5;7;0.6;1;mae;1088239.7305815578
1;production;single_index;xgb;1;100;0.06;0.5;7;0.9;1;mae;1119431.0791496718
1;production;single_index;xgb;1;100;0.06;0.8;3;0.6;1;mae;1073848.6209433395
1;production;single_index;xgb;1;100;0.06;0.8;3;0.9;1;mae;1074712.8488506866
1;production;single_index;xgb;1;100;0.06;0.8;5;0.6;1;mae;1109913.0500977668
1;production;single_index;xgb;1;100;0.06;0.8;5;0.9;1;mae;1056487.7152994054
1;production;single_index;xgb;1;100;0.06;0.8;7;0.6;1;mae;1133952.7315105642
1;production;single_index;xgb;1;100;0.06;0.8;7;0.9;1;mae;1080642.1578677427
1;production;single_index;xgb;1;500;0.02;0.5;3;0.6;1;mae;1046718.5341915765
1;production;single_index;xgb;1;500;0.02;0.5;3;0.9;1;mae;1050661.6924336867
1;production;single_index;xgb;1;500;0.02;0.5;5;0.6;1;mae;1089631.0970136872
1;production;single_index;xgb;1;500;0.02;0.5;5;0.9;1;mae;1056158.2953443516
1;production;single_index;xgb;1;500;0.02;0.5;7;0.6;1;mae;1101594.7723160568
1;production;single_index;xgb;1;500;0.02;0.5;7;0.9;1;mae;1084354.8381770686
1;production;single_index;xgb;1;500;0.02;0.8;3;0.6;1;mae;1058458.5922591663
1;production;single_index;xgb;1;500;0.02;0.8;3;0.9;1;mae;1073583.0713194765
1;production;single_index;xgb;1;500;0.02;0.8;5;0.6;1;mae;1113694.6757125421
1;production;single_index;xgb;1;500;0.02;0.8;5;0.9;1;mae;1077482.6304507228
1;production;single_index;xgb;1;500;0.02;0.8;7;0.6;1;mae;1108039.7971116754
1;production;single_index;xgb;1;500;0.02;0.8;7;0.9;1;mae;1071881.2301745648
1;production;single_index;xgb;1;500;0.04;0.5;3;0.6;1;mae;1037376.2416769613
1;production;single_index;xgb;1;500;0.04;0.5;3;0.9;1;mae;1026240.5977823294
1;production;single_index;xgb;1;500;0.04;0.5;5;0.6;1;mae;1090067.8338477889
1;production;single_index;xgb;1;500;0.04;0.5;5;0.9;1;mae;1078662.0926863432
1;production;single_index;xgb;1;500;0.04;0.5;7;0.6;1;mae;1104660.5237029304
1;production;single_index;xgb;1;500;0.04;0.5;7;0.9;1;mae;1097078.7167169694
1;production;single_index;xgb;1;500;0.04;0.8;3;0.6;1;mae;1071131.1289715017
1;production;single_index;xgb;1;500;0.04;0.8;3;0.9;1;mae;1083592.7489581858
1;production;single_index;xgb;1;500;0.04;0.8;5;0.6;1;mae;1102708.1166310466
1;production;single_index;xgb;1;500;0.04;0.8;5;0.9;1;mae;1080502.5891729854
1;production;single_index;xgb;1;500;0.04;0.8;7;0.6;1;mae;1092865.871445307
1;production;single_index;xgb;1;500;0.04;0.8;7;0.9;1;mae;1086478.7285797708
1;production;single_index;xgb;1;500;0.06;0.5;3;0.6;1;mae;1046221.9064557086
1;production;single_index;xgb;1;500;0.06;0.5;3;0.9;1;mae;1021849.2847221608
1;production;single_index;xgb;1;500;0.06;0.5;5;0.6;1;mae;1089896.3327213689
1;production;single_index;xgb;1;500;0.06;0.5;5;0.9;1;mae;1045507.3555973178
1;production;single_index;xgb;1;500;0.06;0.5;7;0.6;1;mae;1084381.9827072127
1;production;single_index;xgb;1;500;0.06;0.5;7;0.9;1;mae;1107387.6028426485
1;production;single_index;xgb;1;500;0.06;0.8;3;0.6;1;mae;1079848.4747360074
1;production;single_index;xgb;1;500;0.06;0.8;3;0.9;1;mae;1081646.9986147853
1;production;single_index;xgb;1;500;0.06;0.8;5;0.6;1;mae;1105292.901049777
1;production;single_index;xgb;1;500;0.06;0.8;5;0.9;1;mae;1059244.3073982075
1;production;single_index;xgb;1;500;0.06;0.8;7;0.6;1;mae;1132634.7762730427
1;production;single_index;xgb;1;500;0.06;0.8;7;0.9;1;mae;1074029.7096214078
2;production;single_index;xgb;1;100;0.02;0.5;3;0.6;1;mae;1085938.6794724772
2;production;single_index;xgb;1;100;0.02;0.5;3;0.9;1;mae;1062251.4555260895
2;production;single_index;xgb;1;100;0.02;0.5;5;0.6;1;mae;1048000.8828841744
2;production;single_index;xgb;1;100;0.02;0.5;5;0.9;1;mae;965194.6533292718
2;production;single_index;xgb;1;100;0.02;0.5;7;0.6;1;mae;1033062.9391843464
2;production;single_index;xgb;1;100;0.02;0.5;7;0.9;1;mae;949803.0303719897
2;production;single_index;xgb;1;100;0.02;0.8;3;0.6;1;mae;1101623.6663560779
2;production;single_index;xgb;1;100;0.02;0.8;3;0.9;1;mae;1078772.9879587155
2;production;single_index;xgb;1;100;0.02;0.8;5;0.6;1;mae;1054361.5480934633
2;production;single_index;xgb;1;100;0.02;0.8;5;0.9;1;mae;993156.4403132168
2;production;single_index;xgb;1;100;0.02;0.8;7;0.6;1;mae;1047582.0737528669
2;production;single_index;xgb;1;100;0.02;0.8;7;0.9;1;mae;990770.0857583142
2;production;single_index;xgb;1;100;0.04;0.5;3;0.6;1;mae;1019684.2203268348
2;production;single_index;xgb;1;100;0.04;0.5;3;0.9;1;mae;1013823.0479859519
2;production;single_index;xgb;1;100;0.04;0.5;5;0.6;1;mae;1010688.4676838446
2;production;single_index;xgb;1;100;0.04;0.5;5;0.9;1;mae;937869.6930726777
2;production;single_index;xgb;1;100;0.04;0.5;7;0.6;1;mae;983531.5879443807
2;production;single_index;xgb;1;100;0.04;0.5;7;0.9;1;mae;920806.2763403096
2;production;single_index;xgb;1;100;0.04;0.8;3;0.6;1;mae;1053734.6077264908
2;production;single_index;xgb;1;100;0.04;0.8;3;0.9;1;mae;999623.7601419152
2;production;single_index;xgb;1;100;0.04;0.8;5;0.6;1;mae;1008840.8296122419
2;production;single_index;xgb;1;100;0.04;0.8;5;0.9;1;mae;947666.9925189937
2;production;single_index;xgb;1;100;0.04;0.8;7;0.6;1;mae;1018848.8502544438
2;production;single_index;xgb;1;100;0.04;0.8;7;0.9;1;mae;985528.8147353426
2;production;single_index;xgb;1;100;0.06;0.5;3;0.6;1;mae;1009281.1987528669
2;production;single_index;xgb;1;100;0.06;0.5;3;0.9;1;mae;977353.8443592316
2;production;single_index;xgb;1;100;0.06;0.5;5;0.6;1;mae;971611.6680225057
2;production;single_index;xgb;1;100;0.06;0.5;5;0.9;1;mae;932423.3850164851
2;production;single_index;xgb;1;100;0.06;0.5;7;0.6;1;mae;979344.4928146502
2;production;single_index;xgb;1;100;0.06;0.5;7;0.9;1;mae;903023.6041427752
2;production;single_index;xgb;1;100;0.06;0.8;3;0.6;1;mae;1029043.6138546445
2;production;single_index;xgb;1;100;0.06;0.8;3;0.9;1;mae;959450.1545790926
2;production;single_index;xgb;1;100;0.06;0.8;5;0.6;1;mae;1002870.3308038274
2;production;single_index;xgb;1;100;0.06;0.8;5;0.9;1;mae;960390.1409744123
2;production;single_index;xgb;1;100;0.06;0.8;7;0.6;1;mae;1016484.8084145642
2;production;single_index;xgb;1;100;0.06;0.8;7;0.9;1;mae;1001857.332774871
2;production;single_index;xgb;1;500;0.02;0.5;3;0.6;1;mae;972012.0863854644
2;production;single_index;xgb;1;500;0.02;0.5;3;0.9;1;mae;951503.4933298094
2;production;single_index;xgb;1;500;0.02;0.5;5;0.6;1;mae;982275.1168448072
2;production;single_index;xgb;1;500;0.02;0.5;5;0.9;1;mae;895693.5661105935
2;production;single_index;xgb;1;500;0.02;0.5;7;0.6;1;mae;988854.880845936
2;production;single_index;xgb;1;500;0.02;0.5;7;0.9;1;mae;902041.7583970936
2;production;single_index;xgb;1;500;0.02;0.8;3;0.6;1;mae;987729.4593337873
2;production;single_index;xgb;1;500;0.02;0.8;3;0.9;1;mae;973620.4364069668
2;production;single_index;xgb;1;500;0.02;0.8;5;0.6;1;mae;980964.5110468033
2;production;single_index;xgb;1;500;0.02;0.8;5;0.9;1;mae;930292.9600729286
2;production;single_index;xgb;1;500;0.02;0.8;7;0.6;1;mae;1003395.3030837873
2;production;single_index;xgb;1;500;0.02;0.8;7;0.9;1;mae;937897.6335740396
2;production;single_index;xgb;1;500;0.04;0.5;3;0.6;1;mae;928813.3216877509
2;production;single_index;xgb;1;500;0.04;0.5;3;0.9;1;mae;907637.2847127652
2;production;single_index;xgb;1;500;0.04;0.5;5;0.6;1;mae;974866.3639935135
2;production;single_index;xgb;1;500;0.04;0.5;5;0.9;1;mae;904950.1134660353
2;production;single_index;xgb;1;500;0.04;0.5;7;0.6;1;mae;969885.3257239106
2;production;single_index;xgb;1;500;0.04;0.5;7;0.9;1;mae;907403.7749605791
2;production;single_index;xgb;1;500;0.04;0.8;3;0.6;1;mae;960292.7397326548
2;production;single_index;xgb;1;500;0.04;0.8;3;0.9;1;mae;920960.4023784673
2;production;single_index;xgb;1;500;0.04;0.8;5;0.6;1;mae;968963.278238279
2;production;single_index;xgb;1;500;0.04;0.8;5;0.9;1;mae;920769.8119190461
2;production;single_index;xgb;1;500;0.04;0.8;7;0.6;1;mae;987597.8064748781
2;production;single_index;xgb;1;500;0.04;0.8;7;0.9;1;mae;964198.4405377589
2;production;single_index;xgb;1;500;0.06;0.5;3;0.6;1;mae;935310.5689193306
2;production;single_index;xgb;1;500;0.06;0.5;3;0.9;1;mae;882855.8658032898
2;production;single_index;xgb;1;500;0.06;0.5;5;0.6;1;mae;953264.4403389747
2;production;single_index;xgb;1;500;0.06;0.5;5;0.9;1;mae;902116.7644636522
2;production;single_index;xgb;1;500;0.06;0.5;7;0.6;1;mae;969131.7018706995
2;production;single_index;xgb;1;500;0.06;0.5;7;0.9;1;mae;901263.0030730361
2;production;single_index;xgb;1;500;0.06;0.8;3;0.6;1;mae;966895.897201678
2;production;single_index;xgb;1;500;0.06;0.8;3;0.9;1;mae;890673.0149121765
2;production;single_index;xgb;1;500;0.06;0.8;5;0.6;1;mae;970948.7158046338
2;production;single_index;xgb;1;500;0.06;0.8;5;0.9;1;mae;947650.7899382705
2;production;single_index;xgb;1;500;0.06;0.8;7;0.6;1;mae;1004300.8084145642
2;production;single_index;xgb;1;500;0.06;0.8;7;0.9;1;mae;994375.2141090883
3;production;single_index;xgb;1;100;0.02;0.5;3;0.6;1;mae;1160531.982234589
3;production;single_index;xgb;1;100;0.02;0.5;3;0.9;1;mae;1157362.4496289955
3;production;single_index;xgb;1;100;0.02;0.5;5;0.6;1;mae;1154272.7947702627
3;production;single_index;xgb;1;100;0.02;0.5;5;0.9;1;mae;1176845.1866438356
3;production;single_index;xgb;1;100;0.02;0.5;7;0.6;1;mae;1159599.6873037957
3;production;single_index;xgb;1;100;0.02;0.5;7;0.9;1;mae;1164952.7918450343
3;production;single_index;xgb;1;100;0.02;0.8;3;0.6;1;mae;1162505.8608019406
3;production;single_index;xgb;1;100;0.02;0.8;3;0.9;1;mae;1159645.50588613
3;production;single_index;xgb;1;100;0.02;0.8;5;0.6;1;mae;1177211.230843322
3;production;single_index;xgb;1;100;0.02;0.8;5;0.9;1;mae;1197361.685288242
3;production;single_index;xgb;1;100;0.02;0.8;7;0.6;1;mae;1172293.8445883277
3;production;single_index;xgb;1;100;0.02;0.8;7;0.9;1;mae;1201928.7420983163
3;production;single_index;xgb;1;100;0.04;0.5;3;0.6;1;mae;1134966.0646225743
3;production;single_index;xgb;1;100;0.04;0.5;3;0.9;1;mae;1107697.522545662
3;production;single_index;xgb;1;100;0.04;0.5;5;0.6;1;mae;1126887.1159924371
3;production;single_index;xgb;1;100;0.04;0.5;5;0.9;1;mae;1128104.9350206906
3;production;single_index;xgb;1;100;0.04;0.5;7;0.6;1;mae;1145314.101937072
3;production;single_index;xgb;1;100;0.04;0.5;7;0.9;1;mae;1148914.8439439747
3;production;single_index;xgb;1;100;0.04;0.8;3;0.6;1;mae;1131753.189569064
3;production;single_index;xgb;1;100;0.04;0.8;3;0.9;1;mae;1124630.8626034532
3;production;single_index;xgb;1;100;0.04;0.8;5;0.6;1;mae;1137691.9808611586
3;production;single_index;xgb;1;100;0.04;0.8;5;0.9;1;mae;1164097.9659674657
3;production;single_index;xgb;1;100;0.04;0.8;7;0.6;1;mae;1164023.6800085616
3;production;single_index;xgb;1;100;0.04;0.8;7;0.9;1;mae;1172203.7739190925
3;production;single_index;xgb;1;100;0.06;0.5;3;0.6;1;mae;1131528.4655393835
3;production;single_index;xgb;1;100;0.06;0.5;3;0.9;1;mae;1105482.471044253
3;production;single_index;xgb;1;100;0.06;0.5;5;0.6;1;mae;1162841.731431935
3;production;single_index;xgb;1;100;0.06;0.5;5;0.9;1;mae;1122069.9409246575
3;production;single_index;xgb;1;100;0.06;0.5;7;0.6;1;mae;1151034.713385595
3;production;single_index;xgb;1;100;0.06;0.5;7;0.9;1;mae;1151645.963848236
3;production;single_index;xgb;1;100;0.06;0.8;3;0.6;1;mae;1158744.7543276434
3;production;single_index;xgb;1;100;0.06;0.8;3;0.9;1;mae;1112924.8481378425
3;production;single_index;xgb;1;100;0.06;0.8;5;0.6;1;mae;1152901.8697114012
3;production;single_index;xgb;1;100;0.06;0.8;5;0.9;1;mae;1163787.9218081122
3;production;single_index;xgb;1;100;0.06;0.8;7;0.6;1;mae;1173178.0797838185
3;production;single_index;xgb;1;100;0.06;0.8;7;0.9;1;mae;1158236.2438017265
3;production;single_index;xgb;1;500;0.02;0.5;3;0.6;1;mae;1129183.1785035853
3;production;single_index;xgb;1;500;0.02;0.5;3;0.9;1;mae;1126592.568194385
3;production;single_index;xgb;1;500;0.02;0.5;5;0.6;1;mae;1139195.3390433255
3;production;single_index;xgb;1;500;0.02;0.5;5;0.9;1;mae;1145488.1104970435
3;production;single_index;xgb;1;500;0.02;0.5;7;0.6;1;mae;1129819.3386397688
3;production;single_index;xgb;1;500;0.02;0.5;7;0.9;1;mae;1140949.756519335
3;production;single_index;xgb;1;500;0.02;0.8;3;0.6;1;mae;1130464.5885093375
3;production;single_index;xgb;1;500;0.02;0.8;3;0.9;1;mae;1133976.8131911743
3;production;single_index;xgb;1;500;0.02;0.8;5;0.6;1;mae;1157072.9664401398
3;production;single_index;xgb;1;500;0.02;0.8;5;0.9;1;mae;1166493.4581683434
3;production;single_index;xgb;1;500;0.02;0.8;7;0.6;1;mae;1158517.425923944
3;production;single_index;xgb;1;500;0.02;0.8;7;0.9;1;mae;1176937.2545349956
3;production;single_index;xgb;1;500;0.04;0.5;3;0.6;1;mae;1146963.8732542272
3;production;single_index;xgb;1;500;0.04;0.5;3;0.9;1;mae;1118923.5455706872
3;production;single_index;xgb;1;500;0.04;0.5;5;0.6;1;mae;1105835.84050371
3;production;single_index;xgb;1;500;0.04;0.5;5;0.9;1;mae;1119234.8867053725
3;production;single_index;xgb;1;500;0.04;0.5;7;0.6;1;mae;1142245.0938570206
3;production;single_index;xgb;1;500;0.04;0.5;7;0.9;1;mae;1137376.7946454051
3;production;single_index;xgb;1;500;0.04;0.8;3;0.6;1;mae;1151392.157828553
3;production;single_index;xgb;1;500;0.04;0.8;3;0.9;1;mae;1133880.7713818136
3;production;single_index;xgb;1;500;0.04;0.8;5;0.6;1;mae;1130847.3294638717
3;production;single_index;xgb;1;500;0.04;0.8;5;0.9;1;mae;1159718.465646404
3;production;single_index;xgb;1;500;0.04;0.8;7;0.6;1;mae;1160518.682862443
3;production;single_index;xgb;1;500;0.04;0.8;7;0.9;1;mae;1174883.3887343036
3;production;single_index;xgb;1;500;0.06;0.5;3;0.6;1;mae;1141869.3384502532
3;production;single_index;xgb;1;500;0.06;0.5;3;0.9;1;mae;1110578.000437558
3;production;single_index;xgb;1;500;0.06;0.5;5;0.6;1;mae;1153665.1523181098
3;production;single_index;xgb;1;500;0.06;0.5;5;0.9;1;mae;1120073.9081384668
3;production;single_index;xgb;1;500;0.06;0.5;7;0.6;1;mae;1144894.0783390412
3;production;single_index;xgb;1;500;0.06;0.5;7;0.9;1;mae;1138377.131197716
3;production;single_index;xgb;1;500;0.06;0.8;3;0.6;1;mae;1191371.0094211525
3;production;single_index;xgb;1;500;0.06;0.8;3;0.9;1;mae;1142071.8436741938
