part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2020;single_laststate;xgb;1;100;0.02;0.5;3;0.6;1;mae;316119.62371984473
1;bpic2020;single_laststate;xgb;1;100;0.02;0.5;3;0.9;1;mae;316226.217697175
1;bpic2020;single_laststate;xgb;1;100;0.02;0.5;5;0.6;1;mae;305215.83122837724
1;bpic2020;single_laststate;xgb;1;100;0.02;0.5;5;0.9;1;mae;304841.75967291644
1;bpic2020;single_laststate;xgb;1;100;0.02;0.5;7;0.6;1;mae;301374.4805365813
1;bpic2020;single_laststate;xgb;1;100;0.02;0.5;7;0.9;1;mae;301054.4732481691
1;bpic2020;single_laststate;xgb;1;100;0.02;0.8;3;0.6;1;mae;312883.6115392174
1;bpic2020;single_laststate;xgb;1;100;0.02;0.8;3;0.9;1;mae;312276.81740439363
1;bpic2020;single_laststate;xgb;1;100;0.02;0.8;5;0.6;1;mae;303530.9937987969
1;bpic2020;single_laststate;xgb;1;100;0.02;0.8;5;0.9;1;mae;303489.36822970794
1;bpic2020;single_laststate;xgb;1;100;0.02;0.8;7;0.6;1;mae;300025.7157262855
1;bpic2020;single_laststate;xgb;1;100;0.02;0.8;7;0.9;1;mae;299602.68609580543
1;bpic2020;single_laststate;xgb;1;100;0.04;0.5;3;0.6;1;mae;334034.6427017827
1;bpic2020;single_laststate;xgb;1;100;0.04;0.5;3;0.9;1;mae;334063.1181417875
1;bpic2020;single_laststate;xgb;1;100;0.04;0.5;5;0.6;1;mae;325429.01314018865
1;bpic2020;single_laststate;xgb;1;100;0.04;0.5;5;0.9;1;mae;325745.9688425698
1;bpic2020;single_laststate;xgb;1;100;0.04;0.5;7;0.6;1;mae;321067.8593722243
1;bpic2020;single_laststate;xgb;1;100;0.04;0.5;7;0.9;1;mae;322253.95481106744
1;bpic2020;single_laststate;xgb;1;100;0.04;0.8;3;0.6;1;mae;332217.8073083209
1;bpic2020;single_laststate;xgb;1;100;0.04;0.8;3;0.9;1;mae;331950.7551000808
1;bpic2020;single_laststate;xgb;1;100;0.04;0.8;5;0.6;1;mae;324879.543218841
1;bpic2020;single_laststate;xgb;1;100;0.04;0.8;5;0.9;1;mae;322687.6016496571
1;bpic2020;single_laststate;xgb;1;100;0.04;0.8;7;0.6;1;mae;319776.90570804355
1;bpic2020;single_laststate;xgb;1;100;0.04;0.8;7;0.9;1;mae;319376.5402055354
