part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production;single_laststate;xgb;1;100;0.02;0.5;3;0.6;1;mae;1092638.0195356738
1;production;single_laststate;xgb;1;100;0.02;0.5;3;0.9;1;mae;1044539.368452718
1;production;single_laststate;xgb;1;100;0.02;0.5;5;0.6;1;mae;1085390.0368240373
1;production;single_laststate;xgb;1;100;0.02;0.5;5;0.9;1;mae;1009418.7362507078
1;production;single_laststate;xgb;1;100;0.02;0.5;7;0.6;1;mae;1091647.912248726
1;production;single_laststate;xgb;1;100;0.02;0.5;7;0.9;1;mae;1012417.4470377973
1;production;single_laststate;xgb;1;100;0.02;0.8;3;0.6;1;mae;1105433.7578213476
1;production;single_laststate;xgb;1;100;0.02;0.8;3;0.9;1;mae;1057321.8951727066
1;production;single_laststate;xgb;1;100;0.02;0.8;5;0.6;1;mae;1093911.032046291
1;production;single_laststate;xgb;1;100;0.02;0.8;5;0.9;1;mae;1036938.1031993205
1;production;single_laststate;xgb;1;100;0.02;0.8;7;0.6;1;mae;1084534.679466308
1;production;single_laststate;xgb;1;100;0.02;0.8;7;0.9;1;mae;1045706.2297388165
1;production;single_laststate;xgb;1;100;0.04;0.5;3;0.6;1;mae;1053950.0464680067
1;production;single_laststate;xgb;1;100;0.04;0.5;3;0.9;1;mae;1005056.6962326586
1;production;single_laststate;xgb;1;100;0.04;0.5;5;0.6;1;mae;1045317.6708132786
1;production;single_laststate;xgb;1;100;0.04;0.5;5;0.9;1;mae;974744.2339768545
1;production;single_laststate;xgb;1;100;0.04;0.5;7;0.6;1;mae;1029785.6224291965
1;production;single_laststate;xgb;1;100;0.04;0.5;7;0.9;1;mae;982855.4649090016
1;production;single_laststate;xgb;1;100;0.04;0.8;3;0.6;1;mae;1075715.577187146
1;production;single_laststate;xgb;1;100;0.04;0.8;3;0.9;1;mae;1012794.3237365516
1;production;single_laststate;xgb;1;100;0.04;0.8;5;0.6;1;mae;1063507.4794155997
1;production;single_laststate;xgb;1;100;0.04;0.8;5;0.9;1;mae;987256.7707395111
1;production;single_laststate;xgb;1;100;0.04;0.8;7;0.6;1;mae;1048037.7514919398
1;production;single_laststate;xgb;1;100;0.04;0.8;7;0.9;1;mae;1020881.7750289761
1;production;single_laststate;xgb;1;100;0.06;0.5;3;0.6;1;mae;1044985.1710079275
1;production;single_laststate;xgb;1;100;0.06;0.5;3;0.9;1;mae;1015972.4640878264
1;production;single_laststate;xgb;1;100;0.06;0.5;5;0.6;1;mae;1037605.9585176599
1;production;single_laststate;xgb;1;100;0.06;0.5;5;0.9;1;mae;983224.376265771
1;production;single_laststate;xgb;1;100;0.06;0.5;7;0.6;1;mae;1039613.3350206594
1;production;single_laststate;xgb;1;100;0.06;0.5;7;0.9;1;mae;954817.8293423853
1;production;single_laststate;xgb;1;100;0.06;0.8;3;0.6;1;mae;1053059.8825304802
1;production;single_laststate;xgb;1;100;0.06;0.8;3;0.9;1;mae;1005472.6038042805
1;production;single_laststate;xgb;1;100;0.06;0.8;5;0.6;1;mae;1062575.2391781835
1;production;single_laststate;xgb;1;100;0.06;0.8;5;0.9;1;mae;987117.8654201071
1;production;single_laststate;xgb;1;100;0.06;0.8;7;0.6;1;mae;1068824.2951762457
1;production;single_laststate;xgb;1;100;0.06;0.8;7;0.9;1;mae;1027476.424940997
1;production;single_laststate;xgb;1;500;0.02;0.5;3;0.6;1;mae;1050164.1375554085
1;production;single_laststate;xgb;1;500;0.02;0.5;3;0.9;1;mae;996120.2073932099
1;production;single_laststate;xgb;1;500;0.02;0.5;5;0.6;1;mae;1034565.6938150304
1;production;single_laststate;xgb;1;500;0.02;0.5;5;0.9;1;mae;973792.385426436
1;production;single_laststate;xgb;1;500;0.02;0.5;7;0.6;1;mae;1047337.3431826426
1;production;single_laststate;xgb;1;500;0.02;0.5;7;0.9;1;mae;973991.8299762384
1;production;single_laststate;xgb;1;500;0.02;0.8;3;0.6;1;mae;1060023.640458553
1;production;single_laststate;xgb;1;500;0.02;0.8;3;0.9;1;mae;1011595.3443474948
1;production;single_laststate;xgb;1;500;0.02;0.8;5;0.6;1;mae;1046720.0528571366
1;production;single_laststate;xgb;1;500;0.02;0.8;5;0.9;1;mae;984302.0585268395
1;production;single_laststate;xgb;1;500;0.02;0.8;7;0.6;1;mae;1041358.8402897283
1;production;single_laststate;xgb;1;500;0.02;0.8;7;0.9;1;mae;1011140.8852970733
1;production;single_laststate;xgb;1;500;0.04;0.5;3;0.6;1;mae;1066183.0090174433
1;production;single_laststate;xgb;1;500;0.04;0.5;3;0.9;1;mae;1011591.2968949073
1;production;single_laststate;xgb;1;500;0.04;0.5;5;0.6;1;mae;1055496.4607116422
1;production;single_laststate;xgb;1;500;0.04;0.5;5;0.9;1;mae;987001.3504139608
1;production;single_laststate;xgb;1;500;0.04;0.5;7;0.6;1;mae;1042870.7294695153
1;production;single_laststate;xgb;1;500;0.04;0.5;7;0.9;1;mae;991436.8521367697
1;production;single_laststate;xgb;1;500;0.04;0.8;3;0.6;1;mae;1092703.4373390828
1;production;single_laststate;xgb;1;500;0.04;0.8;3;0.9;1;mae;1039012.740702749
1;production;single_laststate;xgb;1;500;0.04;0.8;5;0.6;1;mae;1060323.1969791814
1;production;single_laststate;xgb;1;500;0.04;0.8;5;0.9;1;mae;1008211.3942077567
1;production;single_laststate;xgb;1;500;0.04;0.8;7;0.6;1;mae;1042938.4600516262
1;production;single_laststate;xgb;1;500;0.04;0.8;7;0.9;1;mae;1024909.863473687
1;production;single_laststate;xgb;1;500;0.06;0.5;3;0.6;1;mae;1075637.3825465166
1;production;single_laststate;xgb;1;500;0.06;0.5;3;0.9;1;mae;1034330.7671468006
1;production;single_laststate;xgb;1;500;0.06;0.5;5;0.6;1;mae;1061112.63369395
1;production;single_laststate;xgb;1;500;0.06;0.5;5;0.9;1;mae;998097.6949176723
1;production;single_laststate;xgb;1;500;0.06;0.5;7;0.6;1;mae;1049786.4177154852
1;production;single_laststate;xgb;1;500;0.06;0.5;7;0.9;1;mae;970389.6445279322
1;production;single_laststate;xgb;1;500;0.06;0.8;3;0.6;1;mae;1107132.4945324112
1;production;single_laststate;xgb;1;500;0.06;0.8;3;0.9;1;mae;1064924.1893671367
1;production;single_laststate;xgb;1;500;0.06;0.8;5;0.6;1;mae;1069049.322886898
1;production;single_laststate;xgb;1;500;0.06;0.8;5;0.9;1;mae;1012270.3521183139
1;production;single_laststate;xgb;1;500;0.06;0.8;7;0.6;1;mae;1073305.9816388555
1;production;single_laststate;xgb;1;500;0.06;0.8;7;0.9;1;mae;1038783.2634125274
2;production;single_laststate;xgb;1;100;0.02;0.5;3;0.6;1;mae;994161.9104429473
2;production;single_laststate;xgb;1;100;0.02;0.5;3;0.9;1;mae;969968.2133744266
2;production;single_laststate;xgb;1;100;0.02;0.5;5;0.6;1;mae;946808.3975236525
2;production;single_laststate;xgb;1;100;0.02;0.5;5;0.9;1;mae;907334.8755913131
2;production;single_laststate;xgb;1;100;0.02;0.5;7;0.6;1;mae;922093.7391950975
2;production;single_laststate;xgb;1;100;0.02;0.5;7;0.9;1;mae;898156.5697211869
2;production;single_laststate;xgb;1;100;0.02;0.8;3;0.6;1;mae;998740.9998924886
2;production;single_laststate;xgb;1;100;0.02;0.8;3;0.9;1;mae;986187.8730647935
2;production;single_laststate;xgb;1;100;0.02;0.8;5;0.6;1;mae;941208.040083859
2;production;single_laststate;xgb;1;100;0.02;0.8;5;0.9;1;mae;922886.5250680906
2;production;single_laststate;xgb;1;100;0.02;0.8;7;0.6;1;mae;912209.8277935063
2;production;single_laststate;xgb;1;100;0.02;0.8;7;0.9;1;mae;903752.1505160551
2;production;single_laststate;xgb;1;100;0.04;0.5;3;0.6;1;mae;949403.1205024369
2;production;single_laststate;xgb;1;100;0.04;0.5;3;0.9;1;mae;939882.0297806766
2;production;single_laststate;xgb;1;100;0.04;0.5;5;0.6;1;mae;921817.417982189
2;production;single_laststate;xgb;1;100;0.04;0.5;5;0.9;1;mae;898194.0797735092
2;production;single_laststate;xgb;1;100;0.04;0.5;7;0.6;1;mae;888176.4035622133
2;production;single_laststate;xgb;1;100;0.04;0.5;7;0.9;1;mae;897876.2482305404
2;production;single_laststate;xgb;1;100;0.04;0.8;3;0.6;1;mae;941998.8916821961
2;production;single_laststate;xgb;1;100;0.04;0.8;3;0.9;1;mae;935221.1101813361
2;production;single_laststate;xgb;1;100;0.04;0.8;5;0.6;1;mae;894940.0784475344
2;production;single_laststate;xgb;1;100;0.04;0.8;5;0.9;1;mae;903891.1514926176
2;production;single_laststate;xgb;1;100;0.04;0.8;7;0.6;1;mae;894974.668233049
2;production;single_laststate;xgb;1;100;0.04;0.8;7;0.9;1;mae;874470.9685887328
2;production;single_laststate;xgb;1;100;0.06;0.5;3;0.6;1;mae;929110.5763465811
2;production;single_laststate;xgb;1;100;0.06;0.5;3;0.9;1;mae;925632.2522448618
2;production;single_laststate;xgb;1;100;0.06;0.5;5;0.6;1;mae;928587.7648634604
2;production;single_laststate;xgb;1;100;0.06;0.5;5;0.9;1;mae;914933.2100326119
2;production;single_laststate;xgb;1;100;0.06;0.5;7;0.6;1;mae;906120.076827583
2;production;single_laststate;xgb;1;100;0.06;0.5;7;0.9;1;mae;911103.6625097432
2;production;single_laststate;xgb;1;100;0.06;0.8;3;0.6;1;mae;914183.4582497133
2;production;single_laststate;xgb;1;100;0.06;0.8;3;0.9;1;mae;916600.8977028383
2;production;single_laststate;xgb;1;100;0.06;0.8;5;0.6;1;mae;896681.1371017596
2;production;single_laststate;xgb;1;100;0.06;0.8;5;0.9;1;mae;905238.0669247688
2;production;single_laststate;xgb;1;100;0.06;0.8;7;0.6;1;mae;886609.9430845068
2;production;single_laststate;xgb;1;100;0.06;0.8;7;0.9;1;mae;889792.7017923058
2;production;single_laststate;xgb;1;500;0.02;0.5;3;0.6;1;mae;905063.4649154244
2;production;single_laststate;xgb;1;500;0.02;0.5;3;0.9;1;mae;917405.5591940223
2;production;single_laststate;xgb;1;500;0.02;0.5;5;0.6;1;mae;916259.7878977924
2;production;single_laststate;xgb;1;500;0.02;0.5;5;0.9;1;mae;919947.2872034475
2;production;single_laststate;xgb;1;500;0.02;0.5;7;0.6;1;mae;911424.8316571997
2;production;single_laststate;xgb;1;500;0.02;0.5;7;0.9;1;mae;901218.8143164958
2;production;single_laststate;xgb;1;500;0.02;0.8;3;0.6;1;mae;912019.9005485325
2;production;single_laststate;xgb;1;500;0.02;0.8;3;0.9;1;mae;926179.4721702086
2;production;single_laststate;xgb;1;500;0.02;0.8;5;0.6;1;mae;905118.7828783508
2;production;single_laststate;xgb;1;500;0.02;0.8;5;0.9;1;mae;926092.0175621663
2;production;single_laststate;xgb;1;500;0.02;0.8;7;0.6;1;mae;884992.0085247635
2;production;single_laststate;xgb;1;500;0.02;0.8;7;0.9;1;mae;895470.4528965381
2;production;single_laststate;xgb;1;500;0.04;0.5;3;0.6;1;mae;920711.9565709665
2;production;single_laststate;xgb;1;500;0.04;0.5;3;0.9;1;mae;931847.7718024298
2;production;single_laststate;xgb;1;500;0.04;0.5;5;0.6;1;mae;917302.7901465739
2;production;single_laststate;xgb;1;500;0.04;0.5;5;0.9;1;mae;922507.7057635107
2;production;single_laststate;xgb;1;500;0.04;0.5;7;0.6;1;mae;890429.0012565403
2;production;single_laststate;xgb;1;500;0.04;0.5;7;0.9;1;mae;915356.9122269657
2;production;single_laststate;xgb;1;500;0.04;0.8;3;0.6;1;mae;939775.8986105262
2;production;single_laststate;xgb;1;500;0.04;0.8;3;0.9;1;mae;938449.7584620485
2;production;single_laststate;xgb;1;500;0.04;0.8;5;0.6;1;mae;902915.2854843839
2;production;single_laststate;xgb;1;500;0.04;0.8;5;0.9;1;mae;936785.8832593445
2;production;single_laststate;xgb;1;500;0.04;0.8;7;0.6;1;mae;890463.0687759819
2;production;single_laststate;xgb;1;500;0.04;0.8;7;0.9;1;mae;887468.5327629999
2;production;single_laststate;xgb;1;500;0.06;0.5;3;0.6;1;mae;922561.5287346796
2;production;single_laststate;xgb;1;500;0.06;0.5;3;0.9;1;mae;937189.7989625144
