part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production_feature;single_laststate;xgb;1;100;0.02;0.5;3;0.6;1;mae;1063864.5808260394
1;production_feature;single_laststate;xgb;1;100;0.02;0.5;3;0.9;1;mae;1053825.2319132932
1;production_feature;single_laststate;xgb;1;100;0.02;0.5;5;0.6;1;mae;1056499.3573919584
1;production_feature;single_laststate;xgb;1;100;0.02;0.5;5;0.9;1;mae;1025817.6181448305
1;production_feature;single_laststate;xgb;1;100;0.02;0.5;7;0.6;1;mae;1046248.5134795542
1;production_feature;single_laststate;xgb;1;100;0.02;0.5;7;0.9;1;mae;1036918.9334057029
1;production_feature;single_laststate;xgb;1;100;0.02;0.8;3;0.6;1;mae;1076609.8203637856
1;production_feature;single_laststate;xgb;1;100;0.02;0.8;3;0.9;1;mae;1051429.9139086434
1;production_feature;single_laststate;xgb;1;100;0.02;0.8;5;0.6;1;mae;1094514.613512035
1;production_feature;single_laststate;xgb;1;100;0.02;0.8;5;0.9;1;mae;1064696.3898215264
1;production_feature;single_laststate;xgb;1;100;0.02;0.8;7;0.6;1;mae;1087882.8392368709
1;production_feature;single_laststate;xgb;1;100;0.02;0.8;7;0.9;1;mae;1076625.4068739743
1;production_feature;single_laststate;xgb;1;100;0.04;0.5;3;0.6;1;mae;1017412.7230579868
1;production_feature;single_laststate;xgb;1;100;0.04;0.5;3;0.9;1;mae;1038781.1779694338
1;production_feature;single_laststate;xgb;1;100;0.04;0.5;5;0.6;1;mae;1035155.6120888608
1;production_feature;single_laststate;xgb;1;100;0.04;0.5;5;0.9;1;mae;996511.3896452321
1;production_feature;single_laststate;xgb;1;100;0.04;0.5;7;0.6;1;mae;1009865.048416772
1;production_feature;single_laststate;xgb;1;100;0.04;0.5;7;0.9;1;mae;1004328.6020368914
1;production_feature;single_laststate;xgb;1;100;0.04;0.8;3;0.6;1;mae;1039967.2718305525
1;production_feature;single_laststate;xgb;1;100;0.04;0.8;3;0.9;1;mae;1022528.6211022976
1;production_feature;single_laststate;xgb;1;100;0.04;0.8;5;0.6;1;mae;1043713.9364133872
1;production_feature;single_laststate;xgb;1;100;0.04;0.8;5;0.9;1;mae;1014242.2690328185
1;production_feature;single_laststate;xgb;1;100;0.04;0.8;7;0.6;1;mae;1041835.3345250102
1;production_feature;single_laststate;xgb;1;100;0.04;0.8;7;0.9;1;mae;1036800.7102355289
1;production_feature;single_laststate;xgb;1;100;0.06;0.5;3;0.6;1;mae;1041598.8267221263
1;production_feature;single_laststate;xgb;1;100;0.06;0.5;3;0.9;1;mae;1034240.3299103784
1;production_feature;single_laststate;xgb;1;100;0.06;0.5;5;0.6;1;mae;995438.0139005231
1;production_feature;single_laststate;xgb;1;100;0.06;0.5;5;0.9;1;mae;992271.0420414697
1;production_feature;single_laststate;xgb;1;100;0.06;0.5;7;0.6;1;mae;999728.1887746598
1;production_feature;single_laststate;xgb;1;100;0.06;0.5;7;0.9;1;mae;986186.9999465776
1;production_feature;single_laststate;xgb;1;100;0.06;0.8;3;0.6;1;mae;1021868.9598524899
1;production_feature;single_laststate;xgb;1;100;0.06;0.8;3;0.9;1;mae;1002498.7371504302
1;production_feature;single_laststate;xgb;1;100;0.06;0.8;5;0.6;1;mae;1044989.290102101
