part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;traffic_fines;single_laststate;xgb;1;100;0.02;0.5;3;0.6;1;mae;17567272.958872993
1;traffic_fines;single_laststate;xgb;1;100;0.02;0.5;3;0.9;1;mae;17283715.0780685
1;traffic_fines;single_laststate;xgb;1;100;0.02;0.5;5;0.6;1;mae;16871096.71733104
1;traffic_fines;single_laststate;xgb;1;100;0.02;0.5;5;0.9;1;mae;16658113.996261165
1;traffic_fines;single_laststate;xgb;1;100;0.02;0.5;7;0.6;1;mae;16480138.491834745
1;traffic_fines;single_laststate;xgb;1;100;0.02;0.5;7;0.9;1;mae;16320669.701943168
1;traffic_fines;single_laststate;xgb;1;100;0.02;0.8;3;0.6;1;mae;17547432.84725583
1;traffic_fines;single_laststate;xgb;1;100;0.02;0.8;3;0.9;1;mae;17283036.02903143
1;traffic_fines;single_laststate;xgb;1;100;0.02;0.8;5;0.6;1;mae;16862781.158231057
1;traffic_fines;single_laststate;xgb;1;100;0.02;0.8;5;0.9;1;mae;16650400.092138601
1;traffic_fines;single_laststate;xgb;1;100;0.02;0.8;7;0.6;1;mae;16478175.717022672
1;traffic_fines;single_laststate;xgb;1;100;0.02;0.8;7;0.9;1;mae;16313210.012401832
1;traffic_fines;single_laststate;xgb;1;100;0.04;0.5;3;0.6;1;mae;16791786.1983666
1;traffic_fines;single_laststate;xgb;1;100;0.04;0.5;3;0.9;1;mae;16764972.556522321
1;traffic_fines;single_laststate;xgb;1;100;0.04;0.5;5;0.6;1;mae;16122244.662916044
1;traffic_fines;single_laststate;xgb;1;100;0.04;0.5;5;0.9;1;mae;16100556.227541486
1;traffic_fines;single_laststate;xgb;1;100;0.04;0.5;7;0.6;1;mae;15781477.328547366
1;traffic_fines;single_laststate;xgb;1;100;0.04;0.5;7;0.9;1;mae;15760884.141605005
1;traffic_fines;single_laststate;xgb;1;100;0.04;0.8;3;0.6;1;mae;16789374.117692295
1;traffic_fines;single_laststate;xgb;1;100;0.04;0.8;3;0.9;1;mae;16760207.56832745
