part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production;state_agg;xgb;1;100;0.02;0.5;3;0.6;1;mae;1155358.9914303832
1;production;state_agg;xgb;1;100;0.02;0.5;3;0.9;1;mae;1158981.7215922293
1;production;state_agg;xgb;1;100;0.02;0.5;5;0.6;1;mae;1147823.3611997464
1;production;state_agg;xgb;1;100;0.02;0.5;5;0.9;1;mae;1157283.085115408
1;production;state_agg;xgb;1;100;0.02;0.5;7;0.6;1;mae;1147743.0390820433
1;production;state_agg;xgb;1;100;0.02;0.5;7;0.9;1;mae;1155400.1689505994
1;production;state_agg;xgb;1;100;0.02;0.8;3;0.6;1;mae;1166869.910479656
1;production;state_agg;xgb;1;100;0.02;0.8;3;0.9;1;mae;1157329.6408179027
1;production;state_agg;xgb;1;100;0.02;0.8;5;0.6;1;mae;1174692.7459243818
1;production;state_agg;xgb;1;100;0.02;0.8;5;0.9;1;mae;1169255.9885045665
1;production;state_agg;xgb;1;100;0.02;0.8;7;0.6;1;mae;1177845.5608006055
1;production;state_agg;xgb;1;100;0.02;0.8;7;0.9;1;mae;1170126.1466544326
1;production;state_agg;xgb;1;100;0.04;0.5;3;0.6;1;mae;1177597.3994636051
1;production;state_agg;xgb;1;100;0.04;0.5;3;0.9;1;mae;1173539.6943021184
1;production;state_agg;xgb;1;100;0.04;0.5;5;0.6;1;mae;1170538.0011943493
1;production;state_agg;xgb;1;100;0.04;0.5;5;0.9;1;mae;1173908.8148583719
1;production;state_agg;xgb;1;100;0.04;0.5;7;0.6;1;mae;1164731.651288024
1;production;state_agg;xgb;1;100;0.04;0.5;7;0.9;1;mae;1165640.6009591115
1;production;state_agg;xgb;1;100;0.04;0.8;3;0.6;1;mae;1168642.9054581837
1;production;state_agg;xgb;1;100;0.04;0.8;3;0.9;1;mae;1175627.1647165876
1;production;state_agg;xgb;1;100;0.04;0.8;5;0.6;1;mae;1187408.280111327
1;production;state_agg;xgb;1;100;0.04;0.8;5;0.9;1;mae;1199514.48411833
1;production;state_agg;xgb;1;100;0.04;0.8;7;0.6;1;mae;1188966.9523640124
1;production;state_agg;xgb;1;100;0.04;0.8;7;0.9;1;mae;1197663.7836797063
1;production;state_agg;xgb;1;100;0.06;0.5;3;0.6;1;mae;1169631.8628044939
1;production;state_agg;xgb;1;100;0.06;0.5;3;0.9;1;mae;1186504.6608357748
1;production;state_agg;xgb;1;100;0.06;0.5;5;0.6;1;mae;1175860.6664518388
1;production;state_agg;xgb;1;100;0.06;0.5;5;0.9;1;mae;1182673.6977582427
1;production;state_agg;xgb;1;100;0.06;0.5;7;0.6;1;mae;1166871.9874254263
1;production;state_agg;xgb;1;100;0.06;0.5;7;0.9;1;mae;1183730.0696903102
1;production;state_agg;xgb;1;100;0.06;0.8;3;0.6;1;mae;1170608.5009124677
1;production;state_agg;xgb;1;100;0.06;0.8;3;0.9;1;mae;1179538.733532033
1;production;state_agg;xgb;1;100;0.06;0.8;5;0.6;1;mae;1192401.0024598436
