part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production_feature;state_agg;xgb;1;100;0.02;0.5;3;0.6;1;mae;1135437.600831329
1;production_feature;state_agg;xgb;1;100;0.02;0.5;3;0.9;1;mae;1136940.922958957
1;production_feature;state_agg;xgb;1;100;0.02;0.5;5;0.6;1;mae;1138985.774668135
1;production_feature;state_agg;xgb;1;100;0.02;0.5;5;0.9;1;mae;1143520.695565504
1;production_feature;state_agg;xgb;1;100;0.02;0.5;7;0.6;1;mae;1139172.5466891387
1;production_feature;state_agg;xgb;1;100;0.02;0.5;7;0.9;1;mae;1137211.6398466835
1;production_feature;state_agg;xgb;1;100;0.02;0.8;3;0.6;1;mae;1143385.5222529059
1;production_feature;state_agg;xgb;1;100;0.02;0.8;3;0.9;1;mae;1146720.167301285
1;production_feature;state_agg;xgb;1;100;0.02;0.8;5;0.6;1;mae;1147217.034997367
1;production_feature;state_agg;xgb;1;100;0.02;0.8;5;0.9;1;mae;1160682.8572766148
1;production_feature;state_agg;xgb;1;100;0.02;0.8;7;0.6;1;mae;1154453.8066922266
1;production_feature;state_agg;xgb;1;100;0.02;0.8;7;0.9;1;mae;1159291.677873055
1;production_feature;state_agg;xgb;1;100;0.04;0.5;3;0.6;1;mae;1166533.45703397
1;production_feature;state_agg;xgb;1;100;0.04;0.5;3;0.9;1;mae;1164581.6180863816
1;production_feature;state_agg;xgb;1;100;0.04;0.5;5;0.6;1;mae;1161331.2790696113
1;production_feature;state_agg;xgb;1;100;0.04;0.5;5;0.9;1;mae;1170074.8304139338
1;production_feature;state_agg;xgb;1;100;0.04;0.5;7;0.6;1;mae;1162199.7097614533
1;production_feature;state_agg;xgb;1;100;0.04;0.5;7;0.9;1;mae;1166106.8894796714
1;production_feature;state_agg;xgb;1;100;0.04;0.8;3;0.6;1;mae;1167906.3017375607
1;production_feature;state_agg;xgb;1;100;0.04;0.8;3;0.9;1;mae;1180374.6852490937
1;production_feature;state_agg;xgb;1;100;0.04;0.8;5;0.6;1;mae;1178162.8251665132
1;production_feature;state_agg;xgb;1;100;0.04;0.8;5;0.9;1;mae;1187456.2571251353
1;production_feature;state_agg;xgb;1;100;0.04;0.8;7;0.6;1;mae;1176970.7120599546
1;production_feature;state_agg;xgb;1;100;0.04;0.8;7;0.9;1;mae;1180413.3580119747
1;production_feature;state_agg;xgb;1;100;0.06;0.5;3;0.6;1;mae;1153983.4557793436
1;production_feature;state_agg;xgb;1;100;0.06;0.5;3;0.9;1;mae;1184915.833405124
1;production_feature;state_agg;xgb;1;100;0.06;0.5;5;0.6;1;mae;1155375.2400883134
1;production_feature;state_agg;xgb;1;100;0.06;0.5;5;0.9;1;mae;1192778.3115290958
1;production_feature;state_agg;xgb;1;100;0.06;0.5;7;0.6;1;mae;1166680.6425081904
1;production_feature;state_agg;xgb;1;100;0.06;0.5;7;0.9;1;mae;1187876.5806409793
1;production_feature;state_agg;xgb;1;100;0.06;0.8;3;0.6;1;mae;1175651.9560827832
1;production_feature;state_agg;xgb;1;100;0.06;0.8;3;0.9;1;mae;1198187.4786601816
1;production_feature;state_agg;xgb;1;100;0.06;0.8;5;0.6;1;mae;1176398.8295583732
1;production_feature;state_agg;xgb;1;100;0.06;0.8;5;0.9;1;mae;1204744.6139476104
1;production_feature;state_agg;xgb;1;100;0.06;0.8;7;0.6;1;mae;1181983.679885479
1;production_feature;state_agg;xgb;1;100;0.06;0.8;7;0.9;1;mae;1205699.157381002
1;production_feature;state_agg;xgb;1;500;0.02;0.5;3;0.6;1;mae;1157474.634315456
1;production_feature;state_agg;xgb;1;500;0.02;0.5;3;0.9;1;mae;1170294.8762645584
1;production_feature;state_agg;xgb;1;500;0.02;0.5;5;0.6;1;mae;1165766.1979080788
1;production_feature;state_agg;xgb;1;500;0.02;0.5;5;0.9;1;mae;1174130.603673003
1;production_feature;state_agg;xgb;1;500;0.02;0.5;7;0.6;1;mae;1163221.6555643883
1;production_feature;state_agg;xgb;1;500;0.02;0.5;7;0.9;1;mae;1169403.823852588
1;production_feature;state_agg;xgb;1;500;0.02;0.8;3;0.6;1;mae;1171045.5603620654
1;production_feature;state_agg;xgb;1;500;0.02;0.8;3;0.9;1;mae;1179739.8517412469
1;production_feature;state_agg;xgb;1;500;0.02;0.8;5;0.6;1;mae;1176632.287625752
1;production_feature;state_agg;xgb;1;500;0.02;0.8;5;0.9;1;mae;1184033.0588975055
1;production_feature;state_agg;xgb;1;500;0.02;0.8;7;0.6;1;mae;1183797.0632312854
1;production_feature;state_agg;xgb;1;500;0.02;0.8;7;0.9;1;mae;1188113.1990972627
1;production_feature;state_agg;xgb;1;500;0.04;0.5;3;0.6;1;mae;1167461.3092965712
1;production_feature;state_agg;xgb;1;500;0.04;0.5;3;0.9;1;mae;1170946.2026087206
1;production_feature;state_agg;xgb;1;500;0.04;0.5;5;0.6;1;mae;1155285.0649438591
1;production_feature;state_agg;xgb;1;500;0.04;0.5;5;0.9;1;mae;1173816.006632981
1;production_feature;state_agg;xgb;1;500;0.04;0.5;7;0.6;1;mae;1157993.2962334452
1;production_feature;state_agg;xgb;1;500;0.04;0.5;7;0.9;1;mae;1166200.6343767582
1;production_feature;state_agg;xgb;1;500;0.04;0.8;3;0.6;1;mae;1176422.8283892227
1;production_feature;state_agg;xgb;1;500;0.04;0.8;3;0.9;1;mae;1191807.3791987868
1;production_feature;state_agg;xgb;1;500;0.04;0.8;5;0.6;1;mae;1182785.9459749204
1;production_feature;state_agg;xgb;1;500;0.04;0.8;5;0.9;1;mae;1193501.6179047453
1;production_feature;state_agg;xgb;1;500;0.04;0.8;7;0.6;1;mae;1183277.8367506387
1;production_feature;state_agg;xgb;1;500;0.04;0.8;7;0.9;1;mae;1189498.4701077805
1;production_feature;state_agg;xgb;1;500;0.06;0.5;3;0.6;1;mae;1146172.3827906456
1;production_feature;state_agg;xgb;1;500;0.06;0.5;3;0.9;1;mae;1183567.7282771426
1;production_feature;state_agg;xgb;1;500;0.06;0.5;5;0.6;1;mae;1145695.1321575895
1;production_feature;state_agg;xgb;1;500;0.06;0.5;5;0.9;1;mae;1186533.6014933668
1;production_feature;state_agg;xgb;1;500;0.06;0.5;7;0.6;1;mae;1158099.0301145546
1;production_feature;state_agg;xgb;1;500;0.06;0.5;7;0.9;1;mae;1180869.0783086885
1;production_feature;state_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;1178937.309438675
1;production_feature;state_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;1203409.7124229602
1;production_feature;state_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;1177366.4553220472
1;production_feature;state_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;1206036.4762627487
1;production_feature;state_agg;xgb;1;500;0.06;0.8;7;0.6;1;mae;1182971.9083471473
1;production_feature;state_agg;xgb;1;500;0.06;0.8;7;0.9;1;mae;1206154.8832289767
2;production_feature;state_agg;xgb;1;100;0.02;0.5;3;0.6;1;mae;1003868.3869900894
2;production_feature;state_agg;xgb;1;100;0.02;0.5;3;0.9;1;mae;986221.5449989929
2;production_feature;state_agg;xgb;1;100;0.02;0.5;5;0.6;1;mae;1007667.8608203966
2;production_feature;state_agg;xgb;1;100;0.02;0.5;5;0.9;1;mae;996217.4750760267
2;production_feature;state_agg;xgb;1;100;0.02;0.5;7;0.6;1;mae;1009100.2620031828
2;production_feature;state_agg;xgb;1;100;0.02;0.5;7;0.9;1;mae;1001419.0877260573
2;production_feature;state_agg;xgb;1;100;0.02;0.8;3;0.6;1;mae;997057.9197240279
2;production_feature;state_agg;xgb;1;100;0.02;0.8;3;0.9;1;mae;987868.6363266816
2;production_feature;state_agg;xgb;1;100;0.02;0.8;5;0.6;1;mae;1007785.1388540142
2;production_feature;state_agg;xgb;1;100;0.02;0.8;5;0.9;1;mae;1002340.2066588218
2;production_feature;state_agg;xgb;1;100;0.02;0.8;7;0.6;1;mae;1012200.5402242024
2;production_feature;state_agg;xgb;1;100;0.02;0.8;7;0.9;1;mae;1015676.1341390314
2;production_feature;state_agg;xgb;1;100;0.04;0.5;3;0.6;1;mae;1009172.4998872612
2;production_feature;state_agg;xgb;1;100;0.04;0.5;3;0.9;1;mae;1004470.0480476137
2;production_feature;state_agg;xgb;1;100;0.04;0.5;5;0.6;1;mae;999998.3930720552
2;production_feature;state_agg;xgb;1;100;0.04;0.5;5;0.9;1;mae;1003059.9762822724
2;production_feature;state_agg;xgb;1;100;0.04;0.5;7;0.6;1;mae;1010650.1402482074
2;production_feature;state_agg;xgb;1;100;0.04;0.5;7;0.9;1;mae;1001444.2667463305
2;production_feature;state_agg;xgb;1;100;0.04;0.8;3;0.6;1;mae;1002687.0578825257
2;production_feature;state_agg;xgb;1;100;0.04;0.8;3;0.9;1;mae;983261.8448866064
2;production_feature;state_agg;xgb;1;100;0.04;0.8;5;0.6;1;mae;1010910.442525944
2;production_feature;state_agg;xgb;1;100;0.04;0.8;5;0.9;1;mae;1014448.3344062903
2;production_feature;state_agg;xgb;1;100;0.04;0.8;7;0.6;1;mae;1018896.1385384047
2;production_feature;state_agg;xgb;1;100;0.04;0.8;7;0.9;1;mae;1025864.307965997
2;production_feature;state_agg;xgb;1;100;0.06;0.5;3;0.6;1;mae;1027428.898042158
2;production_feature;state_agg;xgb;1;100;0.06;0.5;3;0.9;1;mae;1019646.4699095201
2;production_feature;state_agg;xgb;1;100;0.06;0.5;5;0.6;1;mae;1016129.8106602732
2;production_feature;state_agg;xgb;1;100;0.06;0.5;5;0.9;1;mae;1022296.6926958875
2;production_feature;state_agg;xgb;1;100;0.06;0.5;7;0.6;1;mae;1019525.1778671407
2;production_feature;state_agg;xgb;1;100;0.06;0.5;7;0.9;1;mae;1021259.9439853319
2;production_feature;state_agg;xgb;1;100;0.06;0.8;3;0.6;1;mae;1018146.1091700606
2;production_feature;state_agg;xgb;1;100;0.06;0.8;3;0.9;1;mae;996922.7490284045
2;production_feature;state_agg;xgb;1;100;0.06;0.8;5;0.6;1;mae;1021982.5797968064
2;production_feature;state_agg;xgb;1;100;0.06;0.8;5;0.9;1;mae;1019951.7126294922
2;production_feature;state_agg;xgb;1;100;0.06;0.8;7;0.6;1;mae;1029302.6757510279
2;production_feature;state_agg;xgb;1;100;0.06;0.8;7;0.9;1;mae;1021995.4721714352
2;production_feature;state_agg;xgb;1;500;0.02;0.5;3;0.6;1;mae;1021209.5423038987
2;production_feature;state_agg;xgb;1;500;0.02;0.5;3;0.9;1;mae;1007369.100199461
