part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;traffic_fines;state_agg;xgb;1;100;0.02;0.5;3;0.6;1;mae;16174998.981188145
1;traffic_fines;state_agg;xgb;1;100;0.02;0.5;3;0.9;1;mae;16158294.730545526
1;traffic_fines;state_agg;xgb;1;100;0.02;0.5;5;0.6;1;mae;15981798.274888607
1;traffic_fines;state_agg;xgb;1;100;0.02;0.5;5;0.9;1;mae;15958018.987157915
1;traffic_fines;state_agg;xgb;1;100;0.02;0.5;7;0.6;1;mae;15858215.15554788
1;traffic_fines;state_agg;xgb;1;100;0.02;0.5;7;0.9;1;mae;15850249.458503433
1;traffic_fines;state_agg;xgb;1;100;0.02;0.8;3;0.6;1;mae;16176481.457286367
1;traffic_fines;state_agg;xgb;1;100;0.02;0.8;3;0.9;1;mae;16154319.523370277
1;traffic_fines;state_agg;xgb;1;100;0.02;0.8;5;0.6;1;mae;15981855.092295451
1;traffic_fines;state_agg;xgb;1;100;0.02;0.8;5;0.9;1;mae;15957912.023243079
1;traffic_fines;state_agg;xgb;1;100;0.02;0.8;7;0.6;1;mae;15853208.444684077
1;traffic_fines;state_agg;xgb;1;100;0.02;0.8;7;0.9;1;mae;15839151.489843229
1;traffic_fines;state_agg;xgb;1;100;0.04;0.5;3;0.6;1;mae;15662535.02991076
1;traffic_fines;state_agg;xgb;1;100;0.04;0.5;3;0.9;1;mae;15634938.579511376
1;traffic_fines;state_agg;xgb;1;100;0.04;0.5;5;0.6;1;mae;15379441.372708328
1;traffic_fines;state_agg;xgb;1;100;0.04;0.5;5;0.9;1;mae;15362943.132090889
1;traffic_fines;state_agg;xgb;1;100;0.04;0.5;7;0.6;1;mae;15211806.19459464
1;traffic_fines;state_agg;xgb;1;100;0.04;0.5;7;0.9;1;mae;15206322.40740942
1;traffic_fines;state_agg;xgb;1;100;0.04;0.8;3;0.6;1;mae;15663360.447897851
1;traffic_fines;state_agg;xgb;1;100;0.04;0.8;3;0.9;1;mae;15633573.045251701
1;traffic_fines;state_agg;xgb;1;100;0.04;0.8;5;0.6;1;mae;15365126.215051105
1;traffic_fines;state_agg;xgb;1;100;0.04;0.8;5;0.9;1;mae;15352552.5001418
1;traffic_fines;state_agg;xgb;1;100;0.04;0.8;7;0.6;1;mae;15184579.466621066
1;traffic_fines;state_agg;xgb;1;100;0.04;0.8;7;0.9;1;mae;15183354.85560333
1;traffic_fines;state_agg;xgb;1;100;0.06;0.5;3;0.6;1;mae;15560102.576586429
1;traffic_fines;state_agg;xgb;1;100;0.06;0.5;3;0.9;1;mae;15544647.499498961
1;traffic_fines;state_agg;xgb;1;100;0.06;0.5;5;0.6;1;mae;15305146.756552055
1;traffic_fines;state_agg;xgb;1;100;0.06;0.5;5;0.9;1;mae;15283365.171598118
1;traffic_fines;state_agg;xgb;1;100;0.06;0.5;7;0.6;1;mae;15141123.980689365
1;traffic_fines;state_agg;xgb;1;100;0.06;0.5;7;0.9;1;mae;15134126.01122958
1;traffic_fines;state_agg;xgb;1;100;0.06;0.8;3;0.6;1;mae;15566232.338112293
1;traffic_fines;state_agg;xgb;1;100;0.06;0.8;3;0.9;1;mae;15540302.845172983
1;traffic_fines;state_agg;xgb;1;100;0.06;0.8;5;0.6;1;mae;15275527.018982895
1;traffic_fines;state_agg;xgb;1;100;0.06;0.8;5;0.9;1;mae;15266584.685361095
1;traffic_fines;state_agg;xgb;1;100;0.06;0.8;7;0.6;1;mae;15106459.921863733
1;traffic_fines;state_agg;xgb;1;100;0.06;0.8;7;0.9;1;mae;15102946.257339204
1;traffic_fines;state_agg;xgb;1;500;0.02;0.5;3;0.6;1;mae;15461837.28697578
1;traffic_fines;state_agg;xgb;1;500;0.02;0.5;3;0.9;1;mae;15449616.85201727
1;traffic_fines;state_agg;xgb;1;500;0.02;0.5;5;0.6;1;mae;15223240.845636673
1;traffic_fines;state_agg;xgb;1;500;0.02;0.5;5;0.9;1;mae;15215640.040734623
1;traffic_fines;state_agg;xgb;1;500;0.02;0.5;7;0.6;1;mae;15074375.221131988
1;traffic_fines;state_agg;xgb;1;500;0.02;0.5;7;0.9;1;mae;15080431.638199298
1;traffic_fines;state_agg;xgb;1;500;0.02;0.8;3;0.6;1;mae;15444185.764763437
1;traffic_fines;state_agg;xgb;1;500;0.02;0.8;3;0.9;1;mae;15437096.34191547
1;traffic_fines;state_agg;xgb;1;500;0.02;0.8;5;0.6;1;mae;15199065.356083706
1;traffic_fines;state_agg;xgb;1;500;0.02;0.8;5;0.9;1;mae;15186669.024875473
1;traffic_fines;state_agg;xgb;1;500;0.02;0.8;7;0.6;1;mae;15042219.527670262
1;traffic_fines;state_agg;xgb;1;500;0.02;0.8;7;0.9;1;mae;15042900.549411163
1;traffic_fines;state_agg;xgb;1;500;0.04;0.5;3;0.6;1;mae;15355665.237328162
1;traffic_fines;state_agg;xgb;1;500;0.04;0.5;3;0.9;1;mae;15348713.453950018
1;traffic_fines;state_agg;xgb;1;500;0.04;0.5;5;0.6;1;mae;15158912.875279145
1;traffic_fines;state_agg;xgb;1;500;0.04;0.5;5;0.9;1;mae;15160537.024602812
1;traffic_fines;state_agg;xgb;1;500;0.04;0.5;7;0.6;1;mae;15055359.764242617
1;traffic_fines;state_agg;xgb;1;500;0.04;0.5;7;0.9;1;mae;15065139.38644489
1;traffic_fines;state_agg;xgb;1;500;0.04;0.8;3;0.6;1;mae;15330260.252363551
1;traffic_fines;state_agg;xgb;1;500;0.04;0.8;3;0.9;1;mae;15327845.098048804
1;traffic_fines;state_agg;xgb;1;500;0.04;0.8;5;0.6;1;mae;15118428.364231126
1;traffic_fines;state_agg;xgb;1;500;0.04;0.8;5;0.9;1;mae;15121248.283956842
1;traffic_fines;state_agg;xgb;1;500;0.04;0.8;7;0.6;1;mae;15003570.932455441
1;traffic_fines;state_agg;xgb;1;500;0.04;0.8;7;0.9;1;mae;15014831.589439843
1;traffic_fines;state_agg;xgb;1;500;0.06;0.5;3;0.6;1;mae;15312561.529053805
1;traffic_fines;state_agg;xgb;1;500;0.06;0.5;3;0.9;1;mae;15321168.737492904
1;traffic_fines;state_agg;xgb;1;500;0.06;0.5;5;0.6;1;mae;15144339.962854495
1;traffic_fines;state_agg;xgb;1;500;0.06;0.5;5;0.9;1;mae;15149134.108895255
1;traffic_fines;state_agg;xgb;1;500;0.06;0.5;7;0.6;1;mae;15077742.455138016
1;traffic_fines;state_agg;xgb;1;500;0.06;0.5;7;0.9;1;mae;15091495.159812294
1;traffic_fines;state_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;15280719.910945497
1;traffic_fines;state_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;15286967.830946298
1;traffic_fines;state_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;15083702.942787282
1;traffic_fines;state_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;15094585.672004338
1;traffic_fines;state_agg;xgb;1;500;0.06;0.8;7;0.6;1;mae;15016943.943308095
1;traffic_fines;state_agg;xgb;1;500;0.06;0.8;7;0.9;1;mae;15006674.090679519
2;traffic_fines;state_agg;xgb;1;100;0.02;0.5;3;0.6;1;mae;16077387.728350172
2;traffic_fines;state_agg;xgb;1;100;0.02;0.5;3;0.9;1;mae;16062195.27227551
2;traffic_fines;state_agg;xgb;1;100;0.02;0.5;5;0.6;1;mae;15864492.381243024
2;traffic_fines;state_agg;xgb;1;100;0.02;0.5;5;0.9;1;mae;15845689.780184802
2;traffic_fines;state_agg;xgb;1;100;0.02;0.5;7;0.6;1;mae;15740187.85505723
2;traffic_fines;state_agg;xgb;1;100;0.02;0.5;7;0.9;1;mae;15716721.011714477
2;traffic_fines;state_agg;xgb;1;100;0.02;0.8;3;0.6;1;mae;16079966.180197936
2;traffic_fines;state_agg;xgb;1;100;0.02;0.8;3;0.9;1;mae;16058584.537908034
2;traffic_fines;state_agg;xgb;1;100;0.02;0.8;5;0.6;1;mae;15861631.999154264
2;traffic_fines;state_agg;xgb;1;100;0.02;0.8;5;0.9;1;mae;15836368.649934936
2;traffic_fines;state_agg;xgb;1;100;0.02;0.8;7;0.6;1;mae;15728518.119693842
