part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2020;state_index;xgb;1;100;0.02;0.5;3;0.6;1;mae;301248.1420796469
1;bpic2020;state_index;xgb;1;100;0.02;0.5;3;0.9;1;mae;302402.5739308509
1;bpic2020;state_index;xgb;1;100;0.02;0.5;5;0.6;1;mae;300157.49702492775
1;bpic2020;state_index;xgb;1;100;0.02;0.5;5;0.9;1;mae;300688.2925676715
1;bpic2020;state_index;xgb;1;100;0.02;0.5;7;0.6;1;mae;299978.07724670274
1;bpic2020;state_index;xgb;1;100;0.02;0.5;7;0.9;1;mae;301213.48633679695
1;bpic2020;state_index;xgb;1;100;0.02;0.8;3;0.6;1;mae;301244.5714635126
1;bpic2020;state_index;xgb;1;100;0.02;0.8;3;0.9;1;mae;301658.5003382707
1;bpic2020;state_index;xgb;1;100;0.02;0.8;5;0.6;1;mae;299219.21981011966
1;bpic2020;state_index;xgb;1;100;0.02;0.8;5;0.9;1;mae;298538.2843173961
1;bpic2020;state_index;xgb;1;100;0.02;0.8;7;0.6;1;mae;299438.8829604643
1;bpic2020;state_index;xgb;1;100;0.02;0.8;7;0.9;1;mae;299311.32884914085
1;bpic2020;state_index;xgb;1;100;0.04;0.5;3;0.6;1;mae;319533.2445912487
1;bpic2020;state_index;xgb;1;100;0.04;0.5;3;0.9;1;mae;319627.8301721382
1;bpic2020;state_index;xgb;1;100;0.04;0.5;5;0.6;1;mae;319368.2829825283
1;bpic2020;state_index;xgb;1;100;0.04;0.5;5;0.9;1;mae;319510.49781453464
1;bpic2020;state_index;xgb;1;100;0.04;0.5;7;0.6;1;mae;321119.22097951925
1;bpic2020;state_index;xgb;1;100;0.04;0.5;7;0.9;1;mae;320245.53737516963
1;bpic2020;state_index;xgb;1;100;0.04;0.8;3;0.6;1;mae;318608.4537362202
1;bpic2020;state_index;xgb;1;100;0.04;0.8;3;0.9;1;mae;318167.330530736
1;bpic2020;state_index;xgb;1;100;0.04;0.8;5;0.6;1;mae;317619.3377736621
1;bpic2020;state_index;xgb;1;100;0.04;0.8;5;0.9;1;mae;316267.04405297275
1;bpic2020;state_index;xgb;1;100;0.04;0.8;7;0.6;1;mae;317866.992919916
1;bpic2020;state_index;xgb;1;100;0.04;0.8;7;0.9;1;mae;317435.3012598485
1;bpic2020;state_index;xgb;1;100;0.06;0.5;3;0.6;1;mae;324599.38001340383
1;bpic2020;state_index;xgb;1;100;0.06;0.5;3;0.9;1;mae;324926.6788779878
1;bpic2020;state_index;xgb;1;100;0.06;0.5;5;0.6;1;mae;325291.26734135725
1;bpic2020;state_index;xgb;1;100;0.06;0.5;5;0.9;1;mae;326057.42024280346
1;bpic2020;state_index;xgb;1;100;0.06;0.5;7;0.6;1;mae;329261.7729721991
1;bpic2020;state_index;xgb;1;100;0.06;0.5;7;0.9;1;mae;326268.73163751763
1;bpic2020;state_index;xgb;1;100;0.06;0.8;3;0.6;1;mae;321342.2194500573
1;bpic2020;state_index;xgb;1;100;0.06;0.8;3;0.9;1;mae;321770.47935065406
1;bpic2020;state_index;xgb;1;100;0.06;0.8;5;0.6;1;mae;321969.4267584283
1;bpic2020;state_index;xgb;1;100;0.06;0.8;5;0.9;1;mae;320393.9563468233
1;bpic2020;state_index;xgb;1;100;0.06;0.8;7;0.6;1;mae;324831.19850043615
1;bpic2020;state_index;xgb;1;100;0.06;0.8;7;0.9;1;mae;324109.9210066221
1;bpic2020;state_index;xgb;1;500;0.02;0.5;3;0.6;1;mae;326291.8199824112
1;bpic2020;state_index;xgb;1;500;0.02;0.5;3;0.9;1;mae;326338.27600861544
1;bpic2020;state_index;xgb;1;500;0.02;0.5;5;0.6;1;mae;327453.6801844114
1;bpic2020;state_index;xgb;1;500;0.02;0.5;5;0.9;1;mae;328318.30701014644
1;bpic2020;state_index;xgb;1;500;0.02;0.5;7;0.6;1;mae;331375.28333118657
1;bpic2020;state_index;xgb;1;500;0.02;0.5;7;0.9;1;mae;331789.66390522727
1;bpic2020;state_index;xgb;1;500;0.02;0.8;3;0.6;1;mae;322065.095850675
1;bpic2020;state_index;xgb;1;500;0.02;0.8;3;0.9;1;mae;321552.8966548632
1;bpic2020;state_index;xgb;1;500;0.02;0.8;5;0.6;1;mae;322857.65409804194
1;bpic2020;state_index;xgb;1;500;0.02;0.8;5;0.9;1;mae;322150.39687303366
1;bpic2020;state_index;xgb;1;500;0.02;0.8;7;0.6;1;mae;324748.614239915
1;bpic2020;state_index;xgb;1;500;0.02;0.8;7;0.9;1;mae;324736.0228913705
1;bpic2020;state_index;xgb;1;500;0.04;0.5;3;0.6;1;mae;331863.77366855973
1;bpic2020;state_index;xgb;1;500;0.04;0.5;3;0.9;1;mae;333039.1592736341
1;bpic2020;state_index;xgb;1;500;0.04;0.5;5;0.6;1;mae;336964.37315731886
1;bpic2020;state_index;xgb;1;500;0.04;0.5;5;0.9;1;mae;339018.5095240235
1;bpic2020;state_index;xgb;1;500;0.04;0.5;7;0.6;1;mae;344199.6354861361
1;bpic2020;state_index;xgb;1;500;0.04;0.5;7;0.9;1;mae;345595.9264227478
1;bpic2020;state_index;xgb;1;500;0.04;0.8;3;0.6;1;mae;326467.7812869815
1;bpic2020;state_index;xgb;1;500;0.04;0.8;3;0.9;1;mae;325352.2247021072
1;bpic2020;state_index;xgb;1;500;0.04;0.8;5;0.6;1;mae;329951.21659761196
1;bpic2020;state_index;xgb;1;500;0.04;0.8;5;0.9;1;mae;329581.1537808517
1;bpic2020;state_index;xgb;1;500;0.04;0.8;7;0.6;1;mae;334380.42995325837
1;bpic2020;state_index;xgb;1;500;0.04;0.8;7;0.9;1;mae;334842.53299593355
1;bpic2020;state_index;xgb;1;500;0.06;0.5;3;0.6;1;mae;337135.4139951394
1;bpic2020;state_index;xgb;1;500;0.06;0.5;3;0.9;1;mae;339630.2304117242
1;bpic2020;state_index;xgb;1;500;0.06;0.5;5;0.6;1;mae;346759.8145408037
1;bpic2020;state_index;xgb;1;500;0.06;0.5;5;0.9;1;mae;348558.72910840914
1;bpic2020;state_index;xgb;1;500;0.06;0.5;7;0.6;1;mae;354664.3050702935
1;bpic2020;state_index;xgb;1;500;0.06;0.5;7;0.9;1;mae;355480.1095399612
1;bpic2020;state_index;xgb;1;500;0.06;0.8;3;0.6;1;mae;330189.0352726919
1;bpic2020;state_index;xgb;1;500;0.06;0.8;3;0.9;1;mae;329971.19792948454
1;bpic2020;state_index;xgb;1;500;0.06;0.8;5;0.6;1;mae;334759.5745800174
1;bpic2020;state_index;xgb;1;500;0.06;0.8;5;0.9;1;mae;336105.873216286
1;bpic2020;state_index;xgb;1;500;0.06;0.8;7;0.6;1;mae;342433.4225954027
1;bpic2020;state_index;xgb;1;500;0.06;0.8;7;0.9;1;mae;343385.76705606445
2;bpic2020;state_index;xgb;1;100;0.02;0.5;3;0.6;1;mae;315531.68660767213
2;bpic2020;state_index;xgb;1;100;0.02;0.5;3;0.9;1;mae;315187.8535573213
2;bpic2020;state_index;xgb;1;100;0.02;0.5;5;0.6;1;mae;312320.22550358967
2;bpic2020;state_index;xgb;1;100;0.02;0.5;5;0.9;1;mae;312930.3093662299
2;bpic2020;state_index;xgb;1;100;0.02;0.5;7;0.6;1;mae;311792.65636109805
2;bpic2020;state_index;xgb;1;100;0.02;0.5;7;0.9;1;mae;311802.10270203586
2;bpic2020;state_index;xgb;1;100;0.02;0.8;3;0.6;1;mae;315145.06352495623
2;bpic2020;state_index;xgb;1;100;0.02;0.8;3;0.9;1;mae;314992.51729237346
2;bpic2020;state_index;xgb;1;100;0.02;0.8;5;0.6;1;mae;312589.2912003244
2;bpic2020;state_index;xgb;1;100;0.02;0.8;5;0.9;1;mae;312030.90236358385
2;bpic2020;state_index;xgb;1;100;0.02;0.8;7;0.6;1;mae;311754.761914558
2;bpic2020;state_index;xgb;1;100;0.02;0.8;7;0.9;1;mae;311787.58253455366
2;bpic2020;state_index;xgb;1;100;0.04;0.5;3;0.6;1;mae;334267.2419243877
2;bpic2020;state_index;xgb;1;100;0.04;0.5;3;0.9;1;mae;334445.72448325646
2;bpic2020;state_index;xgb;1;100;0.04;0.5;5;0.6;1;mae;331294.9708069248
2;bpic2020;state_index;xgb;1;100;0.04;0.5;5;0.9;1;mae;332600.65669226676
2;bpic2020;state_index;xgb;1;100;0.04;0.5;7;0.6;1;mae;331835.50929775747
2;bpic2020;state_index;xgb;1;100;0.04;0.5;7;0.9;1;mae;331959.4360980453
2;bpic2020;state_index;xgb;1;100;0.04;0.8;3;0.6;1;mae;333992.1135757413
2;bpic2020;state_index;xgb;1;100;0.04;0.8;3;0.9;1;mae;332769.94554882916
2;bpic2020;state_index;xgb;1;100;0.04;0.8;5;0.6;1;mae;330231.8336016787
2;bpic2020;state_index;xgb;1;100;0.04;0.8;5;0.9;1;mae;330156.04820205504
2;bpic2020;state_index;xgb;1;100;0.04;0.8;7;0.6;1;mae;330630.3066628064
2;bpic2020;state_index;xgb;1;100;0.04;0.8;7;0.9;1;mae;330993.77876663674
2;bpic2020;state_index;xgb;1;100;0.06;0.5;3;0.6;1;mae;338883.48303833976
2;bpic2020;state_index;xgb;1;100;0.06;0.5;3;0.9;1;mae;338842.32226844825
2;bpic2020;state_index;xgb;1;100;0.06;0.5;5;0.6;1;mae;338727.10202128487
2;bpic2020;state_index;xgb;1;100;0.06;0.5;5;0.9;1;mae;338973.4193843709
2;bpic2020;state_index;xgb;1;100;0.06;0.5;7;0.6;1;mae;340612.3684913443
2;bpic2020;state_index;xgb;1;100;0.06;0.5;7;0.9;1;mae;341293.2243130281
2;bpic2020;state_index;xgb;1;100;0.06;0.8;3;0.6;1;mae;338415.74680924014
2;bpic2020;state_index;xgb;1;100;0.06;0.8;3;0.9;1;mae;337990.7394807047
2;bpic2020;state_index;xgb;1;100;0.06;0.8;5;0.6;1;mae;335006.3715999686
2;bpic2020;state_index;xgb;1;100;0.06;0.8;5;0.9;1;mae;335375.42404555046
2;bpic2020;state_index;xgb;1;100;0.06;0.8;7;0.6;1;mae;336896.1905942767
2;bpic2020;state_index;xgb;1;100;0.06;0.8;7;0.9;1;mae;337760.714478468
2;bpic2020;state_index;xgb;1;500;0.02;0.5;3;0.6;1;mae;342865.83212483226
2;bpic2020;state_index;xgb;1;500;0.02;0.5;3;0.9;1;mae;342013.8306655499
2;bpic2020;state_index;xgb;1;500;0.02;0.5;5;0.6;1;mae;342879.3710724409
2;bpic2020;state_index;xgb;1;500;0.02;0.5;5;0.9;1;mae;344725.7990150813
2;bpic2020;state_index;xgb;1;500;0.02;0.5;7;0.6;1;mae;345687.9696065354
2;bpic2020;state_index;xgb;1;500;0.02;0.5;7;0.9;1;mae;347893.45012538397
2;bpic2020;state_index;xgb;1;500;0.02;0.8;3;0.6;1;mae;338561.53923399013
2;bpic2020;state_index;xgb;1;500;0.02;0.8;3;0.9;1;mae;338534.4187918809
2;bpic2020;state_index;xgb;1;500;0.02;0.8;5;0.6;1;mae;337804.2759366131
2;bpic2020;state_index;xgb;1;500;0.02;0.8;5;0.9;1;mae;338930.4581839953
2;bpic2020;state_index;xgb;1;500;0.02;0.8;7;0.6;1;mae;339847.22216097574
2;bpic2020;state_index;xgb;1;500;0.02;0.8;7;0.9;1;mae;341542.34892614075
2;bpic2020;state_index;xgb;1;500;0.04;0.5;3;0.6;1;mae;346991.5732458398
2;bpic2020;state_index;xgb;1;500;0.04;0.5;3;0.9;1;mae;347988.5488684839
2;bpic2020;state_index;xgb;1;500;0.04;0.5;5;0.6;1;mae;351821.9548433066
