part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production;state_index;xgb;1;100;0.02;0.5;3;0.6;1;mae;1202023.3349204827
1;production;state_index;xgb;1;100;0.02;0.5;3;0.9;1;mae;1221128.0237708595
1;production;state_index;xgb;1;100;0.02;0.5;5;0.6;1;mae;1191846.810871387
1;production;state_index;xgb;1;100;0.02;0.5;5;0.9;1;mae;1216099.25393077
1;production;state_index;xgb;1;100;0.02;0.5;7;0.6;1;mae;1193989.9997958632
1;production;state_index;xgb;1;100;0.02;0.5;7;0.9;1;mae;1213199.2467909702
1;production;state_index;xgb;1;100;0.02;0.8;3;0.6;1;mae;1201906.662596463
1;production;state_index;xgb;1;100;0.02;0.8;3;0.9;1;mae;1245027.7260055616
1;production;state_index;xgb;1;100;0.02;0.8;5;0.6;1;mae;1203093.8671946013
1;production;state_index;xgb;1;100;0.02;0.8;5;0.9;1;mae;1239129.2883535614
1;production;state_index;xgb;1;100;0.02;0.8;7;0.6;1;mae;1202876.7994999082
1;production;state_index;xgb;1;100;0.02;0.8;7;0.9;1;mae;1235828.3625518684
1;production;state_index;xgb;1;100;0.04;0.5;3;0.6;1;mae;1232753.7278055113
1;production;state_index;xgb;1;100;0.04;0.5;3;0.9;1;mae;1251194.3700117574
1;production;state_index;xgb;1;100;0.04;0.5;5;0.6;1;mae;1218468.0635931538
1;production;state_index;xgb;1;100;0.04;0.5;5;0.9;1;mae;1234030.5685213106
1;production;state_index;xgb;1;100;0.04;0.5;7;0.6;1;mae;1214949.8247932089
1;production;state_index;xgb;1;100;0.04;0.5;7;0.9;1;mae;1236970.6946433068
1;production;state_index;xgb;1;100;0.04;0.8;3;0.6;1;mae;1227548.9276308804
1;production;state_index;xgb;1;100;0.04;0.8;3;0.9;1;mae;1274065.1225763399
1;production;state_index;xgb;1;100;0.04;0.8;5;0.6;1;mae;1216489.8574159811
1;production;state_index;xgb;1;100;0.04;0.8;5;0.9;1;mae;1278473.675186156
1;production;state_index;xgb;1;100;0.04;0.8;7;0.6;1;mae;1213408.1521595204
1;production;state_index;xgb;1;100;0.04;0.8;7;0.9;1;mae;1276953.7603074578
1;production;state_index;xgb;1;100;0.06;0.5;3;0.6;1;mae;1224460.524280707
1;production;state_index;xgb;1;100;0.06;0.5;3;0.9;1;mae;1252938.9839723432
1;production;state_index;xgb;1;100;0.06;0.5;5;0.6;1;mae;1229874.1968458258
1;production;state_index;xgb;1;100;0.06;0.5;5;0.9;1;mae;1245023.0228783498
1;production;state_index;xgb;1;100;0.06;0.5;7;0.6;1;mae;1228283.1351462642
1;production;state_index;xgb;1;100;0.06;0.5;7;0.9;1;mae;1245616.6604022386
1;production;state_index;xgb;1;100;0.06;0.8;3;0.6;1;mae;1223578.6757039528
1;production;state_index;xgb;1;100;0.06;0.8;3;0.9;1;mae;1280166.066887255
1;production;state_index;xgb;1;100;0.06;0.8;5;0.6;1;mae;1222184.0457169726
1;production;state_index;xgb;1;100;0.06;0.8;5;0.9;1;mae;1287004.9663900707
1;production;state_index;xgb;1;100;0.06;0.8;7;0.6;1;mae;1222505.4021835749
1;production;state_index;xgb;1;100;0.06;0.8;7;0.9;1;mae;1296294.2818852863
1;production;state_index;xgb;1;500;0.02;0.5;3;0.6;1;mae;1236170.0763902145
1;production;state_index;xgb;1;500;0.02;0.5;3;0.9;1;mae;1253399.468997924
1;production;state_index;xgb;1;500;0.02;0.5;5;0.6;1;mae;1231628.7375774956
1;production;state_index;xgb;1;500;0.02;0.5;5;0.9;1;mae;1265938.0213526783
1;production;state_index;xgb;1;500;0.02;0.5;7;0.6;1;mae;1235513.2113155124
1;production;state_index;xgb;1;500;0.02;0.5;7;0.9;1;mae;1262806.9065355267
1;production;state_index;xgb;1;500;0.02;0.8;3;0.6;1;mae;1216779.0183195835
1;production;state_index;xgb;1;500;0.02;0.8;3;0.9;1;mae;1279591.3956382282
1;production;state_index;xgb;1;500;0.02;0.8;5;0.6;1;mae;1232787.204732978
1;production;state_index;xgb;1;500;0.02;0.8;5;0.9;1;mae;1295748.4987520962
1;production;state_index;xgb;1;500;0.02;0.8;7;0.6;1;mae;1237089.422453053
1;production;state_index;xgb;1;500;0.02;0.8;7;0.9;1;mae;1296023.6668156995
1;production;state_index;xgb;1;500;0.04;0.5;3;0.6;1;mae;1238880.1348506964
1;production;state_index;xgb;1;500;0.04;0.5;3;0.9;1;mae;1256431.2826166023
1;production;state_index;xgb;1;500;0.04;0.5;5;0.6;1;mae;1231859.8957291935
1;production;state_index;xgb;1;500;0.04;0.5;5;0.9;1;mae;1249226.0052471387
1;production;state_index;xgb;1;500;0.04;0.5;7;0.6;1;mae;1229851.6421057926
1;production;state_index;xgb;1;500;0.04;0.5;7;0.9;1;mae;1256967.274402086
1;production;state_index;xgb;1;500;0.04;0.8;3;0.6;1;mae;1221174.3382372558
1;production;state_index;xgb;1;500;0.04;0.8;3;0.9;1;mae;1272880.5952216685
1;production;state_index;xgb;1;500;0.04;0.8;5;0.6;1;mae;1223052.0977085573
1;production;state_index;xgb;1;500;0.04;0.8;5;0.9;1;mae;1294832.1805572498
1;production;state_index;xgb;1;500;0.04;0.8;7;0.6;1;mae;1224113.8889145458
1;production;state_index;xgb;1;500;0.04;0.8;7;0.9;1;mae;1297840.369368227
1;production;state_index;xgb;1;500;0.06;0.5;3;0.6;1;mae;1223965.7840568384
1;production;state_index;xgb;1;500;0.06;0.5;3;0.9;1;mae;1255405.958856549
1;production;state_index;xgb;1;500;0.06;0.5;5;0.6;1;mae;1233269.4111659038
1;production;state_index;xgb;1;500;0.06;0.5;5;0.9;1;mae;1252372.8987874489
1;production;state_index;xgb;1;500;0.06;0.5;7;0.6;1;mae;1234637.1268870947
1;production;state_index;xgb;1;500;0.06;0.5;7;0.9;1;mae;1252058.3899574657
1;production;state_index;xgb;1;500;0.06;0.8;3;0.6;1;mae;1219332.937596684
1;production;state_index;xgb;1;500;0.06;0.8;3;0.9;1;mae;1279693.4071291506
1;production;state_index;xgb;1;500;0.06;0.8;5;0.6;1;mae;1224271.8232111332
1;production;state_index;xgb;1;500;0.06;0.8;5;0.9;1;mae;1292380.9406984346
1;production;state_index;xgb;1;500;0.06;0.8;7;0.6;1;mae;1225491.678661773
1;production;state_index;xgb;1;500;0.06;0.8;7;0.9;1;mae;1302639.4614955767
2;production;state_index;xgb;1;100;0.02;0.5;3;0.6;1;mae;1025836.1237281358
2;production;state_index;xgb;1;100;0.02;0.5;3;0.9;1;mae;1010684.4843523967
2;production;state_index;xgb;1;100;0.02;0.5;5;0.6;1;mae;1018910.9371761406
2;production;state_index;xgb;1;100;0.02;0.5;5;0.9;1;mae;1012155.6850012732
2;production;state_index;xgb;1;100;0.02;0.5;7;0.6;1;mae;1021335.7617655812
2;production;state_index;xgb;1;100;0.02;0.5;7;0.9;1;mae;1010293.8175529389
2;production;state_index;xgb;1;100;0.02;0.8;3;0.6;1;mae;1029782.7328304375
2;production;state_index;xgb;1;100;0.02;0.8;3;0.9;1;mae;1018884.9299975103
2;production;state_index;xgb;1;100;0.02;0.8;5;0.6;1;mae;1029231.8654109059
2;production;state_index;xgb;1;100;0.02;0.8;5;0.9;1;mae;1018426.9670881268
2;production;state_index;xgb;1;100;0.02;0.8;7;0.6;1;mae;1028814.3441767611
2;production;state_index;xgb;1;100;0.02;0.8;7;0.9;1;mae;1025188.9692621543
2;production;state_index;xgb;1;100;0.04;0.5;3;0.6;1;mae;998583.8924177727
2;production;state_index;xgb;1;100;0.04;0.5;3;0.9;1;mae;1010132.4904172755
2;production;state_index;xgb;1;100;0.04;0.5;5;0.6;1;mae;1004001.9533344983
2;production;state_index;xgb;1;100;0.04;0.5;5;0.9;1;mae;1013599.8223807708
2;production;state_index;xgb;1;100;0.04;0.5;7;0.6;1;mae;1004553.3494803802
2;production;state_index;xgb;1;100;0.04;0.5;7;0.9;1;mae;1011386.773385779
2;production;state_index;xgb;1;100;0.04;0.8;3;0.6;1;mae;1034052.637385452
2;production;state_index;xgb;1;100;0.04;0.8;3;0.9;1;mae;1033499.7620634775
2;production;state_index;xgb;1;100;0.04;0.8;5;0.6;1;mae;1039945.527997853
2;production;state_index;xgb;1;100;0.04;0.8;5;0.9;1;mae;1035094.319706143
2;production;state_index;xgb;1;100;0.04;0.8;7;0.6;1;mae;1042847.6945682539
2;production;state_index;xgb;1;100;0.04;0.8;7;0.9;1;mae;1040450.2227251994
2;production;state_index;xgb;1;100;0.06;0.5;3;0.6;1;mae;1004545.6900627116
2;production;state_index;xgb;1;100;0.06;0.5;3;0.9;1;mae;1025141.7741361195
2;production;state_index;xgb;1;100;0.06;0.5;5;0.6;1;mae;1009487.7125925235
2;production;state_index;xgb;1;100;0.06;0.5;5;0.9;1;mae;1016032.2192750332
2;production;state_index;xgb;1;100;0.06;0.5;7;0.6;1;mae;1011489.5095559965
2;production;state_index;xgb;1;100;0.06;0.5;7;0.9;1;mae;1006802.2042900624
2;production;state_index;xgb;1;100;0.06;0.8;3;0.6;1;mae;1035013.9931291402
2;production;state_index;xgb;1;100;0.06;0.8;3;0.9;1;mae;1054041.235847478
2;production;state_index;xgb;1;100;0.06;0.8;5;0.6;1;mae;1041759.0181956909
2;production;state_index;xgb;1;100;0.06;0.8;5;0.9;1;mae;1058593.0562229732
2;production;state_index;xgb;1;100;0.06;0.8;7;0.6;1;mae;1047366.3982590891
2;production;state_index;xgb;1;100;0.06;0.8;7;0.9;1;mae;1056150.599319953
2;production;state_index;xgb;1;500;0.02;0.5;3;0.6;1;mae;1027797.1642034038
2;production;state_index;xgb;1;500;0.02;0.5;3;0.9;1;mae;1028345.0541427381
2;production;state_index;xgb;1;500;0.02;0.5;5;0.6;1;mae;1028955.6638195541
2;production;state_index;xgb;1;500;0.02;0.5;5;0.9;1;mae;1034831.3899875655
2;production;state_index;xgb;1;500;0.02;0.5;7;0.6;1;mae;1027392.5228079049
2;production;state_index;xgb;1;500;0.02;0.5;7;0.9;1;mae;1037488.5825106469
2;production;state_index;xgb;1;500;0.02;0.8;3;0.6;1;mae;1048827.4043126288
2;production;state_index;xgb;1;500;0.02;0.8;3;0.9;1;mae;1042593.3325247158
2;production;state_index;xgb;1;500;0.02;0.8;5;0.6;1;mae;1052230.405100766
2;production;state_index;xgb;1;500;0.02;0.8;5;0.9;1;mae;1045712.8252991192
2;production;state_index;xgb;1;500;0.02;0.8;7;0.6;1;mae;1054890.8347233112
2;production;state_index;xgb;1;500;0.02;0.8;7;0.9;1;mae;1051419.719415022
2;production;state_index;xgb;1;500;0.04;0.5;3;0.6;1;mae;1021466.693243819
2;production;state_index;xgb;1;500;0.04;0.5;3;0.9;1;mae;1028755.2557762965
2;production;state_index;xgb;1;500;0.04;0.5;5;0.6;1;mae;1032346.5501858122
2;production;state_index;xgb;1;500;0.04;0.5;5;0.9;1;mae;1035230.5126900679
2;production;state_index;xgb;1;500;0.04;0.5;7;0.6;1;mae;1033079.5195085068
2;production;state_index;xgb;1;500;0.04;0.5;7;0.9;1;mae;1030264.0652682153
2;production;state_index;xgb;1;500;0.04;0.8;3;0.6;1;mae;1053073.4144570637
2;production;state_index;xgb;1;500;0.04;0.8;3;0.9;1;mae;1048849.0196251175
2;production;state_index;xgb;1;500;0.04;0.8;5;0.6;1;mae;1062080.890815101
2;production;state_index;xgb;1;500;0.04;0.8;5;0.9;1;mae;1051938.414155195
2;production;state_index;xgb;1;500;0.04;0.8;7;0.6;1;mae;1065802.8467186794
2;production;state_index;xgb;1;500;0.04;0.8;7;0.9;1;mae;1059352.1441595145
2;production;state_index;xgb;1;500;0.06;0.5;3;0.6;1;mae;1018818.1221832185
2;production;state_index;xgb;1;500;0.06;0.5;3;0.9;1;mae;1040746.3589453091
2;production;state_index;xgb;1;500;0.06;0.5;5;0.6;1;mae;1032194.7984922266
2;production;state_index;xgb;1;500;0.06;0.5;5;0.9;1;mae;1029281.5686707852
2;production;state_index;xgb;1;500;0.06;0.5;7;0.6;1;mae;1036532.9467516607
2;production;state_index;xgb;1;500;0.06;0.5;7;0.9;1;mae;1019746.774494491
2;production;state_index;xgb;1;500;0.06;0.8;3;0.6;1;mae;1038701.4324187582
2;production;state_index;xgb;1;500;0.06;0.8;3;0.9;1;mae;1054753.1468291027
2;production;state_index;xgb;1;500;0.06;0.8;5;0.6;1;mae;1048758.08789028
2;production;state_index;xgb;1;500;0.06;0.8;5;0.9;1;mae;1061801.058202976
2;production;state_index;xgb;1;500;0.06;0.8;7;0.6;1;mae;1056056.0788219396
2;production;state_index;xgb;1;500;0.06;0.8;7;0.9;1;mae;1058454.4687329964
3;production;state_index;xgb;1;100;0.02;0.5;3;0.6;1;mae;1087658.6495650979
3;production;state_index;xgb;1;100;0.02;0.5;3;0.9;1;mae;1088170.2183787527
3;production;state_index;xgb;1;100;0.02;0.5;5;0.6;1;mae;1089585.3018032208
3;production;state_index;xgb;1;100;0.02;0.5;5;0.9;1;mae;1097894.774711415
3;production;state_index;xgb;1;100;0.02;0.5;7;0.6;1;mae;1088525.5872312025
3;production;state_index;xgb;1;100;0.02;0.5;7;0.9;1;mae;1102771.1726253086
