part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production_feature;state_index;xgb;1;100;0.02;0.5;3;0.6;1;mae;1178187.575846314
1;production_feature;state_index;xgb;1;100;0.02;0.5;3;0.9;1;mae;1201639.749263086
1;production_feature;state_index;xgb;1;100;0.02;0.5;5;0.6;1;mae;1180099.7462596756
1;production_feature;state_index;xgb;1;100;0.02;0.5;5;0.9;1;mae;1205858.7271675582
1;production_feature;state_index;xgb;1;100;0.02;0.5;7;0.6;1;mae;1182843.478996743
1;production_feature;state_index;xgb;1;100;0.02;0.5;7;0.9;1;mae;1199755.7136484713
1;production_feature;state_index;xgb;1;100;0.02;0.8;3;0.6;1;mae;1212605.6170777655
1;production_feature;state_index;xgb;1;100;0.02;0.8;3;0.9;1;mae;1234733.6982478458
1;production_feature;state_index;xgb;1;100;0.02;0.8;5;0.6;1;mae;1209714.031293588
1;production_feature;state_index;xgb;1;100;0.02;0.8;5;0.9;1;mae;1227360.325030553
1;production_feature;state_index;xgb;1;100;0.02;0.8;7;0.6;1;mae;1208401.336104494
1;production_feature;state_index;xgb;1;100;0.02;0.8;7;0.9;1;mae;1230219.5879368843
1;production_feature;state_index;xgb;1;100;0.04;0.5;3;0.6;1;mae;1215684.6874457581
1;production_feature;state_index;xgb;1;100;0.04;0.5;3;0.9;1;mae;1220875.7538146793
1;production_feature;state_index;xgb;1;100;0.04;0.5;5;0.6;1;mae;1210829.9349755705
1;production_feature;state_index;xgb;1;100;0.04;0.5;5;0.9;1;mae;1219989.8843909153
1;production_feature;state_index;xgb;1;100;0.04;0.5;7;0.6;1;mae;1216806.3527413153
1;production_feature;state_index;xgb;1;100;0.04;0.5;7;0.9;1;mae;1216604.492204911
1;production_feature;state_index;xgb;1;100;0.04;0.8;3;0.6;1;mae;1235294.736776121
1;production_feature;state_index;xgb;1;100;0.04;0.8;3;0.9;1;mae;1249367.2955044957
1;production_feature;state_index;xgb;1;100;0.04;0.8;5;0.6;1;mae;1228708.496724985
1;production_feature;state_index;xgb;1;100;0.04;0.8;5;0.9;1;mae;1253269.818041026
1;production_feature;state_index;xgb;1;100;0.04;0.8;7;0.6;1;mae;1228919.8469914563
1;production_feature;state_index;xgb;1;100;0.04;0.8;7;0.9;1;mae;1257629.3931313632
1;production_feature;state_index;xgb;1;100;0.06;0.5;3;0.6;1;mae;1208093.4562884595
1;production_feature;state_index;xgb;1;100;0.06;0.5;3;0.9;1;mae;1229056.370691795
1;production_feature;state_index;xgb;1;100;0.06;0.5;5;0.6;1;mae;1214409.0716601303
1;production_feature;state_index;xgb;1;100;0.06;0.5;5;0.9;1;mae;1237700.956988828
1;production_feature;state_index;xgb;1;100;0.06;0.5;7;0.6;1;mae;1212333.050703569
1;production_feature;state_index;xgb;1;100;0.06;0.5;7;0.9;1;mae;1234514.553958065
1;production_feature;state_index;xgb;1;100;0.06;0.8;3;0.6;1;mae;1229575.8131005173
1;production_feature;state_index;xgb;1;100;0.06;0.8;3;0.9;1;mae;1251385.8278365675
1;production_feature;state_index;xgb;1;100;0.06;0.8;5;0.6;1;mae;1232111.471395796
1;production_feature;state_index;xgb;1;100;0.06;0.8;5;0.9;1;mae;1273581.6086551812
1;production_feature;state_index;xgb;1;100;0.06;0.8;7;0.6;1;mae;1240662.8098660547
1;production_feature;state_index;xgb;1;100;0.06;0.8;7;0.9;1;mae;1265565.1860668578
1;production_feature;state_index;xgb;1;500;0.02;0.5;3;0.6;1;mae;1203083.285104212
1;production_feature;state_index;xgb;1;500;0.02;0.5;3;0.9;1;mae;1224825.6998451771
1;production_feature;state_index;xgb;1;500;0.02;0.5;5;0.6;1;mae;1215440.633081531
1;production_feature;state_index;xgb;1;500;0.02;0.5;5;0.9;1;mae;1245234.1557834037
1;production_feature;state_index;xgb;1;500;0.02;0.5;7;0.6;1;mae;1219694.0164325293
1;production_feature;state_index;xgb;1;500;0.02;0.5;7;0.9;1;mae;1239425.5804791094
1;production_feature;state_index;xgb;1;500;0.02;0.8;3;0.6;1;mae;1226236.0794021126
1;production_feature;state_index;xgb;1;500;0.02;0.8;3;0.9;1;mae;1255938.4934165324
1;production_feature;state_index;xgb;1;500;0.02;0.8;5;0.6;1;mae;1244877.322477494
1;production_feature;state_index;xgb;1;500;0.02;0.8;5;0.9;1;mae;1267496.0763164316
1;production_feature;state_index;xgb;1;500;0.02;0.8;7;0.6;1;mae;1243345.7102305025
1;production_feature;state_index;xgb;1;500;0.02;0.8;7;0.9;1;mae;1265996.664929328
1;production_feature;state_index;xgb;1;500;0.04;0.5;3;0.6;1;mae;1220394.585923926
1;production_feature;state_index;xgb;1;500;0.04;0.5;3;0.9;1;mae;1224624.3735311984
1;production_feature;state_index;xgb;1;500;0.04;0.5;5;0.6;1;mae;1221530.65753566
