part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;traffic_fines;state_index;xgb;1;100;0.02;0.5;3;0.6;1;mae;16087713.087273872
1;traffic_fines;state_index;xgb;1;100;0.02;0.5;3;0.9;1;mae;16052171.284227507
1;traffic_fines;state_index;xgb;1;100;0.02;0.5;5;0.6;1;mae;15884474.010318235
1;traffic_fines;state_index;xgb;1;100;0.02;0.5;5;0.9;1;mae;15840756.924209515
1;traffic_fines;state_index;xgb;1;100;0.02;0.5;7;0.6;1;mae;15786061.34892696
1;traffic_fines;state_index;xgb;1;100;0.02;0.5;7;0.9;1;mae;15741761.825910714
1;traffic_fines;state_index;xgb;1;100;0.02;0.8;3;0.6;1;mae;16083738.240940616
1;traffic_fines;state_index;xgb;1;100;0.02;0.8;3;0.9;1;mae;16050182.517814025
1;traffic_fines;state_index;xgb;1;100;0.02;0.8;5;0.6;1;mae;15883210.165254815
1;traffic_fines;state_index;xgb;1;100;0.02;0.8;5;0.9;1;mae;15834172.89089425
1;traffic_fines;state_index;xgb;1;100;0.02;0.8;7;0.6;1;mae;15769940.096057722
1;traffic_fines;state_index;xgb;1;100;0.02;0.8;7;0.9;1;mae;15733916.269211547
1;traffic_fines;state_index;xgb;1;100;0.04;0.5;3;0.6;1;mae;15558448.009067154
1;traffic_fines;state_index;xgb;1;100;0.04;0.5;3;0.9;1;mae;15534990.45608898
1;traffic_fines;state_index;xgb;1;100;0.04;0.5;5;0.6;1;mae;15242262.52938962
1;traffic_fines;state_index;xgb;1;100;0.04;0.5;5;0.9;1;mae;15214229.072307916
1;traffic_fines;state_index;xgb;1;100;0.04;0.5;7;0.6;1;mae;15073557.369139893
1;traffic_fines;state_index;xgb;1;100;0.04;0.5;7;0.9;1;mae;15050513.88206256
1;traffic_fines;state_index;xgb;1;100;0.04;0.8;3;0.6;1;mae;15542229.312063485
1;traffic_fines;state_index;xgb;1;100;0.04;0.8;3;0.9;1;mae;15527289.099218419
1;traffic_fines;state_index;xgb;1;100;0.04;0.8;5;0.6;1;mae;15217519.183521591
1;traffic_fines;state_index;xgb;1;100;0.04;0.8;5;0.9;1;mae;15183443.724543467
1;traffic_fines;state_index;xgb;1;100;0.04;0.8;7;0.6;1;mae;15044810.442787757
1;traffic_fines;state_index;xgb;1;100;0.04;0.8;7;0.9;1;mae;15005075.551262798
1;traffic_fines;state_index;xgb;1;100;0.06;0.5;3;0.6;1;mae;15457443.331902131
1;traffic_fines;state_index;xgb;1;100;0.06;0.5;3;0.9;1;mae;15436557.242968982
