part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2020;state_laststate;xgb;1;100;0.02;0.5;3;0.6;1;mae;299483.9074130077
1;bpic2020;state_laststate;xgb;1;100;0.02;0.5;3;0.9;1;mae;299705.42440943466
1;bpic2020;state_laststate;xgb;1;100;0.02;0.5;5;0.6;1;mae;299395.0799772137
1;bpic2020;state_laststate;xgb;1;100;0.02;0.5;5;0.9;1;mae;298700.8887079321
1;bpic2020;state_laststate;xgb;1;100;0.02;0.5;7;0.6;1;mae;299550.04428486753
1;bpic2020;state_laststate;xgb;1;100;0.02;0.5;7;0.9;1;mae;299608.52217945387
1;bpic2020;state_laststate;xgb;1;100;0.02;0.8;3;0.6;1;mae;299369.3422563523
1;bpic2020;state_laststate;xgb;1;100;0.02;0.8;3;0.9;1;mae;299601.45864511345
1;bpic2020;state_laststate;xgb;1;100;0.02;0.8;5;0.6;1;mae;297898.72773898434
1;bpic2020;state_laststate;xgb;1;100;0.02;0.8;5;0.9;1;mae;298344.15140990634
1;bpic2020;state_laststate;xgb;1;100;0.02;0.8;7;0.6;1;mae;298086.59557003883
1;bpic2020;state_laststate;xgb;1;100;0.02;0.8;7;0.9;1;mae;299462.72283990827
1;bpic2020;state_laststate;xgb;1;100;0.04;0.5;3;0.6;1;mae;317916.1521918851
1;bpic2020;state_laststate;xgb;1;100;0.04;0.5;3;0.9;1;mae;317285.9727643625
1;bpic2020;state_laststate;xgb;1;100;0.04;0.5;5;0.6;1;mae;319069.4327071583
1;bpic2020;state_laststate;xgb;1;100;0.04;0.5;5;0.9;1;mae;317699.22827141377
1;bpic2020;state_laststate;xgb;1;100;0.04;0.5;7;0.6;1;mae;320676.90329017123
1;bpic2020;state_laststate;xgb;1;100;0.04;0.5;7;0.9;1;mae;318481.0963553104
1;bpic2020;state_laststate;xgb;1;100;0.04;0.8;3;0.6;1;mae;316890.2320646396
1;bpic2020;state_laststate;xgb;1;100;0.04;0.8;3;0.9;1;mae;316992.2378405508
1;bpic2020;state_laststate;xgb;1;100;0.04;0.8;5;0.6;1;mae;316451.59408224205
1;bpic2020;state_laststate;xgb;1;100;0.04;0.8;5;0.9;1;mae;316638.74652751937
1;bpic2020;state_laststate;xgb;1;100;0.04;0.8;7;0.6;1;mae;317665.84373807843
1;bpic2020;state_laststate;xgb;1;100;0.04;0.8;7;0.9;1;mae;318451.3415237416
1;bpic2020;state_laststate;xgb;1;100;0.06;0.5;3;0.6;1;mae;322569.3347950698
1;bpic2020;state_laststate;xgb;1;100;0.06;0.5;3;0.9;1;mae;322222.7423345921
1;bpic2020;state_laststate;xgb;1;100;0.06;0.5;5;0.6;1;mae;326542.6964061825
1;bpic2020;state_laststate;xgb;1;100;0.06;0.5;5;0.9;1;mae;324826.1004412423
1;bpic2020;state_laststate;xgb;1;100;0.06;0.5;7;0.6;1;mae;328250.76304942154
1;bpic2020;state_laststate;xgb;1;100;0.06;0.5;7;0.9;1;mae;326924.5752467122
1;bpic2020;state_laststate;xgb;1;100;0.06;0.8;3;0.6;1;mae;320571.9708469291
1;bpic2020;state_laststate;xgb;1;100;0.06;0.8;3;0.9;1;mae;320834.0594300346
1;bpic2020;state_laststate;xgb;1;100;0.06;0.8;5;0.6;1;mae;321665.14679824706
1;bpic2020;state_laststate;xgb;1;100;0.06;0.8;5;0.9;1;mae;322044.63150718925
1;bpic2020;state_laststate;xgb;1;100;0.06;0.8;7;0.6;1;mae;323979.1876623233
