part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production;state_laststate;xgb;1;100;0.02;0.5;3;0.6;1;mae;1144997.2265071147
1;production;state_laststate;xgb;1;100;0.02;0.5;3;0.9;1;mae;1136564.9915874295
1;production;state_laststate;xgb;1;100;0.02;0.5;5;0.6;1;mae;1139105.1577403317
1;production;state_laststate;xgb;1;100;0.02;0.5;5;0.9;1;mae;1131991.0284380098
1;production;state_laststate;xgb;1;100;0.02;0.5;7;0.6;1;mae;1141186.6067665066
1;production;state_laststate;xgb;1;100;0.02;0.5;7;0.9;1;mae;1129831.6159666404
1;production;state_laststate;xgb;1;100;0.02;0.8;3;0.6;1;mae;1140653.7372874578
1;production;state_laststate;xgb;1;100;0.02;0.8;3;0.9;1;mae;1142392.7104225883
1;production;state_laststate;xgb;1;100;0.02;0.8;5;0.6;1;mae;1132105.267597392
1;production;state_laststate;xgb;1;100;0.02;0.8;5;0.9;1;mae;1123918.9775937202
1;production;state_laststate;xgb;1;100;0.02;0.8;7;0.6;1;mae;1133747.2792884929
1;production;state_laststate;xgb;1;100;0.02;0.8;7;0.9;1;mae;1125230.312407565
1;production;state_laststate;xgb;1;100;0.04;0.5;3;0.6;1;mae;1169658.3952662111
1;production;state_laststate;xgb;1;100;0.04;0.5;3;0.9;1;mae;1178309.391230011
1;production;state_laststate;xgb;1;100;0.04;0.5;5;0.6;1;mae;1173239.7614206064
1;production;state_laststate;xgb;1;100;0.04;0.5;5;0.9;1;mae;1176690.8872522882
1;production;state_laststate;xgb;1;100;0.04;0.5;7;0.6;1;mae;1178681.6914708612
1;production;state_laststate;xgb;1;100;0.04;0.5;7;0.9;1;mae;1184642.6502661172
1;production;state_laststate;xgb;1;100;0.04;0.8;3;0.6;1;mae;1182220.2973355448
1;production;state_laststate;xgb;1;100;0.04;0.8;3;0.9;1;mae;1195276.513168023
1;production;state_laststate;xgb;1;100;0.04;0.8;5;0.6;1;mae;1168205.2330317246
1;production;state_laststate;xgb;1;100;0.04;0.8;5;0.9;1;mae;1173432.4749883553
1;production;state_laststate;xgb;1;100;0.04;0.8;7;0.6;1;mae;1166987.369615824
1;production;state_laststate;xgb;1;100;0.04;0.8;7;0.9;1;mae;1174182.5076210815
1;production;state_laststate;xgb;1;100;0.06;0.5;3;0.6;1;mae;1192383.1503214152
1;production;state_laststate;xgb;1;100;0.06;0.5;3;0.9;1;mae;1192482.9839706842
1;production;state_laststate;xgb;1;100;0.06;0.5;5;0.6;1;mae;1187883.8991092832
1;production;state_laststate;xgb;1;100;0.06;0.5;5;0.9;1;mae;1205426.03120208
1;production;state_laststate;xgb;1;100;0.06;0.5;7;0.6;1;mae;1195117.7998350142
1;production;state_laststate;xgb;1;100;0.06;0.5;7;0.9;1;mae;1209337.610822614
1;production;state_laststate;xgb;1;100;0.06;0.8;3;0.6;1;mae;1192470.0354929273
1;production;state_laststate;xgb;1;100;0.06;0.8;3;0.9;1;mae;1204308.236152743
1;production;state_laststate;xgb;1;100;0.06;0.8;5;0.6;1;mae;1188932.73684065
1;production;state_laststate;xgb;1;100;0.06;0.8;5;0.9;1;mae;1192839.0144553601
1;production;state_laststate;xgb;1;100;0.06;0.8;7;0.6;1;mae;1182068.2569218385
1;production;state_laststate;xgb;1;100;0.06;0.8;7;0.9;1;mae;1192380.4760923798
1;production;state_laststate;xgb;1;500;0.02;0.5;3;0.6;1;mae;1191196.8325470928
1;production;state_laststate;xgb;1;500;0.02;0.5;3;0.9;1;mae;1199580.2263108068
1;production;state_laststate;xgb;1;500;0.02;0.5;5;0.6;1;mae;1185936.0147816183
1;production;state_laststate;xgb;1;500;0.02;0.5;5;0.9;1;mae;1197181.3201553663
1;production;state_laststate;xgb;1;500;0.02;0.5;7;0.6;1;mae;1191481.0355001162
1;production;state_laststate;xgb;1;500;0.02;0.5;7;0.9;1;mae;1198611.3934959844
1;production;state_laststate;xgb;1;500;0.02;0.8;3;0.6;1;mae;1181401.271278026
1;production;state_laststate;xgb;1;500;0.02;0.8;3;0.9;1;mae;1192143.4617342567
1;production;state_laststate;xgb;1;500;0.02;0.8;5;0.6;1;mae;1173403.3593697285
1;production;state_laststate;xgb;1;500;0.02;0.8;5;0.9;1;mae;1186428.532436884
1;production;state_laststate;xgb;1;500;0.02;0.8;7;0.6;1;mae;1177917.7027177813
1;production;state_laststate;xgb;1;500;0.02;0.8;7;0.9;1;mae;1189909.7921300342
1;production;state_laststate;xgb;1;500;0.04;0.5;3;0.6;1;mae;1191057.3663466068
1;production;state_laststate;xgb;1;500;0.04;0.5;3;0.9;1;mae;1201769.015009999
1;production;state_laststate;xgb;1;500;0.04;0.5;5;0.6;1;mae;1191530.553103056
1;production;state_laststate;xgb;1;500;0.04;0.5;5;0.9;1;mae;1204450.536466241
1;production;state_laststate;xgb;1;500;0.04;0.5;7;0.6;1;mae;1200595.5640930478
1;production;state_laststate;xgb;1;500;0.04;0.5;7;0.9;1;mae;1218516.3604792824
1;production;state_laststate;xgb;1;500;0.04;0.8;3;0.6;1;mae;1196677.647652734
1;production;state_laststate;xgb;1;500;0.04;0.8;3;0.9;1;mae;1211848.753264153
1;production;state_laststate;xgb;1;500;0.04;0.8;5;0.6;1;mae;1181752.593408724
1;production;state_laststate;xgb;1;500;0.04;0.8;5;0.9;1;mae;1197052.3822621976
