part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production_feature;state_laststate;xgb;1;100;0.02;0.5;3;0.6;1;mae;1123975.3232206001
1;production_feature;state_laststate;xgb;1;100;0.02;0.5;3;0.9;1;mae;1111024.8772575483
1;production_feature;state_laststate;xgb;1;100;0.02;0.5;5;0.6;1;mae;1113365.3878665802
1;production_feature;state_laststate;xgb;1;100;0.02;0.5;5;0.9;1;mae;1098650.1251995817
1;production_feature;state_laststate;xgb;1;100;0.02;0.5;7;0.6;1;mae;1110893.3532087617
1;production_feature;state_laststate;xgb;1;100;0.02;0.5;7;0.9;1;mae;1102782.4665830336
1;production_feature;state_laststate;xgb;1;100;0.02;0.8;3;0.6;1;mae;1113611.3592214591
1;production_feature;state_laststate;xgb;1;100;0.02;0.8;3;0.9;1;mae;1117455.1899759124
1;production_feature;state_laststate;xgb;1;100;0.02;0.8;5;0.6;1;mae;1096054.3240903178
1;production_feature;state_laststate;xgb;1;100;0.02;0.8;5;0.9;1;mae;1104343.1907546115
1;production_feature;state_laststate;xgb;1;100;0.02;0.8;7;0.6;1;mae;1102869.9067137558
1;production_feature;state_laststate;xgb;1;100;0.02;0.8;7;0.9;1;mae;1103856.6542951541
1;production_feature;state_laststate;xgb;1;100;0.04;0.5;3;0.6;1;mae;1166357.9519468164
1;production_feature;state_laststate;xgb;1;100;0.04;0.5;3;0.9;1;mae;1158537.392628658
1;production_feature;state_laststate;xgb;1;100;0.04;0.5;5;0.6;1;mae;1142674.0486540166
1;production_feature;state_laststate;xgb;1;100;0.04;0.5;5;0.9;1;mae;1135180.3024215684
1;production_feature;state_laststate;xgb;1;100;0.04;0.5;7;0.6;1;mae;1143877.0852746428
1;production_feature;state_laststate;xgb;1;100;0.04;0.5;7;0.9;1;mae;1137244.4178793163
1;production_feature;state_laststate;xgb;1;100;0.04;0.8;3;0.6;1;mae;1147193.607902993
1;production_feature;state_laststate;xgb;1;100;0.04;0.8;3;0.9;1;mae;1161022.9246752202
1;production_feature;state_laststate;xgb;1;100;0.04;0.8;5;0.6;1;mae;1130200.544563192
1;production_feature;state_laststate;xgb;1;100;0.04;0.8;5;0.9;1;mae;1140555.1446264242
1;production_feature;state_laststate;xgb;1;100;0.04;0.8;7;0.6;1;mae;1134031.1119307792
1;production_feature;state_laststate;xgb;1;100;0.04;0.8;7;0.9;1;mae;1136336.7982361193
1;production_feature;state_laststate;xgb;1;100;0.06;0.5;3;0.6;1;mae;1189222.0615910657
1;production_feature;state_laststate;xgb;1;100;0.06;0.5;3;0.9;1;mae;1173687.4462712149
1;production_feature;state_laststate;xgb;1;100;0.06;0.5;5;0.6;1;mae;1174778.4297503203
1;production_feature;state_laststate;xgb;1;100;0.06;0.5;5;0.9;1;mae;1147548.0365034796
1;production_feature;state_laststate;xgb;1;100;0.06;0.5;7;0.6;1;mae;1166544.7590098463
1;production_feature;state_laststate;xgb;1;100;0.06;0.5;7;0.9;1;mae;1151446.8341257263
1;production_feature;state_laststate;xgb;1;100;0.06;0.8;3;0.6;1;mae;1167952.5348910564
1;production_feature;state_laststate;xgb;1;100;0.06;0.8;3;0.9;1;mae;1175481.860484366
1;production_feature;state_laststate;xgb;1;100;0.06;0.8;5;0.6;1;mae;1141310.249410799
1;production_feature;state_laststate;xgb;1;100;0.06;0.8;5;0.9;1;mae;1157923.5158550325
1;production_feature;state_laststate;xgb;1;100;0.06;0.8;7;0.6;1;mae;1148241.38258951
1;production_feature;state_laststate;xgb;1;100;0.06;0.8;7;0.9;1;mae;1154491.066651775
1;production_feature;state_laststate;xgb;1;500;0.02;0.5;3;0.6;1;mae;1168605.6985514187
1;production_feature;state_laststate;xgb;1;500;0.02;0.5;3;0.9;1;mae;1169490.0292659388
1;production_feature;state_laststate;xgb;1;500;0.02;0.5;5;0.6;1;mae;1159451.8379497055
1;production_feature;state_laststate;xgb;1;500;0.02;0.5;5;0.9;1;mae;1157486.7017993706
1;production_feature;state_laststate;xgb;1;500;0.02;0.5;7;0.6;1;mae;1157325.623625222
1;production_feature;state_laststate;xgb;1;500;0.02;0.5;7;0.9;1;mae;1163338.0018428564
1;production_feature;state_laststate;xgb;1;500;0.02;0.8;3;0.6;1;mae;1160776.7677538001
1;production_feature;state_laststate;xgb;1;500;0.02;0.8;3;0.9;1;mae;1178167.050443936
1;production_feature;state_laststate;xgb;1;500;0.02;0.8;5;0.6;1;mae;1141134.1240435196
1;production_feature;state_laststate;xgb;1;500;0.02;0.8;5;0.9;1;mae;1158023.9197621907
1;production_feature;state_laststate;xgb;1;500;0.02;0.8;7;0.6;1;mae;1149021.7008789016
1;production_feature;state_laststate;xgb;1;500;0.02;0.8;7;0.9;1;mae;1159214.3362869984
1;production_feature;state_laststate;xgb;1;500;0.04;0.5;3;0.6;1;mae;1186560.1626821125
1;production_feature;state_laststate;xgb;1;500;0.04;0.5;3;0.9;1;mae;1178988.96011511
