part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;traffic_fines;state_laststate;xgb;1;100;0.02;0.5;3;0.6;1;mae;16166396.611488083
1;traffic_fines;state_laststate;xgb;1;100;0.02;0.5;3;0.9;1;mae;16104211.333926471
1;traffic_fines;state_laststate;xgb;1;100;0.02;0.5;5;0.6;1;mae;16001247.286895063
1;traffic_fines;state_laststate;xgb;1;100;0.02;0.5;5;0.9;1;mae;15917451.384479394
1;traffic_fines;state_laststate;xgb;1;100;0.02;0.5;7;0.6;1;mae;15906024.605273504
1;traffic_fines;state_laststate;xgb;1;100;0.02;0.5;7;0.9;1;mae;15829400.67448022
1;traffic_fines;state_laststate;xgb;1;100;0.02;0.8;3;0.6;1;mae;16165865.975969683
1;traffic_fines;state_laststate;xgb;1;100;0.02;0.8;3;0.9;1;mae;16099462.0342855
1;traffic_fines;state_laststate;xgb;1;100;0.02;0.8;5;0.6;1;mae;15999596.362789776
1;traffic_fines;state_laststate;xgb;1;100;0.02;0.8;5;0.9;1;mae;15911576.381004503
1;traffic_fines;state_laststate;xgb;1;100;0.02;0.8;7;0.6;1;mae;15894214.226454917
1;traffic_fines;state_laststate;xgb;1;100;0.02;0.8;7;0.9;1;mae;15818146.65103332
1;traffic_fines;state_laststate;xgb;1;100;0.04;0.5;3;0.6;1;mae;15617220.958069557
1;traffic_fines;state_laststate;xgb;1;100;0.04;0.5;3;0.9;1;mae;15603998.280747017
1;traffic_fines;state_laststate;xgb;1;100;0.04;0.5;5;0.6;1;mae;15345939.257652434
1;traffic_fines;state_laststate;xgb;1;100;0.04;0.5;5;0.9;1;mae;15322663.203279573
1;traffic_fines;state_laststate;xgb;1;100;0.04;0.5;7;0.6;1;mae;15215444.924120603
1;traffic_fines;state_laststate;xgb;1;100;0.04;0.5;7;0.9;1;mae;15179555.74333807
1;traffic_fines;state_laststate;xgb;1;100;0.04;0.8;3;0.6;1;mae;15622014.584595531
1;traffic_fines;state_laststate;xgb;1;100;0.04;0.8;3;0.9;1;mae;15602028.12146369
1;traffic_fines;state_laststate;xgb;1;100;0.04;0.8;5;0.6;1;mae;15334468.270408543
1;traffic_fines;state_laststate;xgb;1;100;0.04;0.8;5;0.9;1;mae;15316831.67701112
1;traffic_fines;state_laststate;xgb;1;100;0.04;0.8;7;0.6;1;mae;15181614.720858024
1;traffic_fines;state_laststate;xgb;1;100;0.04;0.8;7;0.9;1;mae;15153655.34247305
1;traffic_fines;state_laststate;xgb;1;100;0.06;0.5;3;0.6;1;mae;15528364.121275943
1;traffic_fines;state_laststate;xgb;1;100;0.06;0.5;3;0.9;1;mae;15512285.126045357
1;traffic_fines;state_laststate;xgb;1;100;0.06;0.5;5;0.6;1;mae;15277763.589949466
1;traffic_fines;state_laststate;xgb;1;100;0.06;0.5;5;0.9;1;mae;15255266.113158815
1;traffic_fines;state_laststate;xgb;1;100;0.06;0.5;7;0.6;1;mae;15136802.081413863
1;traffic_fines;state_laststate;xgb;1;100;0.06;0.5;7;0.9;1;mae;15117993.080503343
1;traffic_fines;state_laststate;xgb;1;100;0.06;0.8;3;0.6;1;mae;15528472.564485706
1;traffic_fines;state_laststate;xgb;1;100;0.06;0.8;3;0.9;1;mae;15501778.426943067
1;traffic_fines;state_laststate;xgb;1;100;0.06;0.8;5;0.6;1;mae;15243571.472449403
1;traffic_fines;state_laststate;xgb;1;100;0.06;0.8;5;0.9;1;mae;15242744.05095375
1;traffic_fines;state_laststate;xgb;1;100;0.06;0.8;7;0.6;1;mae;15097216.046895176
1;traffic_fines;state_laststate;xgb;1;100;0.06;0.8;7;0.9;1;mae;15085619.5960362
1;traffic_fines;state_laststate;xgb;1;500;0.02;0.5;3;0.6;1;mae;15448391.979954736
1;traffic_fines;state_laststate;xgb;1;500;0.02;0.5;3;0.9;1;mae;15431850.288657319
1;traffic_fines;state_laststate;xgb;1;500;0.02;0.5;5;0.6;1;mae;15223439.66100286
1;traffic_fines;state_laststate;xgb;1;500;0.02;0.5;5;0.9;1;mae;15203235.564441755
1;traffic_fines;state_laststate;xgb;1;500;0.02;0.5;7;0.6;1;mae;15096058.868559029
1;traffic_fines;state_laststate;xgb;1;500;0.02;0.5;7;0.9;1;mae;15085446.157637479
1;traffic_fines;state_laststate;xgb;1;500;0.02;0.8;3;0.6;1;mae;15441580.192673258
1;traffic_fines;state_laststate;xgb;1;500;0.02;0.8;3;0.9;1;mae;15433797.939419705
1;traffic_fines;state_laststate;xgb;1;500;0.02;0.8;5;0.6;1;mae;15198559.013802707
1;traffic_fines;state_laststate;xgb;1;500;0.02;0.8;5;0.9;1;mae;15186775.61924591
1;traffic_fines;state_laststate;xgb;1;500;0.02;0.8;7;0.6;1;mae;15060264.902682966
1;traffic_fines;state_laststate;xgb;1;500;0.02;0.8;7;0.9;1;mae;15050263.238222538
1;traffic_fines;state_laststate;xgb;1;500;0.04;0.5;3;0.6;1;mae;15378739.895948632
1;traffic_fines;state_laststate;xgb;1;500;0.04;0.5;3;0.9;1;mae;15357471.379783224
1;traffic_fines;state_laststate;xgb;1;500;0.04;0.5;5;0.6;1;mae;15179546.398320736
1;traffic_fines;state_laststate;xgb;1;500;0.04;0.5;5;0.9;1;mae;15168662.824507365
1;traffic_fines;state_laststate;xgb;1;500;0.04;0.5;7;0.6;1;mae;15097648.185001163
1;traffic_fines;state_laststate;xgb;1;500;0.04;0.5;7;0.9;1;mae;15085829.291571982
1;traffic_fines;state_laststate;xgb;1;500;0.04;0.8;3;0.6;1;mae;15361781.858526263
1;traffic_fines;state_laststate;xgb;1;500;0.04;0.8;3;0.9;1;mae;15352886.832238441
1;traffic_fines;state_laststate;xgb;1;500;0.04;0.8;5;0.6;1;mae;15157111.74466435
1;traffic_fines;state_laststate;xgb;1;500;0.04;0.8;5;0.9;1;mae;15142416.989496032
1;traffic_fines;state_laststate;xgb;1;500;0.04;0.8;7;0.6;1;mae;15045703.37998092
1;traffic_fines;state_laststate;xgb;1;500;0.04;0.8;7;0.9;1;mae;15035816.351318102
1;traffic_fines;state_laststate;xgb;1;500;0.06;0.5;3;0.6;1;mae;15350774.812561313
1;traffic_fines;state_laststate;xgb;1;500;0.06;0.5;3;0.9;1;mae;15329387.868363097
1;traffic_fines;state_laststate;xgb;1;500;0.06;0.5;5;0.6;1;mae;15192862.186489854
1;traffic_fines;state_laststate;xgb;1;500;0.06;0.5;5;0.9;1;mae;15181634.317480154
1;traffic_fines;state_laststate;xgb;1;500;0.06;0.5;7;0.6;1;mae;15116484.789557807
1;traffic_fines;state_laststate;xgb;1;500;0.06;0.5;7;0.9;1;mae;15117895.213467903
1;traffic_fines;state_laststate;xgb;1;500;0.06;0.8;3;0.6;1;mae;15323108.824450452
1;traffic_fines;state_laststate;xgb;1;500;0.06;0.8;3;0.9;1;mae;15309096.462183222
1;traffic_fines;state_laststate;xgb;1;500;0.06;0.8;5;0.6;1;mae;15132589.644976676
1;traffic_fines;state_laststate;xgb;1;500;0.06;0.8;5;0.9;1;mae;15127058.231686577
1;traffic_fines;state_laststate;xgb;1;500;0.06;0.8;7;0.6;1;mae;15054821.773741083
1;traffic_fines;state_laststate;xgb;1;500;0.06;0.8;7;0.9;1;mae;15061056.294240039
2;traffic_fines;state_laststate;xgb;1;100;0.02;0.5;3;0.6;1;mae;16078018.951930322
2;traffic_fines;state_laststate;xgb;1;100;0.02;0.5;3;0.9;1;mae;16007572.204616755
2;traffic_fines;state_laststate;xgb;1;100;0.02;0.5;5;0.6;1;mae;15898346.623964982
2;traffic_fines;state_laststate;xgb;1;100;0.02;0.5;5;0.9;1;mae;15799186.462532112
2;traffic_fines;state_laststate;xgb;1;100;0.02;0.5;7;0.6;1;mae;15790944.53413275
2;traffic_fines;state_laststate;xgb;1;100;0.02;0.5;7;0.9;1;mae;15698821.011761937
