Case ID,Activity_Declaration APPROVED by ADMINISTRATION,Activity_Declaration APPROVED by BUDGET OWNER,Activity_Declaration FINAL_APPROVED by SUPERVISOR,Activity_Declaration SUBMITTED by EMPLOYEE,Activity_Payment Handled,Activity_Request Payment,Resource_STAFF MEMBER,Resource_SYSTEM,id_other,Role_ADMINISTRATION,Role_BUDGET OWNER,Role_EMPLOYEE,Role_SUPERVISOR,Role_UNDEFINED,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,hour_0,hour_1,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_2,hour_20,hour_21,hour_22,hour_23,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,duration_mean,duration_max,duration_min,duration_sum,duration_std,elapsed_mean,elapsed_max,elapsed_min,elapsed_sum,elapsed_std,true_value,predicted_value,relative_error
declaration 100015_5,1,1,1,1,0,1,4,1,5,1,1,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,807.21,1523.5333333333333,0.0,4036.05,745.2395024792738,99688.0,242163.0,0.0,498440.0,105462.81804977525,292096.0,272855.06,0.06587196503889133
declaration 100015_6,1,1,1,1,1,1,4,2,6,1,1,1,1,2,3,0,0,0,3,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1484.0527777777777,4868.266666666666,0.0,8904.316666666666,1786.8974250986187,172116.5,534259.0,0.0,1032699.0,200930.95945199684,0.0,640.2303,0.007381112136922621
declaration 100021_5,1,1,1,1,0,1,4,1,5,1,1,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2317.9033333333336,10009.366666666669,0.0,11589.516666666668,4342.30414384972,159748.2,695371.0,0.0,798741.0,302076.3377471,364554.0,286346.84,0.2145283174783434
declaration 100021_6,1,1,1,1,1,1,4,2,6,1,1,1,1,2,3,0,0,0,3,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2944.2361111111113,10009.366666666669,0.0,17665.416666666668,4175.911961867554,309777.6666666667,1059925.0,0.0,1858666.0,456128.4208104848,0.0,872.2653,0.010056206779236776
declaration 100042_5,1,1,1,1,0,1,4,1,5,1,1,1,1,1,0,0,0,0,0,0,4,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3095.936666666666,9715.166666666666,0.0,15479.68333333333,4073.2898671883013,402307.6,928781.0,0.0,2011538.0,449845.2334473491,207372.0,201688.02,0.027409603876125996
declaration 100042_6,1,1,1,1,1,1,4,2,6,1,1,1,1,2,0,0,0,0,0,0,4,2,0,0,0,0,2,1,0,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3155.9805555555554,9715.166666666666,0.0,18935.88333333333,3646.2287209209076,524615.1666666666,1136153.0,0.0,3147691.0,501640.7403987107,0.0,46.103592,0.0005315209066157705
declaration 100053_5,1,1,1,1,0,1,4,1,5,1,1,1,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23362.256666666664,107269.21666666666,0.0,116811.28333333333,47085.638693131084,1516576.6,7008677.0,0.0,7582883.0,3080150.8448548913,174382.0,178714.61,0.02484550799394433
declaration 100053_6,1,1,1,1,1,1,4,2,6,1,1,1,1,2,0,0,0,0,0,0,4,0,0,2,0,0,0,1,0,1,4,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19952.941666666666,107269.21666666666,0.0,119717.65,42934.67677213159,2460990.3333333335,7183059.0,0.0,14765942.0,3597411.1774858134,0.0,0.0,0.0
declaration 100079_5,1,1,1,1,0,1,4,1,5,1,1,1,1,1,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,1,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1652.2466666666667,4113.95,0.0,8261.233333333334,1764.85801189186,216363.4,495674.0,0.0,1081817.0,216242.02435419438,378977.0,292749.72,0.2275264231074709
declaration 100079_6,1,1,1,1,1,1,4,2,6,1,1,1,1,2,0,0,0,0,0,0,6,0,0,0,0,0,2,1,0,1,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2429.586111111111,6316.283333333334,0.0,14577.516666666666,2473.321392994913,326078.0,874651.0,0.0,1956468.0,331107.61271284596,0.0,54.405617,0.0006272336176374399
declaration 100105_5,1,1,1,1,0,1,4,1,5,1,1,1,1,1,0,0,0,0,0,0,3,2,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3032.426666666667,11588.366666666669,0.0,15162.133333333335,4827.360046026423,639599.8,909728.0,0.0,3197999.0,367578.0688618406,464940.0,307350.06,0.33894682647223295
declaration 100105_6,1,1,1,1,1,1,4,2,6,1,1,1,1,2,0,0,0,0,0,0,3,3,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3818.5222222222224,11588.366666666669,0.0,22911.133333333335,4727.621108545287,762111.1666666666,1374668.0,0.0,4572667.0,445134.9448670219,0.0,0.0,0.0
declaration 100116_5,1,1,1,1,0,1,4,1,5,1,1,1,1,1,0,0,0,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,572.6,1458.3333333333333,0.0,2863.0,783.0719575456935,85600.2,171780.0,0.0,428001.0,85852.19631844021,198282.0,197141.86,0.0057500964535358735
