Case ID,Activity_Declaration APPROVED by ADMINISTRATION,Activity_Declaration APPROVED by BUDGET OWNER,Activity_Declaration REJECTED by BUDGET OWNER,Activity_Declaration REJECTED by EMPLOYEE,Activity_Declaration REJECTED by SUPERVISOR,Activity_Declaration SUBMITTED by EMPLOYEE,Resource_STAFF MEMBER,id_other,Role_ADMINISTRATION,Role_BUDGET OWNER,Role_EMPLOYEE,Role_SUPERVISOR,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,hour_0,hour_1,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_2,hour_20,hour_21,hour_22,hour_23,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,duration_mean,duration_max,duration_min,duration_sum,duration_std,elapsed_mean,elapsed_max,elapsed_min,elapsed_sum,elapsed_std,true_value,predicted_value,relative_error
declaration 100000_2,1,0,0,0,0,1,2,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5779.325,11558.65,0.0,11558.65,8173.199796361887,346759.5,693519.0,0.0,693519.0,490391.98778171325,459154.0,662361.94,0.4425703304337978
declaration 100005_2,1,0,0,0,0,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.025,0.05,0.0,0.05,0.03535533905932738,1.5,3.0,0.0,3.0,2.1213203435596424,201140.0,613659.6,2.0509079496867852
declaration 100010_2,1,0,0,0,0,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.01666666666666665,0.0333333333333333,0.0,0.0333333333333333,0.02357022603955156,1.0,2.0,0.0,2.0,1.4142135623730951,200874.0,605444.94,2.0140532746896063
declaration 100015_2,1,0,0,0,0,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.05,0.0,0.05,0.03535533905932738,1.5,3.0,0.0,3.0,2.1213203435596424,534256.0,629043.5,0.1774196265460753
declaration 100015_3,1,1,0,0,0,1,3,3,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.8611111111111,1523.5333333333333,0.0,1523.5833333333333,879.597946717914,30472.666666666668,91415.0,0.0,91418.0,52777.60885388171,442844.0,661815.06,0.4944654607491577
declaration 100021_2,1,0,0,0,0,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5083333333333333,5.016666666666667,0.0,5.016666666666667,3.5473190189525132,150.5,301.0,0.0,301.0,212.83914113715082,1059624.0,724792.7,0.31599068395959323
declaration 100021_3,1,1,0,0,0,1,3,3,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.88888888888889,132.65,0.0,137.66666666666669,75.17918287024034,2853.6666666666665,8260.0,0.0,8561.0,4684.440236926215,1051665.0,710814.6,0.324105466094241
declaration 100027_2,1,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2.716666666666667,5.433333333333334,0.0,5.433333333333334,3.8419468444469085,163.0,326.0,0.0,326.0,230.5168106668145,979498.0,707987.44,0.2771935853876169
declaration 100032_2,1,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1833333333333333,0.3666666666666666,0.0,0.3666666666666666,0.2592724864350674,11.0,22.0,0.0,22.0,15.556349186104045,626201.0,717678.44,0.14608318654872796
declaration 100037_2,1,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725,1.45,0.0,1.45,1.0253048327204939,43.5,87.0,0.0,87.0,61.518289963229634,616412.0,722063.25,0.17139713373522902
declaration 100042_2,1,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583333333333333,0.1166666666666666,0.0,0.1166666666666666,0.08249579113843049,3.5,7.0,0.0,7.0,4.949747468305833,1136146.0,716009.6,0.3697908323402098
declaration 100042_3,1,1,0,0,0,1,3,3,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1388.4444444444443,4165.216666666666,0.0,4165.333333333333,2404.755285674923,83309.0,249920.0,0.0,249927.0,144289.35859237853,886233.0,654254.1,0.2617583355618669
declaration 100048_2,1,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3.0,0.0,3.0,2.1213203435596424,90.0,180.0,0.0,180.0,127.27922061357856,530557.0,704719.1,0.32826279739971387
declaration 100053_2,1,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583333333333333,0.1166666666666666,0.0,0.1166666666666666,0.08249579113843049,3.5,7.0,0.0,7.0,4.949747468305833,7183052.0,898793.75,0.8748729996664371
declaration 100053_3,1,1,0,0,0,1,3,3,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.305555555555555,27.8,0.0,27.916666666666668,16.016764943622647,560.6666666666666,1675.0,0.0,1682.0,965.0473218103522,7181384.0,1215186.2,0.8307866213532099
declaration 100059_2,1,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.05,0.0,0.05,0.03535533905932738,1.5,3.0,0.0,3.0,2.1213203435596424,529826.0,664581.8,0.25433975021988353
declaration 100064_2,1,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01666666666666665,0.0333333333333333,0.0,0.0333333333333333,0.02357022603955156,1.0,2.0,0.0,2.0,1.4142135623730951,529759.0,661617.8,0.24890339286354737
declaration 100069_2,1,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23333333333333334,0.4666666666666667,0.0,0.4666666666666667,0.3299831645537222,14.0,28.0,0.0,28.0,19.79898987322333,529702.0,688337.6,0.2994808873668591
declaration 100074_2,1,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083333333333333,0.0166666666666666,0.0,0.0166666666666666,0.011785113019775745,0.5,1.0,0.0,1.0,0.7071067811865476,529652.0,658259.7,0.24281544769018149
declaration 100079_2,1,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.225,12.45,0.0,12.45,8.803479425772515,373.5,747.0,0.0,747.0,528.208765546351,873904.0,706451.9,0.19161386719822773
declaration 100079_3,1,1,0,0,0,1,3,3,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1375.4666666666665,4113.95,0.0,4126.4,2371.6043042281176,82777.0,247584.0,0.0,248331.0,142727.537423582,627067.0,641881.6,0.023625266518569787
