Case ID,Activity_Declaration APPROVED by ADMINISTRATION,Activity_Declaration APPROVED by BUDGET OWNER,Activity_Declaration APPROVED by PRE_APPROVER,Activity_Declaration FINAL_APPROVED by SUPERVISOR,Activity_Declaration REJECTED by ADMINISTRATION,Activity_Declaration REJECTED by BUDGET OWNER,Activity_Declaration REJECTED by EMPLOYEE,Activity_Declaration REJECTED by MISSING,Activity_Declaration REJECTED by PRE_APPROVER,Activity_Declaration REJECTED by SUPERVISOR,Activity_Declaration SUBMITTED by EMPLOYEE,Activity_Request Payment,Resource_STAFF MEMBER,Resource_SYSTEM,id_other,Role_ADMINISTRATION,Role_BUDGET OWNER,Role_EMPLOYEE,Role_MISSING,Role_PRE_APPROVER,Role_SUPERVISOR,Role_UNDEFINED,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,hour_0,hour_1,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,duration_mean,duration_max,duration_min,duration_sum,duration_std,elapsed_mean,elapsed_max,elapsed_min,elapsed_sum,elapsed_std,true_value,predicted_value,relative_error
declaration 100122_3,0,0,0,0,1,0,1,0,0,0,1,0,3,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,467.5833333333334,1398.0166666666669,0.0,1402.7500000000002,805.7823787750913,28149.666666666668,84165.0,0.0,84449.0,48510.90949810499,285720.0,916100.6,2.206288061738765
declaration 100122_4,0,0,0,0,1,0,1,0,0,0,2,0,4,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,351.2958333333334,1398.0166666666669,0.0,1405.1833333333336,697.8165651429916,42190.0,84311.0,0.0,168760.0,48553.02325636719,285574.0,634094.8,1.2204220709868545
declaration 100122_5,1,0,0,0,1,0,1,0,0,0,2,0,5,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,281.0766666666667,1398.0166666666669,0.0,1405.3833333333337,624.3914043112524,50616.6,84323.0,0.0,253083.0,46076.9463864523,285562.0,609106.3,1.133008987540359
declaration 100122_6,1,1,0,0,1,0,1,0,0,0,2,0,6,0,6,2,1,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,247.27777777777783,1398.0166666666669,0.0,1483.666666666667,564.5758496100971,57017.166666666664,89020.0,0.0,342103.0,44093.89427762835,280865.0,643440.2,1.2909233528563544
declaration 100245_3,0,0,0,0,1,0,1,0,0,0,1,0,3,0,3,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,361.1111111111111,1072.8166666666666,0.0,1083.3333333333333,616.3775210258125,21877.0,65000.0,0.0,65631.0,37346.94615360137,2014349.0,1194289.5,0.40710894686074756
declaration 100245_4,0,0,0,0,1,0,1,0,0,0,2,0,4,0,4,1,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,412.5583333333333,1072.8166666666666,0.0,1650.2333333333331,513.6809311055662,41161.25,99014.0,0.0,164645.0,49166.98197893243,1980335.0,913301.1,0.5388148343588333
declaration 100245_5,1,0,0,0,1,0,1,0,0,0,2,0,5,0,5,2,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,330.0566666666667,1072.8166666666666,0.0,1650.2833333333333,481.5949535138423,52732.4,99017.0,0.0,263662.0,49824.70922444004,1980332.0,850809.75,0.5703701450059889
declaration 100245_6,1,0,0,0,1,0,1,0,0,1,2,0,6,0,6,2,0,3,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2328.713888888889,12322.0,0.0,13972.283333333333,4914.603861049871,183666.5,838337.0,0.0,1101999.0,323803.07684810535,1241012.0,801689.75,0.3540032247875121
declaration 100365_3,0,0,0,0,1,0,1,0,0,0,1,0,3,0,3,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20532.066666666666,54262.6,0.0,61596.2,29440.73846650816,2317176.0,3695772.0,0.0,6951528.0,2018757.534053062,1388349.0,982543.3,0.2922937154130554
declaration 100365_4,0,0,0,0,1,0,1,0,0,0,2,0,4,0,4,1,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,15444.512499999999,54262.6,0.0,61778.049999999996,26103.081885043604,2664552.75,3706683.0,0.0,10658211.0,1788743.6223859054,1377438.0,681870.6,0.5049718208732444
