Case ID,Activity_Declaration APPROVED by ADMINISTRATION,Activity_Declaration APPROVED by PRE_APPROVER,Activity_Declaration FINAL_APPROVED by SUPERVISOR,Activity_Declaration REJECTED by EMPLOYEE,Activity_Declaration REJECTED by MISSING,Activity_Declaration REJECTED by SUPERVISOR,Activity_Declaration SAVED by EMPLOYEE,Activity_Declaration SUBMITTED by EMPLOYEE,Activity_Payment Handled,Activity_Request Payment,Resource_STAFF MEMBER,Resource_SYSTEM,id_other,Role_ADMINISTRATION,Role_EMPLOYEE,Role_MISSING,Role_PRE_APPROVER,Role_SUPERVISOR,Role_UNDEFINED,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,hour_0,hour_1,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_2,hour_20,hour_21,hour_22,hour_23,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,duration_mean,duration_max,duration_min,duration_sum,duration_std,elapsed_mean,elapsed_max,elapsed_min,elapsed_sum,elapsed_std,true_value,predicted_value,relative_error
declaration 100000_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3650.6749999999997,11558.65,0.0,14602.699999999999,5320.612142248366,588304.75,876162.0,0.0,2353219.0,399228.5625882121,276511.0,271436.1,0.018353361168271787
declaration 100000_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,1,0,0,0,4,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3842.2433333333333,11558.65,0.0,19211.216666666667,4627.653542332347,701178.4,1152673.0,0.0,3505892.0,428065.2849873486,0.0,1509.7418,0.18089405958411964
declaration 100005_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,406.6,1601.1333333333334,0.0,1626.4,796.4440959433142,24775.75,97584.0,0.0,99103.0,48544.08363796766,103559.0,201486.19,0.945617353392752
declaration 100005_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,670.4766666666667,1725.9833333333331,0.0,3352.383333333333,907.6876525147721,60049.2,201143.0,0.0,300246.0,89378.2826904836,0.0,719.1484,0.08616683159176178
declaration 100010_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,405.4666666666667,1601.9,0.0,1621.8666666666668,797.6774782199002,24628.0,97312.0,0.0,98512.0,48459.285370986094,103564.0,201486.19,0.9455234203004905
declaration 100010_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,669.5866666666667,1726.0666666666666,0.0,3347.9333333333334,908.8530637261694,59877.6,200876.0,0.0,299388.0,89296.68669553199,0.0,719.1484,0.08616683159176178
declaration 100027_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2554.854166666667,5685.383333333333,0.0,10219.416666666668,2984.5553480275444,238735.0,613165.0,0.0,954940.0,296974.32111323474,366659.0,294656.8,0.1963737082684456
declaration 100027_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3266.0800000000004,6110.983333333334,0.0,16330.400000000001,3034.77987654514,386952.8,979824.0,0.0,1934764.0,419509.10804737004,0.0,76.11436,0.009119860651165696
declaration 100032_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1753.8625000000002,5473.283333333334,0.0,7015.450000000001,2583.9145461723956,128369.75,420927.0,0.0,513479.0,199855.08904599687,205296.0,192220.88,0.06368913666121113
declaration 100032_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2087.41,5473.283333333334,0.0,10437.05,2358.7561256353365,227940.4,626223.0,0.0,1139702.0,282007.29453384713,0.0,0.0,0.0
