Case ID,Activity_Declaration APPROVED by ADMINISTRATION,Activity_Declaration APPROVED by BUDGET OWNER,Activity_Declaration APPROVED by PRE_APPROVER,Activity_Declaration FINAL_APPROVED by SUPERVISOR,Activity_Declaration REJECTED by ADMINISTRATION,Activity_Declaration REJECTED by BUDGET OWNER,Activity_Declaration REJECTED by EMPLOYEE,Activity_Declaration REJECTED by MISSING,Activity_Declaration REJECTED by PRE_APPROVER,Activity_Declaration REJECTED by SUPERVISOR,Activity_Declaration SUBMITTED by EMPLOYEE,Activity_Payment Handled,Activity_Request Payment,Resource_STAFF MEMBER,Resource_SYSTEM,id_other,Role_ADMINISTRATION,Role_BUDGET OWNER,Role_EMPLOYEE,Role_MISSING,Role_PRE_APPROVER,Role_SUPERVISOR,Role_UNDEFINED,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,hour_0,hour_1,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_2,hour_20,hour_21,hour_22,hour_23,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,Segment_Prediction_0,Segment_Prediction_1,C_S1_0.0,C_S1_1.0,C_S2_0.0,C_S2_1.0,C_S3_0.0,C_S3_1.0,duration_mean,duration_max,duration_min,duration_sum,duration_std,elapsed_mean,elapsed_max,elapsed_min,elapsed_sum,elapsed_std,Predicted_Distance_mean,Predicted_Distance_max,Predicted_Distance_min,Predicted_Distance_sum,Predicted_Distance_std,true_value,predicted_value,relative_error
declaration 100000_5,1,0,0,1,0,0,0,0,0,0,1,1,1,3,2,5,1,0,1,0,0,1,2,1,0,0,0,4,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,4,1,4,1,4,1,3842.2433333333333,11558.65,0.0,19211.216666666667,4627.653542332347,701178.4,1152673.0,0.0,3505892.0,428065.2849873486,91830.8,276511.0,0.0,459154.0,112889.85751031844,0.0,0.06635166,2.260703904462226e-05
declaration 100005_5,1,0,0,1,0,0,0,0,0,0,1,1,1,3,2,5,1,0,1,0,0,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,4,1,4,1,4,1,670.4766666666667,1725.9833333333331,0.0,3352.383333333333,907.6876525147721,60049.2,201143.0,0.0,300246.0,89378.2826904836,40228.0,103559.0,0.0,201140.0,54461.81312167269,0.0,0.06635166,2.260703904462226e-05
declaration 100010_5,1,0,0,1,0,0,0,0,0,0,1,1,1,3,2,5,1,0,1,0,0,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,4,1,4,1,4,1,669.5866666666667,1726.0666666666666,0.0,3347.9333333333334,908.8530637261694,59877.6,200876.0,0.0,299388.0,89296.68669553199,40174.8,103564.0,0.0,200874.0,54531.55218036618,0.0,0.06635166,2.260703904462226e-05
declaration 100015_5,1,1,0,1,0,0,0,0,0,0,1,0,1,4,1,5,1,1,1,0,0,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,5,0,4,1,4,1,807.21,1523.5333333333333,0.0,4036.05,745.2395024792738,99688.0,242163.0,0.0,498440.0,105462.81804977525,73880.0,292096.0,0.0,369400.0,126495.76043488573,292096.0,243154.73,0.1675519884729678
declaration 100021_5,1,1,0,1,0,0,0,0,0,0,1,0,1,4,1,5,1,1,1,0,0,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,4,1,4,1,2317.9033333333336,10009.366666666669,0.0,11589.516666666668,4342.30414384972,159748.2,695371.0,0.0,798741.0,302076.3377471,193023.2,600562.0,0.0,965116.0,277166.26601590606,364554.0,290002.38,0.2045009107018439
declaration 100027_5,1,0,0,1,0,0,0,0,0,0,1,1,1,3,2,5,1,0,1,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,4,1,4,1,4,1,3266.0800000000004,6110.983333333334,0.0,16330.400000000001,3034.77987654514,386952.8,979824.0,0.0,1934764.0,419509.10804737004,195899.6,366659.0,0.0,979498.0,182174.3956111835,0.0,0.06635166,2.260703904462226e-05
declaration 100032_5,1,0,0,1,0,0,0,0,0,0,1,1,1,3,2,5,1,0,1,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,4,1,4,1,4,1,2087.41,5473.283333333334,0.0,10437.05,2358.7561256353365,227940.4,626223.0,0.0,1139702.0,282007.29453384713,125240.2,328397.0,0.0,626201.0,141530.23423353754,0.0,0.06635166,2.260703904462226e-05
declaration 100037_5,1,0,0,1,0,0,0,0,0,0,1,1,1,3,2,5,1,0,1,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,4,1,4,1,4,1,2054.996666666667,7470.05,0.0,10274.983333333334,3230.7662302678123,216586.2,616499.0,0.0,1082931.0,297785.53882567905,123282.4,448203.0,0.0,616412.0,193859.80200985455,0.0,0.06635166,2.260703904462226e-05
declaration 100042_5,1,1,0,1,0,0,0,0,0,0,1,0,1,4,1,5,1,1,1,0,0,1,1,0,0,0,0,0,0,4,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,2,5,0,4,1,4,1,3095.936666666666,9715.166666666666,0.0,15479.68333333333,4073.2898671883013,402307.6,928781.0,0.0,2011538.0,449845.2334473491,60664.6,207372.0,0.0,303323.0,91935.80956188943,207372.0,174631.31,0.157883839187547
declaration 100048_5,1,0,0,1,0,0,0,0,0,0,1,1,1,3,2,5,1,0,1,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1,4,1,4,1,1769.1233333333334,7579.1,0.0,8845.616666666667,3289.4616101102156,121949.2,530737.0,0.0,609746.0,230817.2680882,106111.4,454746.0,0.0,530557.0,197391.87219792005,0.0,0.06635166,2.260703904462226e-05
