Case ID,Activity_Declaration APPROVED by ADMINISTRATION,Activity_Declaration APPROVED by BUDGET OWNER,Activity_Declaration APPROVED by PRE_APPROVER,Activity_Declaration FINAL_APPROVED by SUPERVISOR,Activity_Declaration REJECTED by ADMINISTRATION,Activity_Declaration REJECTED by EMPLOYEE,Activity_Declaration REJECTED by MISSING,Activity_Declaration REJECTED by PRE_APPROVER,Activity_Declaration REJECTED by SUPERVISOR,Activity_Declaration SUBMITTED by EMPLOYEE,Resource_STAFF MEMBER,id_other,Role_ADMINISTRATION,Role_BUDGET OWNER,Role_EMPLOYEE,Role_MISSING,Role_PRE_APPROVER,Role_SUPERVISOR,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,hour_0,hour_1,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_2,hour_20,hour_21,hour_22,hour_23,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,duration_mean,duration_max,duration_min,duration_sum,duration_std,elapsed_mean,elapsed_max,elapsed_min,elapsed_sum,elapsed_std,true_value,predicted_value,relative_error
declaration 100000_3,1,0,0,1,0,0,0,0,0,1,3,3,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4352.988888888889,11558.65,0.0,13058.966666666667,6285.212928867541,492352.3333333333,783538.0,0.0,1477057.0,428758.6386235656,369135.0,452624.47,0.22617597559158573
declaration 100005_3,1,0,0,1,0,0,0,0,0,1,3,3,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8.422222222222222,25.216666666666665,0.0,25.266666666666666,14.544437017229239,506.3333333333333,1516.0,0.0,1519.0,874.3982692877047,199627.0,458190.0,1.2952306050784714
declaration 100010_3,1,0,0,1,0,0,0,0,0,1,3,3,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6.655555555555558,19.933333333333337,0.0,19.966666666666672,11.498904939811219,400.0,1198.0,0.0,1200.0,691.0889957161812,199678.0,459824.53,1.3028302128927574
declaration 100015_4,1,1,0,1,0,0,0,0,0,1,4,4,1,1,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,686.9124999999999,1523.5333333333333,0.0,2747.6499999999996,802.5164368196708,64069.25,164859.0,0.0,256277.0,79824.21715400659,369400.0,476628.88,0.2902784921494315
declaration 100021_4,1,1,0,1,0,0,0,0,0,1,4,4,1,1,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.03749999999997,1442.4833333333331,0.0,1580.1499999999999,700.9899787119853,25842.5,94809.0,0.0,103370.0,46136.48396153887,965116.0,523309.44,0.4577756067664405
declaration 100027_3,1,0,0,1,0,0,0,0,0,1,3,3,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1896.9388888888889,5685.383333333333,0.0,5690.816666666667,3280.890254452175,113925.0,341449.0,0.0,341775.0,197041.6313904247,638375.0,399524.44,0.3741540043078128
declaration 100032_3,1,0,0,1,0,0,0,0,0,1,3,3,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514.0555555555555,1541.8,0.0,1542.1666666666665,890.05281636874,30850.666666666668,92530.0,0.0,92552.0,53415.87068777718,533693.0,485771.7,0.08979190751986629
declaration 100037_3,1,0,0,1,0,0,0,0,0,1,3,3,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.39444444444444,149.73333333333332,0.0,151.1833333333333,86.03305620085374,3052.6666666666665,9071.0,0.0,9158.0,5212.211079123075,607428.0,510784.56,0.15910270435343776
declaration 100042_4,1,1,0,1,0,0,0,0,0,1,4,4,1,1,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3470.125,9715.166666666666,0.0,13880.5,4603.130210067203,270689.25,832830.0,0.0,1082757.0,392842.26482001226,303323.0,374389.94,0.23429458860686464
declaration 100048_3,1,0,0,1,0,0,0,0,0,1,3,3,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.766666666666666,44.3,0.0,47.3,24.75607669509313,1006.0,2838.0,0.0,3018.0,1589.1091844174837,527899.0,504443.38,0.044432031506026724
declaration 100053_4,1,1,0,1,0,0,0,0,0,1,4,4,1,1,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2385.5166666666664,9514.15,0.0,9542.066666666666,4752.440215592173,143551.5,572524.0,0.0,574206.0,285982.7521844631,6610535.0,1812265.6,0.7258518977662171
