Case ID,Activity_Declaration APPROVED by ADMINISTRATION,Activity_Declaration APPROVED by BUDGET OWNER,Activity_Declaration APPROVED by PRE_APPROVER,Activity_Declaration FINAL_APPROVED by SUPERVISOR,Activity_Declaration REJECTED by EMPLOYEE,Activity_Declaration REJECTED by MISSING,Activity_Declaration REJECTED by PRE_APPROVER,Activity_Declaration REJECTED by SUPERVISOR,Activity_Declaration SAVED by EMPLOYEE,Activity_Declaration SUBMITTED by EMPLOYEE,Activity_Request Payment,Resource_STAFF MEMBER,Resource_SYSTEM,id_other,Role_ADMINISTRATION,Role_BUDGET OWNER,Role_EMPLOYEE,Role_MISSING,Role_PRE_APPROVER,Role_SUPERVISOR,Role_UNDEFINED,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,hour_0,hour_1,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_2,hour_20,hour_21,hour_22,hour_23,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,duration_mean,duration_max,duration_min,duration_sum,duration_std,elapsed_mean,elapsed_max,elapsed_min,elapsed_sum,elapsed_std,true_value,predicted_value,relative_error
declaration 100000_4,1,0,0,1,0,0,0,0,0,1,1,3,1,4,1,0,1,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3650.6749999999997,11558.65,0.0,14602.699999999999,5320.612142248366,588304.75,876162.0,0.0,2353219.0,399228.5625882121,276511.0,270011.66,0.023504828921815046
declaration 100005_4,1,0,0,1,0,0,0,0,0,1,1,3,1,4,1,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,406.6,1601.1333333333334,0.0,1626.4,796.4440959433142,24775.75,97584.0,0.0,99103.0,48544.08363796766,103559.0,190029.77,0.8349903497040334
declaration 100010_4,1,0,0,1,0,0,0,0,0,1,1,3,1,4,1,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,405.4666666666667,1601.9,0.0,1621.8666666666668,797.6774782199002,24628.0,97312.0,0.0,98512.0,48459.285370986094,103564.0,188199.52,0.8172291107431153
declaration 100015_5,1,1,0,1,0,0,0,0,0,1,1,4,1,5,1,1,1,0,0,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,807.21,1523.5333333333333,0.0,4036.05,745.2395024792738,99688.0,242163.0,0.0,498440.0,105462.81804977525,292096.0,281859.4,0.03504530616646582
declaration 100021_5,1,1,0,1,0,0,0,0,0,1,1,4,1,5,1,1,1,0,0,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2317.9033333333336,10009.366666666669,0.0,11589.516666666668,4342.30414384972,159748.2,695371.0,0.0,798741.0,302076.3377471,364554.0,277325.47,0.23927465135480613
declaration 100027_4,1,0,0,1,0,0,0,0,0,1,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2554.854166666667,5685.383333333333,0.0,10219.416666666668,2984.5553480275444,238735.0,613165.0,0.0,954940.0,296974.32111323474,366659.0,286724.34,0.2180081663071137
declaration 100032_4,1,0,0,1,0,0,0,0,0,1,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1753.8625000000002,5473.283333333334,0.0,7015.450000000001,2583.9145461723956,128369.75,420927.0,0.0,513479.0,199855.08904599687,205296.0,182904.9,0.10906736492673992
declaration 100037_4,1,0,0,1,0,0,0,0,0,1,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1905.3083333333334,7470.05,0.0,7621.233333333334,3710.492770321903,116608.0,457274.0,0.0,466432.0,227150.53674454158,159225.0,169255.53,0.0629959569791176
declaration 100042_5,1,1,0,1,0,0,0,0,0,1,1,4,1,5,1,1,1,0,0,1,1,0,0,0,0,0,0,4,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3095.936666666666,9715.166666666666,0.0,15479.68333333333,4073.2898671883013,402307.6,928781.0,0.0,2011538.0,449845.2334473491,207372.0,205204.48,0.010452306121366434
declaration 100048_4,1,0,0,1,0,0,0,0,0,1,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,316.62916666666666,1219.2166666666667,0.0,1266.5166666666667,602.064407834042,19752.25,75991.0,0.0,79009.0,37514.94459878623,454746.0,266356.53,0.41427405353757923
declaration 100053_5,1,1,0,1,0,0,0,0,0,1,1,4,1,5,1,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23362.256666666664,107269.21666666666,0.0,116811.28333333333,47085.638693131084,1516576.6,7008677.0,0.0,7582883.0,3080150.8448548913,174382.0,210162.9,0.20518692439586655
declaration 100059_4,1,0,0,1,0,0,0,0,0,1,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1004.5458333333332,4003.2166666666662,0.0,4018.183333333333,1999.1262145124615,120322.5,241091.0,0.0,481290.0,138935.2039393424,288738.0,245812.55,0.14866575623922032
declaration 100064_4,1,0,0,1,0,0,0,0,0,1,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1004.2625,4001.55,0.0,4017.05,1998.2049399201514,120280.0,241023.0,0.0,481120.0,138886.7427774636,288738.0,245812.55,0.14866575623922032
declaration 100069_4,1,0,0,1,0,0,0,0,0,1,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1004.1291666666667,3985.15,0.0,4016.516666666667,1987.3998102105677,120039.0,240991.0,0.0,480156.0,138594.99936866408,288739.0,245311.5,0.1504039980743855
declaration 100074_4,1,0,0,1,0,0,0,0,0,1,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1003.8041666666668,3982.766666666667,0.0,4015.216666666667,1986.0338216682478,119970.25,240913.0,0.0,479881.0,138531.41294636633,288740.0,245311.5,0.1504069405001039
declaration 100079_5,1,1,0,1,0,0,0,0,0,1,1,4,1,5,1,1,1,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,1,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1652.2466666666667,4113.95,0.0,8261.233333333334,1764.85801189186,216363.4,495674.0,0.0,1081817.0,216242.02435419438,378977.0,300450.3,0.20720700068869616
declaration 100085_4,1,0,0,1,0,0,0,0,0,1,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1360.6958333333332,3917.483333333333,0.0,5442.783333333333,1849.130980646845,140496.5,326567.0,0.0,561986.0,166357.0541746477,201381.0,188416.34,0.06437874600880918
declaration 100090_4,1,0,0,1,0,0,0,0,0,1,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,977.9124999999999,3859.0666666666666,0.0,3911.6499999999996,1920.928172128477,116564.75,234699.0,0.0,466259.0,134598.89251494603,284904.0,251497.84,0.11725407944430405
declaration 100095_4,1,0,0,1,0,0,0,0,0,1,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1051.2666666666667,3209.0333333333333,0.0,4205.066666666667,1513.1789639818012,111214.5,252304.0,0.0,444858.0,130712.63738317986,204421.0,217666.28,0.0647941319629588
declaration 100100_4,1,0,0,1,0,0,0,0,0,1,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,934.175,2350.133333333333,0.0,3736.7,1147.9936686414,91316.5,224202.0,0.0,365266.0,110759.31592872899,202742.0,206108.17,0.016603229103984374
declaration 100105_5,1,1,0,1,0,0,0,0,0,1,1,4,1,5,1,1,1,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3032.426666666667,11588.366666666669,0.0,15162.133333333335,4827.360046026423,639599.8,909728.0,0.0,3197999.0,367578.0688618406,464940.0,267313.2,0.42505874413902867
declaration 100111_4,1,0,0,1,0,0,0,0,0,1,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2945.1166666666663,10385.933333333332,0.0,11780.466666666665,5003.9084647977,197626.0,706828.0,0.0,790504.0,341751.7040581754,270454.0,305301.22,0.1288471191034335
