Case ID,Activity_Declaration APPROVED by ADMINISTRATION,Activity_Declaration APPROVED by BUDGET OWNER,Activity_Declaration APPROVED by PRE_APPROVER,Activity_Declaration FINAL_APPROVED by SUPERVISOR,Activity_Declaration REJECTED by SUPERVISOR,Activity_Declaration SAVED by EMPLOYEE,Activity_Declaration SUBMITTED by EMPLOYEE,Activity_Payment Handled,Activity_Request Payment,Resource_STAFF MEMBER,Resource_SYSTEM,id_other,Role_ADMINISTRATION,Role_BUDGET OWNER,Role_EMPLOYEE,Role_PRE_APPROVER,Role_SUPERVISOR,Role_UNDEFINED,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,hour_0,hour_1,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_2,hour_20,hour_21,hour_22,hour_23,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,duration_mean,duration_max,duration_min,duration_sum,duration_std,elapsed_mean,elapsed_max,elapsed_min,elapsed_sum,elapsed_std,true_value,predicted_value,relative_error
declaration 100000_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,1,0,0,0,4,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3842.2433333333333,11558.65,0.0,19211.216666666667,4627.653542332347,701178.4,1152673.0,0.0,3505892.0,428065.2849873486,0.0,0.11200899,7.976484707547804e-07
declaration 100005_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,670.4766666666667,1725.9833333333331,0.0,3352.383333333333,907.6876525147721,60049.2,201143.0,0.0,300246.0,89378.2826904836,0.0,0.066057086,4.704116532138791e-07
declaration 100010_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,669.5866666666667,1726.0666666666666,0.0,3347.9333333333334,908.8530637261694,59877.6,200876.0,0.0,299388.0,89296.68669553199,0.0,0.066057086,4.704116532138791e-07
declaration 100015_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,3,0,0,0,3,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1484.0527777777777,4868.266666666666,0.0,8904.316666666666,1786.8974250986187,172116.5,534259.0,0.0,1032699.0,200930.95945199684,0.0,0.063492075,4.5214546380107955e-07
declaration 100021_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,3,0,0,0,3,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2944.2361111111113,10009.366666666669,0.0,17665.416666666668,4175.911961867554,309777.6666666667,1059925.0,0.0,1858666.0,456128.4208104848,0.0,0.055844277,3.9768328165753997e-07
declaration 100027_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3266.0800000000004,6110.983333333334,0.0,16330.400000000001,3034.77987654514,386952.8,979824.0,0.0,1934764.0,419509.10804737004,0.0,0.078064986,5.559233861255325e-07
declaration 100032_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2087.41,5473.283333333334,0.0,10437.05,2358.7561256353365,227940.4,626223.0,0.0,1139702.0,282007.29453384713,0.0,0.06349433,4.5216154029741113e-07
declaration 100037_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2054.996666666667,7470.05,0.0,10274.983333333334,3230.7662302678123,216586.2,616499.0,0.0,1082931.0,297785.53882567905,0.0,0.063620485,4.5305991401320843e-07
declaration 100042_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,0,0,4,2,0,0,0,0,2,1,0,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3155.9805555555554,9715.166666666666,0.0,18935.88333333333,3646.2287209209076,524615.1666666666,1136153.0,0.0,3147691.0,501640.7403987107,0.0,0.06522485,4.6448505018834936e-07
declaration 100048_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1769.1233333333334,7579.1,0.0,8845.616666666667,3289.4616101102156,121949.2,530737.0,0.0,609746.0,230817.2680882,0.0,0.064653136,4.6041371728568067e-07
