dataset;method;cls;nr_events;metric;score;nr_cases
production;cluster_agg;xgb;1;mae;1551738.525;45
production;cluster_agg;xgb;2;mae;1548373.2470238095;42
production;cluster_agg;xgb;3;mae;1671133.0042146381;38
production;cluster_agg;xgb;4;mae;1597584.5071428572;35
production;cluster_agg;xgb;5;mae;1555519.8577586208;29
production;cluster_agg;xgb;6;mae;1521375.1997767857;28
production;cluster_agg;xgb;7;mae;1481376.9283854167;24
production;cluster_agg;xgb;8;mae;1535317.2815163352;22
production;cluster_agg;xgb;9;mae;1500817.8996710526;19
production;cluster_agg;xgb;10;mae;1328032.059375;15
production;cluster_agg;xgb;11;mae;1429908.5865384615;13
production;cluster_agg;xgb;12;mae;1316538.6731770833;12
production;cluster_agg;xgb;13;mae;1408404.8607954546;11
production;cluster_agg;xgb;14;mae;1473193.1375;10
production;cluster_agg;xgb;15;mae;1433856.3489583333;9
production;cluster_agg;xgb;16;mae;1648950.845982143;7
production;cluster_agg;xgb;17;mae;1846180.8177083333;6
production;cluster_agg;xgb;18;mae;2266138.45;5
production;cluster_agg;xgb;19;mae;2716129.15625;4
production;cluster_agg;xgb;20;mae;2593256.0;3
