dataset;method;cls;nr_events;metric;score;nr_cases
production_feature;cluster_agg;xgb;1;mae;1556907.9944444445;45
production_feature;cluster_agg;xgb;2;mae;1560081.0319940476;42
production_feature;cluster_agg;xgb;3;mae;1692713.3207236843;38
production_feature;cluster_agg;xgb;4;mae;1773745.482638889;36
production_feature;cluster_agg;xgb;5;mae;1527124.6385416666;30
production_feature;cluster_agg;xgb;6;mae;1445880.5369791666;30
production_feature;cluster_agg;xgb;7;mae;1495621.7858796297;27
production_feature;cluster_agg;xgb;8;mae;1496027.0625;24
production_feature;cluster_agg;xgb;9;mae;1487087.5767045454;22
production_feature;cluster_agg;xgb;10;mae;1310059.8536184211;19
production_feature;cluster_agg;xgb;11;mae;1364662.5650275736;17
production_feature;cluster_agg;xgb;12;mae;1256858.5267857143;14
production_feature;cluster_agg;xgb;13;mae;1339263.639423077;13
production_feature;cluster_agg;xgb;14;mae;1449903.9204545454;11
production_feature;cluster_agg;xgb;15;mae;1370940.3875;10
production_feature;cluster_agg;xgb;16;mae;1420292.6649305555;9
production_feature;cluster_agg;xgb;17;mae;1736207.267857143;7
production_feature;cluster_agg;xgb;18;mae;2002724.65625;6
production_feature;cluster_agg;xgb;19;mae;2046524.2708333333;6
production_feature;cluster_agg;xgb;20;mae;1838814.65;5
