dataset;method;cls;nr_events;metric;score;nr_cases
production;cluster_index;xgb;1;mae;1688620.1055555556;45
production;cluster_index;xgb;2;mae;1581188.0297619049;42
production;cluster_index;xgb;3;mae;1529602.3355263157;38
production;cluster_index;xgb;4;mae;1496570.1732142856;35
production;cluster_index;xgb;5;mae;1399277.4676724137;29
production;cluster_index;xgb;6;mae;1347025.5401785714;28
production;cluster_index;xgb;7;mae;1279733.4895833333;24
production;cluster_index;xgb;8;mae;1252387.8167613635;22
production;cluster_index;xgb;9;mae;1161904.7121710526;19
production;cluster_index;xgb;10;mae;1111418.6666666667;15
production;cluster_index;xgb;11;mae;1018430.1610576923;13
production;cluster_index;xgb;12;mae;923578.2174479166;12
production;cluster_index;xgb;13;mae;955909.1789772727;11
production;cluster_index;xgb;14;mae;968280.08359375;10
production;cluster_index;xgb;15;mae;965392.7092013889;9
production;cluster_index;xgb;16;mae;1148534.424107143;7
production;cluster_index;xgb;17;mae;1133529.5989583333;6
production;cluster_index;xgb;18;mae;1279285.0;5
production;cluster_index;xgb;19;mae;1433619.34375;4
production;cluster_index;xgb;20;mae;1424137.2708333333;3
