dataset;method;cls;nr_events;metric;score;nr_cases
production_feature;cluster_index;xgb;1;mae;1666739.1527777778;45
production_feature;cluster_index;xgb;2;mae;1619100.875;42
production_feature;cluster_index;xgb;3;mae;1617341.7919407894;38
production_feature;cluster_index;xgb;4;mae;1679350.3524305555;36
production_feature;cluster_index;xgb;5;mae;1451421.8270833334;30
production_feature;cluster_index;xgb;6;mae;1667267.4770833333;30
production_feature;cluster_index;xgb;7;mae;1663879.523148148;27
production_feature;cluster_index;xgb;8;mae;1738431.5325520833;24
production_feature;cluster_index;xgb;9;mae;1704903.9261363635;22
production_feature;cluster_index;xgb;10;mae;1717329.0592105263;19
production_feature;cluster_index;xgb;11;mae;1612332.0551470588;17
production_feature;cluster_index;xgb;12;mae;1601172.013392857;14
production_feature;cluster_index;xgb;13;mae;1643697.1754807692;13
production_feature;cluster_index;xgb;14;mae;1842903.0653409092;11
production_feature;cluster_index;xgb;15;mae;1815724.359375;10
production_feature;cluster_index;xgb;16;mae;1953805.3020833333;9
production_feature;cluster_index;xgb;17;mae;2207734.2633928573;7
production_feature;cluster_index;xgb;18;mae;2492619.53125;6
production_feature;cluster_index;xgb;19;mae;2501679.78125;6
production_feature;cluster_index;xgb;20;mae;2674077.2375;5
