dataset;method;cls;nr_events;metric;score;nr_cases
production;cluster_laststate;xgb;1;mae;1508386.7416666667;45
production;cluster_laststate;xgb;2;mae;1451552.263392857;42
production;cluster_laststate;xgb;3;mae;1499965.525596217;38
production;cluster_laststate;xgb;4;mae;1536981.8178571428;35
production;cluster_laststate;xgb;5;mae;1512228.4040948276;29
production;cluster_laststate;xgb;6;mae;1444614.4654017857;28
production;cluster_laststate;xgb;7;mae;1328669.6409505208;24
production;cluster_laststate;xgb;8;mae;1481678.7766335227;22
production;cluster_laststate;xgb;9;mae;1434848.5649671052;19
production;cluster_laststate;xgb;10;mae;1376552.46875;15
production;cluster_laststate;xgb;11;mae;1344723.451923077;13
production;cluster_laststate;xgb;12;mae;1300585.015625;12
production;cluster_laststate;xgb;13;mae;1486899.125;11
production;cluster_laststate;xgb;14;mae;1650481.11875;10
production;cluster_laststate;xgb;15;mae;1628334.8311631945;9
production;cluster_laststate;xgb;16;mae;1981262.1339285714;7
production;cluster_laststate;xgb;17;mae;2257305.8177083335;6
production;cluster_laststate;xgb;18;mae;2650253.8;5
production;cluster_laststate;xgb;19;mae;3223514.640625;4
production;cluster_laststate;xgb;20;mae;3177012.5833333335;3
