dataset;method;cls;nr_events;metric;score;nr_cases
production_feature;cluster_laststate;xgb;1;mae;1551621.6194444445;45
production_feature;cluster_laststate;xgb;2;mae;1450001.3236607143;42
production_feature;cluster_laststate;xgb;3;mae;1527569.5904605263;38
production_feature;cluster_laststate;xgb;4;mae;1570214.1484375;36
production_feature;cluster_laststate;xgb;5;mae;1459081.1770833333;30
production_feature;cluster_laststate;xgb;6;mae;1395447.5760416666;30
production_feature;cluster_laststate;xgb;7;mae;1321729.349537037;27
production_feature;cluster_laststate;xgb;8;mae;1436916.9345703125;24
production_feature;cluster_laststate;xgb;9;mae;1340711.8693181819;22
production_feature;cluster_laststate;xgb;10;mae;1331256.9013157894;19
production_feature;cluster_laststate;xgb;11;mae;1381008.6263786764;17
production_feature;cluster_laststate;xgb;12;mae;1312740.6937779018;14
production_feature;cluster_laststate;xgb;13;mae;1475830.4759615385;13
production_feature;cluster_laststate;xgb;14;mae;1661222.3494318181;11
production_feature;cluster_laststate;xgb;15;mae;1531154.01875;10
production_feature;cluster_laststate;xgb;16;mae;1675326.7022569445;9
production_feature;cluster_laststate;xgb;17;mae;2040898.8950892857;7
production_feature;cluster_laststate;xgb;18;mae;2318534.54296875;6
production_feature;cluster_laststate;xgb;19;mae;2305441.5130208335;6
production_feature;cluster_laststate;xgb;20;mae;2148674.103125;5
