dataset;method;cls;nr_events;metric;score;nr_cases
production;prefix_agg;xgb;1;mae;1679746.3833333333;45
production;prefix_agg;xgb;2;mae;1708783.2485119049;42
production;prefix_agg;xgb;3;mae;1698919.21875;38
production;prefix_agg;xgb;4;mae;1596966.9392857142;35
production;prefix_agg;xgb;5;mae;1568463.1573275863;29
production;prefix_agg;xgb;6;mae;1248554.0502232143;28
production;prefix_agg;xgb;7;mae;1533676.9350585938;24
production;prefix_agg;xgb;8;mae;1685856.9879261365;22
production;prefix_agg;xgb;9;mae;1335135.980263158;19
production;prefix_agg;xgb;10;mae;1172946.5302083334;15
production;prefix_agg;xgb;11;mae;1153618.8569711538;13
production;prefix_agg;xgb;12;mae;974913.9348958334;12
production;prefix_agg;xgb;13;mae;1202496.5397727273;11
production;prefix_agg;xgb;14;mae;1306361.725;10
production;prefix_agg;xgb;15;mae;1537445.6527777778;9
production;prefix_agg;xgb;16;mae;1312505.857142857;7
production;prefix_agg;xgb;17;mae;1194939.5182291667;6
production;prefix_agg;xgb;18;mae;1826943.14375;5
production;prefix_agg;xgb;19;mae;2038873.71875;4
production;prefix_agg;xgb;20;mae;1946841.0182291667;3
