dataset;method;cls;nr_events;metric;score;nr_cases
production_feature;prefix_agg;xgb;1;mae;1635733.263888889;45
production_feature;prefix_agg;xgb;2;mae;1630288.205357143;42
production_feature;prefix_agg;xgb;3;mae;1676510.425986842;38
production_feature;prefix_agg;xgb;4;mae;1716824.0;36
production_feature;prefix_agg;xgb;5;mae;1523073.375;30
production_feature;prefix_agg;xgb;6;mae;1251705.7916666667;30
production_feature;prefix_agg;xgb;7;mae;1581244.2465277778;27
production_feature;prefix_agg;xgb;8;mae;1663143.5651041667;24
production_feature;prefix_agg;xgb;9;mae;1179730.7038352273;22
production_feature;prefix_agg;xgb;10;mae;1100658.4654605263;19
production_feature;prefix_agg;xgb;11;mae;1119938.0615808824;17
production_feature;prefix_agg;xgb;12;mae;1020453.390625;14
production_feature;prefix_agg;xgb;13;mae;1132420.1802884615;13
production_feature;prefix_agg;xgb;14;mae;1271074.9744318181;11
production_feature;prefix_agg;xgb;15;mae;1845664.34375;10
production_feature;prefix_agg;xgb;16;mae;1288890.9305555555;9
production_feature;prefix_agg;xgb;17;mae;1521623.502232143;7
production_feature;prefix_agg;xgb;18;mae;2173648.7526041665;6
production_feature;prefix_agg;xgb;19;mae;2007987.171875;6
production_feature;prefix_agg;xgb;20;mae;1788758.80625;5
