dataset;method;cls;nr_events;metric;score;nr_cases
production;prefix_index;xgb;1;mae;1728232.8319444444;45
production;prefix_index;xgb;2;mae;1362891.9910714286;42
production;prefix_index;xgb;3;mae;1641262.3988486843;38
production;prefix_index;xgb;4;mae;1697152.3839285714;35
production;prefix_index;xgb;5;mae;1594438.4859913792;29
production;prefix_index;xgb;6;mae;1637889.564732143;28
production;prefix_index;xgb;7;mae;1574879.7473958333;24
production;prefix_index;xgb;8;mae;1259142.7627840908;22
production;prefix_index;xgb;9;mae;1261378.1266447369;19
production;prefix_index;xgb;10;mae;1396470.6479166667;15
production;prefix_index;xgb;11;mae;1578749.625;13
production;prefix_index;xgb;12;mae;1218060.1875;12
production;prefix_index;xgb;13;mae;1590694.5142045454;11
production;prefix_index;xgb;14;mae;1279011.209375;10
production;prefix_index;xgb;15;mae;1452268.6527777778;9
production;prefix_index;xgb;16;mae;1589683.1785714286;7
production;prefix_index;xgb;17;mae;1870971.3229166667;6
production;prefix_index;xgb;18;mae;2066681.5203125;5
production;prefix_index;xgb;19;mae;2124935.3125;4
production;prefix_index;xgb;20;mae;2200039.7916666665;3
