dataset;method;cls;nr_events;metric;score;nr_cases
production_feature;prefix_index;xgb;1;mae;1668031.2611111111;45
production_feature;prefix_index;xgb;2;mae;1386116.1264880951;42
production_feature;prefix_index;xgb;3;mae;1786929.7494860198;38
production_feature;prefix_index;xgb;4;mae;1771810.6458333333;36
production_feature;prefix_index;xgb;5;mae;1615540.3354166667;30
production_feature;prefix_index;xgb;6;mae;1739932.3291666666;30
production_feature;prefix_index;xgb;7;mae;1639155.2708333333;27
production_feature;prefix_index;xgb;8;mae;1295206.9635416667;24
production_feature;prefix_index;xgb;9;mae;1293376.8011363635;22
production_feature;prefix_index;xgb;10;mae;1333811.8618421052;19
production_feature;prefix_index;xgb;11;mae;1316595.049632353;17
production_feature;prefix_index;xgb;12;mae;973254.7879464285;14
production_feature;prefix_index;xgb;13;mae;1349042.1298076923;13
production_feature;prefix_index;xgb;14;mae;1210399.4602272727;11
production_feature;prefix_index;xgb;15;mae;1444518.125;10
production_feature;prefix_index;xgb;16;mae;1542772.25;9
production_feature;prefix_index;xgb;17;mae;1757364.9910714286;7
production_feature;prefix_index;xgb;18;mae;1792083.6041666667;6
production_feature;prefix_index;xgb;19;mae;1621766.1666666667;6
production_feature;prefix_index;xgb;20;mae;1704357.725;5
