dataset;method;cls;nr_events;metric;score;nr_cases
production;prefix_laststate;xgb;1;mae;1728232.8319444444;45
production;prefix_laststate;xgb;2;mae;1674889.064732143;42
production;prefix_laststate;xgb;3;mae;1623789.0814144737;38
production;prefix_laststate;xgb;4;mae;1524191.1357142858;35
production;prefix_laststate;xgb;5;mae;1385791.8168103448;29
production;prefix_laststate;xgb;6;mae;1708664.661830357;28
production;prefix_laststate;xgb;7;mae;1501238.3518066406;24
production;prefix_laststate;xgb;8;mae;1452176.2180397727;22
production;prefix_laststate;xgb;9;mae;1405067.4078947369;19
production;prefix_laststate;xgb;10;mae;1050283.83125;15
production;prefix_laststate;xgb;11;mae;1315492.9405048077;13
production;prefix_laststate;xgb;12;mae;1221017.673828125;12
production;prefix_laststate;xgb;13;mae;1283343.0681818181;11
production;prefix_laststate;xgb;14;mae;2022673.16875;10
production;prefix_laststate;xgb;15;mae;1739803.7777777778;9
production;prefix_laststate;xgb;16;mae;2206491.0837053573;7
production;prefix_laststate;xgb;17;mae;2437701.2200520835;6
production;prefix_laststate;xgb;18;mae;3034361.5875;5
production;prefix_laststate;xgb;19;mae;2171128.0;4
production;prefix_laststate;xgb;20;mae;2608546.5;3
