dataset;method;cls;nr_events;metric;score;nr_cases
production_feature;prefix_laststate;xgb;1;mae;1668031.2611111111;45
production_feature;prefix_laststate;xgb;2;mae;1731425.8683035714;42
production_feature;prefix_laststate;xgb;3;mae;1648802.0797697369;38
production_feature;prefix_laststate;xgb;4;mae;1514922.5104166667;36
production_feature;prefix_laststate;xgb;5;mae;1392001.1354166667;30
production_feature;prefix_laststate;xgb;6;mae;1737415.61875;30
production_feature;prefix_laststate;xgb;7;mae;1435583.8113425926;27
production_feature;prefix_laststate;xgb;8;mae;1436692.608561198;24
production_feature;prefix_laststate;xgb;9;mae;1315675.6438210227;22
production_feature;prefix_laststate;xgb;10;mae;1025860.0921052631;19
production_feature;prefix_laststate;xgb;11;mae;1183420.3125;17
production_feature;prefix_laststate;xgb;12;mae;1224345.8861607143;14
production_feature;prefix_laststate;xgb;13;mae;1309407.1586538462;13
production_feature;prefix_laststate;xgb;14;mae;1586232.3579545454;11
production_feature;prefix_laststate;xgb;15;mae;1852895.025;10
production_feature;prefix_laststate;xgb;16;mae;1928070.3697916667;9
production_feature;prefix_laststate;xgb;17;mae;2351412.9910714286;7
production_feature;prefix_laststate;xgb;18;mae;2686249.2395833335;6
production_feature;prefix_laststate;xgb;19;mae;2206983.0052083335;6
production_feature;prefix_laststate;xgb;20;mae;2391337.975;5
