dataset;method;cls;nr_events;metric;score;nr_cases
production;single_agg;xgb;1;mae;1562375.4680555556;45
production;single_agg;xgb;2;mae;1524394.681547619;42
production;single_agg;xgb;3;mae;1570965.7681435032;38
production;single_agg;xgb;4;mae;1550736.2267857143;35
production;single_agg;xgb;5;mae;1427284.2866379311;29
production;single_agg;xgb;6;mae;1397978.25390625;28
production;single_agg;xgb;7;mae;1427200.0483398438;24
production;single_agg;xgb;8;mae;1509690.5893110796;22
production;single_agg;xgb;9;mae;1527600.050986842;19
production;single_agg;xgb;10;mae;1347276.878125;15
production;single_agg;xgb;11;mae;1396872.2908653845;13
production;single_agg;xgb;12;mae;1200533.0260416667;12
production;single_agg;xgb;13;mae;1312486.7471590908;11
production;single_agg;xgb;14;mae;1415935.93125;10
production;single_agg;xgb;15;mae;1337076.5729166667;9
production;single_agg;xgb;16;mae;1523857.841517857;7
production;single_agg;xgb;17;mae;1701640.5260416667;6
production;single_agg;xgb;18;mae;2086469.88125;5
production;single_agg;xgb;19;mae;2474887.6640625;4
production;single_agg;xgb;20;mae;2206774.234375;3
