dataset;method;cls;nr_events;metric;score;nr_cases
production_feature;single_agg;xgb;1;mae;1576177.9027777778;45
production_feature;single_agg;xgb;2;mae;1531751.6889880951;42
production_feature;single_agg;xgb;3;mae;1633246.6768092106;38
production_feature;single_agg;xgb;4;mae;1698593.4739583333;36
production_feature;single_agg;xgb;5;mae;1503916.5625;30
production_feature;single_agg;xgb;6;mae;1482923.5947916666;30
production_feature;single_agg;xgb;7;mae;1473418.1678240742;27
production_feature;single_agg;xgb;8;mae;1493033.48828125;24
production_feature;single_agg;xgb;9;mae;1525209.9992897727;22
production_feature;single_agg;xgb;10;mae;1349728.0986842106;19
production_feature;single_agg;xgb;11;mae;1430927.9623161764;17
production_feature;single_agg;xgb;12;mae;1356681.3950892857;14
production_feature;single_agg;xgb;13;mae;1474880.108173077;13
production_feature;single_agg;xgb;14;mae;1536436.4772727273;11
production_feature;single_agg;xgb;15;mae;1451300.2;10
production_feature;single_agg;xgb;16;mae;1526455.2239583333;9
production_feature;single_agg;xgb;17;mae;1867815.6964285714;7
production_feature;single_agg;xgb;18;mae;2180445.9583333335;6
production_feature;single_agg;xgb;19;mae;2164272.4166666665;6
production_feature;single_agg;xgb;20;mae;2073377.275;5
