dataset;method;cls;nr_events;metric;score;nr_cases
production;single_index;xgb;1;mae;1661688.057638889;45
production;single_index;xgb;2;mae;1612369.7719494049;42
production;single_index;xgb;3;mae;1635055.1595394737;38
production;single_index;xgb;4;mae;1565420.9767857143;35
production;single_index;xgb;5;mae;1513460.3211206896;29
production;single_index;xgb;6;mae;1428465.470982143;28
production;single_index;xgb;7;mae;1405688.7265625;24
production;single_index;xgb;8;mae;1423711.9403409092;22
production;single_index;xgb;9;mae;1317973.0600328948;19
production;single_index;xgb;10;mae;1311090.6135416667;15
production;single_index;xgb;11;mae;1286552.8088942308;13
production;single_index;xgb;12;mae;1205457.9010416667;12
production;single_index;xgb;13;mae;1293517.9886363635;11
production;single_index;xgb;14;mae;1373605.959375;10
production;single_index;xgb;15;mae;1252657.267361111;9
production;single_index;xgb;16;mae;1432225.732142857;7
production;single_index;xgb;17;mae;1407771.84375;6
production;single_index;xgb;18;mae;1612442.725;5
production;single_index;xgb;19;mae;1766241.15625;4
production;single_index;xgb;20;mae;1859439.125;3
