dataset;method;cls;nr_events;metric;score;nr_cases
production_feature;single_index;xgb;1;mae;1725211.2194444444;45
production_feature;single_index;xgb;2;mae;1731744.472470238;42
production_feature;single_index;xgb;3;mae;1709146.1001233552;38
production_feature;single_index;xgb;4;mae;1752147.7447916667;36
production_feature;single_index;xgb;5;mae;1537815.4208333334;30
production_feature;single_index;xgb;6;mae;1533164.0510416667;30
production_feature;single_index;xgb;7;mae;1509439.5740740742;27
production_feature;single_index;xgb;8;mae;1475608.0904947917;24
production_feature;single_index;xgb;9;mae;1430601.2840909092;22
production_feature;single_index;xgb;10;mae;1355532.0;19
production_feature;single_index;xgb;11;mae;1339104.6176470588;17
production_feature;single_index;xgb;12;mae;1282581.8738839286;14
production_feature;single_index;xgb;13;mae;1321106.0841346155;13
production_feature;single_index;xgb;14;mae;1393017.484375;11
production_feature;single_index;xgb;15;mae;1341389.5859375;10
production_feature;single_index;xgb;16;mae;1417634.5190972222;9
production_feature;single_index;xgb;17;mae;1533988.2433035714;7
production_feature;single_index;xgb;18;mae;1736178.4895833333;6
production_feature;single_index;xgb;19;mae;1740687.8020833333;6
production_feature;single_index;xgb;20;mae;1612322.475;5
